,shape,class
108,D00838_06_fill_holes_and_orientation.obj,Bicycle
109,D00847_06_fill_holes_and_orientation.obj,Bicycle
110,D00904_06_fill_holes_and_orientation.obj,Bicycle
111,D00930_06_fill_holes_and_orientation.obj,Bicycle
112,D00931_06_fill_holes_and_orientation.obj,Bicycle
113,D00974_06_fill_holes_and_orientation.obj,Bicycle
114,m1472_06_fill_holes_and_orientation.obj,Bicycle
115,m1473_06_fill_holes_and_orientation.obj,Bicycle
116,m1475_06_fill_holes_and_orientation.obj,Bicycle
117,m1476_06_fill_holes_and_orientation.obj,Bicycle
118,m1477_06_fill_holes_and_orientation.obj,Bicycle
119,m1478_06_fill_holes_and_orientation.obj,Bicycle
120,D00069_06_fill_holes_and_orientation.obj,Biplane
121,D00132_06_fill_holes_and_orientation.obj,Biplane
122,D00178_06_fill_holes_and_orientation.obj,Biplane
123,D00199_06_fill_holes_and_orientation.obj,Biplane
124,D00246_06_fill_holes_and_orientation.obj,Biplane
125,D00276_06_fill_holes_and_orientation.obj,Biplane
126,D00277_06_fill_holes_and_orientation.obj,Biplane
127,D00320_06_fill_holes_and_orientation.obj,Biplane
128,D00373_06_fill_holes_and_orientation.obj,Biplane
129,D00410_06_fill_holes_and_orientation.obj,Biplane
130,D00490_06_fill_holes_and_orientation.obj,Biplane
131,D00515_06_fill_holes_and_orientation.obj,Biplane
132,D00601_06_fill_holes_and_orientation.obj,Biplane
133,D00616_06_fill_holes_and_orientation.obj,Biplane
134,D00632_06_fill_holes_and_orientation.obj,Biplane
135,D00634_06_fill_holes_and_orientation.obj,Biplane
136,D00666_06_fill_holes_and_orientation.obj,Biplane
137,D00854_06_fill_holes_and_orientation.obj,Biplane
138,D00890_06_fill_holes_and_orientation.obj,Biplane
139,D00900_06_fill_holes_and_orientation.obj,Biplane
140,m1118_06_fill_holes_and_orientation.obj,Biplane
141,m1119_06_fill_holes_and_orientation.obj,Biplane
142,m1120_06_fill_holes_and_orientation.obj,Biplane
143,m1121_06_fill_holes_and_orientation.obj,Biplane
144,m1122_06_fill_holes_and_orientation.obj,Biplane
145,m1123_06_fill_holes_and_orientation.obj,Biplane
146,m1124_06_fill_holes_and_orientation.obj,Biplane
147,m1125_06_fill_holes_and_orientation.obj,Biplane
148,m1126_06_fill_holes_and_orientation.obj,Biplane
149,m1127_06_fill_holes_and_orientation.obj,Biplane
150,m1128_06_fill_holes_and_orientation.obj,Biplane
151,m1129_06_fill_holes_and_orientation.obj,Biplane
152,m1131_06_fill_holes_and_orientation.obj,Biplane
153,m1132_06_fill_holes_and_orientation.obj,Biplane
154,m1133_06_fill_holes_and_orientation.obj,Biplane
155,m1134_06_fill_holes_and_orientation.obj,Biplane
156,m1135_06_fill_holes_and_orientation.obj,Biplane
157,m1136_06_fill_holes_and_orientation.obj,Biplane
158,m1137_06_fill_holes_and_orientation.obj,Biplane
159,m1138_06_fill_holes_and_orientation.obj,Biplane
160,m1139_06_fill_holes_and_orientation.obj,Biplane
161,m1141_06_fill_holes_and_orientation.obj,Biplane
162,m1143_06_fill_holes_and_orientation.obj,Biplane
163,m1144_06_fill_holes_and_orientation.obj,Biplane
164,m1146_06_fill_holes_and_orientation.obj,Biplane
165,D00089_06_fill_holes_and_orientation.obj,Bird
166,D00113_06_fill_holes_and_orientation.obj,Bird
167,D00164_06_fill_holes_and_orientation.obj,Bird
168,D00234_06_fill_holes_and_orientation.obj,Bird
169,D00271_06_fill_holes_and_orientation.obj,Bird
170,D00284_06_fill_holes_and_orientation.obj,Bird
171,D00323_06_fill_holes_and_orientation.obj,Bird
172,D00386_06_fill_holes_and_orientation.obj,Bird
173,D00438_06_fill_holes_and_orientation.obj,Bird
174,D00442_06_fill_holes_and_orientation.obj,Bird
175,D00546_06_fill_holes_and_orientation.obj,Bird
176,D00599_06_fill_holes_and_orientation.obj,Bird
177,D00625_06_fill_holes_and_orientation.obj,Bird
178,D00689_06_fill_holes_and_orientation.obj,Bird
179,D00736_06_fill_holes_and_orientation.obj,Bird
180,D00762_06_fill_holes_and_orientation.obj,Bird
181,D00862_06_fill_holes_and_orientation.obj,Bird
182,D00922_06_fill_holes_and_orientation.obj,Bird
183,D00961_06_fill_holes_and_orientation.obj,Bird
184,D00999_06_fill_holes_and_orientation.obj,Bird
185,m28_06_fill_holes_and_orientation.obj,Bird
186,m29_06_fill_holes_and_orientation.obj,Bird
187,m30_06_fill_holes_and_orientation.obj,Bird
188,m31_06_fill_holes_and_orientation.obj,Bird
189,m32_06_fill_holes_and_orientation.obj,Bird
190,m33_06_fill_holes_and_orientation.obj,Bird
191,m34_06_fill_holes_and_orientation.obj,Bird
192,m35_06_fill_holes_and_orientation.obj,Bird
193,m36_06_fill_holes_and_orientation.obj,Bird
194,m37_06_fill_holes_and_orientation.obj,Bird
195,m38_06_fill_holes_and_orientation.obj,Bird
196,m39_06_fill_holes_and_orientation.obj,Bird
197,m40_06_fill_holes_and_orientation.obj,Bird
198,m41_06_fill_holes_and_orientation.obj,Bird
199,m43_06_fill_holes_and_orientation.obj,Bird
200,m44_06_fill_holes_and_orientation.obj,Bird
201,m45_06_fill_holes_and_orientation.obj,Bird
202,m47_06_fill_holes_and_orientation.obj,Bird
203,m48_06_fill_holes_and_orientation.obj,Bird
204,m49_06_fill_holes_and_orientation.obj,Bird
205,m50_06_fill_holes_and_orientation.obj,Bird
206,m51_06_fill_holes_and_orientation.obj,Bird
207,m52_06_fill_holes_and_orientation.obj,Bird
208,D01009_06_fill_holes_and_orientation.obj,Bookset
209,D01013_06_fill_holes_and_orientation.obj,Bookset
210,D01030_06_fill_holes_and_orientation.obj,Bookset
211,D01038_06_fill_holes_and_orientation.obj,Bookset
212,D01042_06_fill_holes_and_orientation.obj,Bookset
213,D01050_06_fill_holes_and_orientation.obj,Bookset
214,D01065_06_fill_holes_and_orientation.obj,Bookset
215,D01078_06_fill_holes_and_orientation.obj,Bookset
216,D01096_06_fill_holes_and_orientation.obj,Bookset
217,D01108_06_fill_holes_and_orientation.obj,Bookset
218,D01109_06_fill_holes_and_orientation.obj,Bookset
219,D01110_06_fill_holes_and_orientation.obj,Bookset
220,D01122_06_fill_holes_and_orientation.obj,Bookset
221,D01135_06_fill_holes_and_orientation.obj,Bookset
222,D01146_06_fill_holes_and_orientation.obj,Bookset
223,D01182_06_fill_holes_and_orientation.obj,Bookset
224,D01183_06_fill_holes_and_orientation.obj,Bookset
225,D01184_06_fill_holes_and_orientation.obj,Bookset
226,D01190_06_fill_holes_and_orientation.obj,Bookset
227,D01199_06_fill_holes_and_orientation.obj,Bookset
228,D00020_06_fill_holes_and_orientation.obj,Bottle
229,D00123_06_fill_holes_and_orientation.obj,Bottle
230,D00139_06_fill_holes_and_orientation.obj,Bottle
231,D00166_06_fill_holes_and_orientation.obj,Bottle
232,D00176_06_fill_holes_and_orientation.obj,Bottle
233,D00208_06_fill_holes_and_orientation.obj,Bottle
234,D00281_06_fill_holes_and_orientation.obj,Bottle
235,D00311_06_fill_holes_and_orientation.obj,Bottle
236,D00347_06_fill_holes_and_orientation.obj,Bottle
237,D00350_06_fill_holes_and_orientation.obj,Bottle
238,D00390_06_fill_holes_and_orientation.obj,Bottle
239,D00451_06_fill_holes_and_orientation.obj,Bottle
240,D00679_06_fill_holes_and_orientation.obj,Bottle
241,D00696_06_fill_holes_and_orientation.obj,Bottle
242,D00711_06_fill_holes_and_orientation.obj,Bottle
243,D00716_06_fill_holes_and_orientation.obj,Bottle
244,D00726_06_fill_holes_and_orientation.obj,Bottle
245,D00892_06_fill_holes_and_orientation.obj,Bottle
246,D00940_06_fill_holes_and_orientation.obj,Bottle
247,D00959_06_fill_holes_and_orientation.obj,Bottle
248,m482_06_fill_holes_and_orientation.obj,Bottle
249,m483_06_fill_holes_and_orientation.obj,Bottle
250,m484_06_fill_holes_and_orientation.obj,Bottle
251,m485_06_fill_holes_and_orientation.obj,Bottle
252,m486_06_fill_holes_and_orientation.obj,Bottle
253,m488_06_fill_holes_and_orientation.obj,Bottle
254,m489_06_fill_holes_and_orientation.obj,Bottle
255,m490_06_fill_holes_and_orientation.obj,Bottle
256,m491_06_fill_holes_and_orientation.obj,Bottle
257,m492_06_fill_holes_and_orientation.obj,Bottle
258,m382_06_fill_holes_and_orientation.obj,BuildingNonResidential
259,m383_06_fill_holes_and_orientation.obj,BuildingNonResidential
260,m384_06_fill_holes_and_orientation.obj,BuildingNonResidential
261,m385_06_fill_holes_and_orientation.obj,BuildingNonResidential
262,m386_06_fill_holes_and_orientation.obj,BuildingNonResidential
263,m387_06_fill_holes_and_orientation.obj,BuildingNonResidential
264,m389_06_fill_holes_and_orientation.obj,BuildingNonResidential
265,m390_06_fill_holes_and_orientation.obj,BuildingNonResidential
266,m391_06_fill_holes_and_orientation.obj,BuildingNonResidential
267,m392_06_fill_holes_and_orientation.obj,BuildingNonResidential
268,m393_06_fill_holes_and_orientation.obj,BuildingNonResidential
269,m394_06_fill_holes_and_orientation.obj,BuildingNonResidential
270,m395_06_fill_holes_and_orientation.obj,BuildingNonResidential
271,m396_06_fill_holes_and_orientation.obj,BuildingNonResidential
272,m397_06_fill_holes_and_orientation.obj,BuildingNonResidential
273,m398_06_fill_holes_and_orientation.obj,BuildingNonResidential
274,m399_06_fill_holes_and_orientation.obj,BuildingNonResidential
275,m400_06_fill_holes_and_orientation.obj,BuildingNonResidential
276,m401_06_fill_holes_and_orientation.obj,BuildingNonResidential
277,m402_06_fill_holes_and_orientation.obj,BuildingNonResidential
278,m404_06_fill_holes_and_orientation.obj,BuildingNonResidential
279,m405_06_fill_holes_and_orientation.obj,BuildingNonResidential
280,m406_06_fill_holes_and_orientation.obj,BuildingNonResidential
281,m407_06_fill_holes_and_orientation.obj,BuildingNonResidential
282,m408_06_fill_holes_and_orientation.obj,BuildingNonResidential
283,m409_06_fill_holes_and_orientation.obj,BuildingNonResidential
284,m410_06_fill_holes_and_orientation.obj,BuildingNonResidential
285,m412_06_fill_holes_and_orientation.obj,BuildingNonResidential
286,m413_06_fill_holes_and_orientation.obj,BuildingNonResidential
287,m414_06_fill_holes_and_orientation.obj,BuildingNonResidential
288,m415_06_fill_holes_and_orientation.obj,BuildingNonResidential
289,m416_06_fill_holes_and_orientation.obj,BuildingNonResidential
290,m418_06_fill_holes_and_orientation.obj,BuildingNonResidential
291,m420_06_fill_holes_and_orientation.obj,BuildingNonResidential
292,m421_06_fill_holes_and_orientation.obj,BuildingNonResidential
293,m470_06_fill_holes_and_orientation.obj,BuildingNonResidential
294,m472_06_fill_holes_and_orientation.obj,BuildingNonResidential
295,m474_06_fill_holes_and_orientation.obj,BuildingNonResidential
296,m477_06_fill_holes_and_orientation.obj,BuildingNonResidential
297,m478_06_fill_holes_and_orientation.obj,BuildingNonResidential
298,m479_06_fill_holes_and_orientation.obj,BuildingNonResidential
299,m481_06_fill_holes_and_orientation.obj,BuildingNonResidential
300,D00084_06_fill_holes_and_orientation.obj,Bus
301,D00114_06_fill_holes_and_orientation.obj,Bus
302,D00151_06_fill_holes_and_orientation.obj,Bus
303,D00179_06_fill_holes_and_orientation.obj,Bus
304,D00182_06_fill_holes_and_orientation.obj,Bus
305,D00264_06_fill_holes_and_orientation.obj,Bus
306,D00411_06_fill_holes_and_orientation.obj,Bus
307,D00436_06_fill_holes_and_orientation.obj,Bus
308,D00446_06_fill_holes_and_orientation.obj,Bus
309,D00448_06_fill_holes_and_orientation.obj,Bus
310,D00483_06_fill_holes_and_orientation.obj,Bus
311,D00516_06_fill_holes_and_orientation.obj,Bus
312,D00677_06_fill_holes_and_orientation.obj,Bus
313,D00754_06_fill_holes_and_orientation.obj,Bus
314,D00769_06_fill_holes_and_orientation.obj,Bus
315,D00775_06_fill_holes_and_orientation.obj,Bus
316,D00815_06_fill_holes_and_orientation.obj,Bus
317,D00823_06_fill_holes_and_orientation.obj,Bus
318,D00832_06_fill_holes_and_orientation.obj,Bus
319,D00857_06_fill_holes_and_orientation.obj,Bus
320,D00168_06_fill_holes_and_orientation.obj,Car
321,D00236_06_fill_holes_and_orientation.obj,Car
322,D00260_06_fill_holes_and_orientation.obj,Car
323,D00265_06_fill_holes_and_orientation.obj,Car
324,D00299_06_fill_holes_and_orientation.obj,Car
325,D00377_06_fill_holes_and_orientation.obj,Car
326,D00405_06_fill_holes_and_orientation.obj,Car
327,D00452_06_fill_holes_and_orientation.obj,Car
328,D00504_06_fill_holes_and_orientation.obj,Car
329,D00541_06_fill_holes_and_orientation.obj,Car
330,D00618_06_fill_holes_and_orientation.obj,Car
331,D00670_06_fill_holes_and_orientation.obj,Car
332,D00671_06_fill_holes_and_orientation.obj,Car
333,D00724_06_fill_holes_and_orientation.obj,Car
334,D00767_06_fill_holes_and_orientation.obj,Car
335,D00785_06_fill_holes_and_orientation.obj,Car
336,D00793_06_fill_holes_and_orientation.obj,Car
337,D00803_06_fill_holes_and_orientation.obj,Car
338,D00865_06_fill_holes_and_orientation.obj,Car
339,D00976_06_fill_holes_and_orientation.obj,Car
340,m1485_06_fill_holes_and_orientation.obj,Car
341,m1486_06_fill_holes_and_orientation.obj,Car
342,m1487_06_fill_holes_and_orientation.obj,Car
343,m1488_06_fill_holes_and_orientation.obj,Car
344,m1489_06_fill_holes_and_orientation.obj,Car
345,m1490_06_fill_holes_and_orientation.obj,Car
346,m1492_06_fill_holes_and_orientation.obj,Car
347,m1495_06_fill_holes_and_orientation.obj,Car
348,m1496_06_fill_holes_and_orientation.obj,Car
349,m1497_06_fill_holes_and_orientation.obj,Car
350,m1498_06_fill_holes_and_orientation.obj,Car
351,m1499_06_fill_holes_and_orientation.obj,Car
352,m1500_06_fill_holes_and_orientation.obj,Car
353,m1502_06_fill_holes_and_orientation.obj,Car
354,m1503_06_fill_holes_and_orientation.obj,Car
355,m1504_06_fill_holes_and_orientation.obj,Car
356,m1505_06_fill_holes_and_orientation.obj,Car
357,m1506_06_fill_holes_and_orientation.obj,Car
358,m1507_06_fill_holes_and_orientation.obj,Car
359,m1508_06_fill_holes_and_orientation.obj,Car
360,m1509_06_fill_holes_and_orientation.obj,Car
361,m1510_06_fill_holes_and_orientation.obj,Car
362,m1511_06_fill_holes_and_orientation.obj,Car
363,m1512_06_fill_holes_and_orientation.obj,Car
364,m1513_06_fill_holes_and_orientation.obj,Car
365,m1514_06_fill_holes_and_orientation.obj,Car
366,m1515_06_fill_holes_and_orientation.obj,Car
367,m1516_06_fill_holes_and_orientation.obj,Car
368,m1517_06_fill_holes_and_orientation.obj,Car
369,m1518_06_fill_holes_and_orientation.obj,Car
370,m1519_06_fill_holes_and_orientation.obj,Car
371,m1521_06_fill_holes_and_orientation.obj,Car
372,m1522_06_fill_holes_and_orientation.obj,Car
373,m1523_06_fill_holes_and_orientation.obj,Car
374,m1524_06_fill_holes_and_orientation.obj,Car
375,m1525_06_fill_holes_and_orientation.obj,Car
376,m1526_06_fill_holes_and_orientation.obj,Car
377,m1527_06_fill_holes_and_orientation.obj,Car
378,m1528_06_fill_holes_and_orientation.obj,Car
379,m1529_06_fill_holes_and_orientation.obj,Car
380,m1530_06_fill_holes_and_orientation.obj,Car
381,m1531_06_fill_holes_and_orientation.obj,Car
382,m1532_06_fill_holes_and_orientation.obj,Car
383,m1533_06_fill_holes_and_orientation.obj,Car
384,m1535_06_fill_holes_and_orientation.obj,Car
385,m1536_06_fill_holes_and_orientation.obj,Car
386,m1538_06_fill_holes_and_orientation.obj,Car
387,m1539_06_fill_holes_and_orientation.obj,Car
388,m1540_06_fill_holes_and_orientation.obj,Car
389,m1542_06_fill_holes_and_orientation.obj,Car
390,m1543_06_fill_holes_and_orientation.obj,Car
391,m1544_06_fill_holes_and_orientation.obj,Car
392,m1545_06_fill_holes_and_orientation.obj,Car
393,m1546_06_fill_holes_and_orientation.obj,Car
394,m1547_06_fill_holes_and_orientation.obj,Car
395,m1548_06_fill_holes_and_orientation.obj,Car
396,m1550_06_fill_holes_and_orientation.obj,Car
397,m1551_06_fill_holes_and_orientation.obj,Car
398,m1552_06_fill_holes_and_orientation.obj,Car
399,m1553_06_fill_holes_and_orientation.obj,Car
400,m1555_06_fill_holes_and_orientation.obj,Car
401,m1556_06_fill_holes_and_orientation.obj,Car
402,m1557_06_fill_holes_and_orientation.obj,Car
403,m1558_06_fill_holes_and_orientation.obj,Car
404,m1559_06_fill_holes_and_orientation.obj,Car
405,m1560_06_fill_holes_and_orientation.obj,Car
406,m1561_06_fill_holes_and_orientation.obj,Car
407,m1562_06_fill_holes_and_orientation.obj,Car
408,m1563_06_fill_holes_and_orientation.obj,Car
409,D00018_06_fill_holes_and_orientation.obj,Cellphone
410,D00032_06_fill_holes_and_orientation.obj,Cellphone
411,D00079_06_fill_holes_and_orientation.obj,Cellphone
412,D00152_06_fill_holes_and_orientation.obj,Cellphone
413,D00192_06_fill_holes_and_orientation.obj,Cellphone
414,D00248_06_fill_holes_and_orientation.obj,Cellphone
415,D00312_06_fill_holes_and_orientation.obj,Cellphone
416,D00327_06_fill_holes_and_orientation.obj,Cellphone
417,D00362_06_fill_holes_and_orientation.obj,Cellphone
418,D00369_06_fill_holes_and_orientation.obj,Cellphone
419,D00440_06_fill_holes_and_orientation.obj,Cellphone
420,D00527_06_fill_holes_and_orientation.obj,Cellphone
421,D00542_06_fill_holes_and_orientation.obj,Cellphone
422,D00554_06_fill_holes_and_orientation.obj,Cellphone
423,D00559_06_fill_holes_and_orientation.obj,Cellphone
424,D00817_06_fill_holes_and_orientation.obj,Cellphone
425,D00848_06_fill_holes_and_orientation.obj,Cellphone
426,D00902_06_fill_holes_and_orientation.obj,Cellphone
427,D00979_06_fill_holes_and_orientation.obj,Cellphone
428,D00997_06_fill_holes_and_orientation.obj,Cellphone
429,D01017_06_fill_holes_and_orientation.obj,Chess
430,D01019_06_fill_holes_and_orientation.obj,Chess
431,D01021_06_fill_holes_and_orientation.obj,Chess
432,D01043_06_fill_holes_and_orientation.obj,Chess
433,D01045_06_fill_holes_and_orientation.obj,Chess
434,D01049_06_fill_holes_and_orientation.obj,Chess
435,D01053_06_fill_holes_and_orientation.obj,Chess
436,D01080_06_fill_holes_and_orientation.obj,Chess
437,D01081_06_fill_holes_and_orientation.obj,Chess
438,D01099_06_fill_holes_and_orientation.obj,Chess
439,D01105_06_fill_holes_and_orientation.obj,Chess
440,D01112_06_fill_holes_and_orientation.obj,Chess
441,D01123_06_fill_holes_and_orientation.obj,Chess
442,D01126_06_fill_holes_and_orientation.obj,Chess
443,D01130_06_fill_holes_and_orientation.obj,Chess
444,D01138_06_fill_holes_and_orientation.obj,Chess
445,D01145_06_fill_holes_and_orientation.obj,Chess
446,D01171_06_fill_holes_and_orientation.obj,Chess
447,D01186_06_fill_holes_and_orientation.obj,Chess
448,D01188_06_fill_holes_and_orientation.obj,Chess
449,m1589_06_fill_holes_and_orientation.obj,Chess
450,m1591_06_fill_holes_and_orientation.obj,Chess
451,m1593_06_fill_holes_and_orientation.obj,Chess
452,m1595_06_fill_holes_and_orientation.obj,Chess
453,m1596_06_fill_holes_and_orientation.obj,Chess
454,m1598_06_fill_holes_and_orientation.obj,Chess
455,m1599_06_fill_holes_and_orientation.obj,Chess
456,m1600_06_fill_holes_and_orientation.obj,Chess
457,m1601_06_fill_holes_and_orientation.obj,Chess
458,m1602_06_fill_holes_and_orientation.obj,Chess
459,m1603_06_fill_holes_and_orientation.obj,Chess
460,m1604_06_fill_holes_and_orientation.obj,Chess
461,m1605_06_fill_holes_and_orientation.obj,Chess
462,m1606_06_fill_holes_and_orientation.obj,Chess
463,m1607_06_fill_holes_and_orientation.obj,Chess
464,m1608_06_fill_holes_and_orientation.obj,Chess
465,m1609_06_fill_holes_and_orientation.obj,Chess
466,m1610_06_fill_holes_and_orientation.obj,Chess
467,m1611_06_fill_holes_and_orientation.obj,Chess
468,m1612_06_fill_holes_and_orientation.obj,Chess
469,m1613_06_fill_holes_and_orientation.obj,Chess
470,m1614_06_fill_holes_and_orientation.obj,Chess
471,D01001_06_fill_holes_and_orientation.obj,City
472,D01007_06_fill_holes_and_orientation.obj,City
473,D01010_06_fill_holes_and_orientation.obj,City
474,D01018_06_fill_holes_and_orientation.obj,City
475,D01039_06_fill_holes_and_orientation.obj,City
476,D01056_06_fill_holes_and_orientation.obj,City
477,D01066_06_fill_holes_and_orientation.obj,City
478,D01068_06_fill_holes_and_orientation.obj,City
479,D01079_06_fill_holes_and_orientation.obj,City
480,D01090_06_fill_holes_and_orientation.obj,City
481,D01091_06_fill_holes_and_orientation.obj,City
482,D01092_06_fill_holes_and_orientation.obj,City
483,D01101_06_fill_holes_and_orientation.obj,City
484,D01103_06_fill_holes_and_orientation.obj,City
485,D01124_06_fill_holes_and_orientation.obj,City
486,D01133_06_fill_holes_and_orientation.obj,City
487,D01173_06_fill_holes_and_orientation.obj,City
488,D01181_06_fill_holes_and_orientation.obj,City
489,D01192_06_fill_holes_and_orientation.obj,City
490,D01195_06_fill_holes_and_orientation.obj,City
491,m1652_06_fill_holes_and_orientation.obj,City
492,m1654_06_fill_holes_and_orientation.obj,City
493,m1659_06_fill_holes_and_orientation.obj,City
494,m1660_06_fill_holes_and_orientation.obj,City
495,m1661_06_fill_holes_and_orientation.obj,City
496,m1662_06_fill_holes_and_orientation.obj,City
497,m1664_06_fill_holes_and_orientation.obj,City
498,D00005_06_fill_holes_and_orientation.obj,ClassicPiano
499,D00009_06_fill_holes_and_orientation.obj,ClassicPiano
500,D00034_06_fill_holes_and_orientation.obj,ClassicPiano
