,x,y
m947_06_fill_holes_and_orientation.obj,-44.884426,11.598846
m948_06_fill_holes_and_orientation.obj,-45.819714,8.523547
m949_06_fill_holes_and_orientation.obj,-17.941051,20.426668
m950_06_fill_holes_and_orientation.obj,-46.47,4.0143795
m951_06_fill_holes_and_orientation.obj,17.348011,40.71951
D00016_06_fill_holes_and_orientation.obj,-2.048715,-30.995497
D00033_06_fill_holes_and_orientation.obj,-3.6928072,-30.935787
D00040_06_fill_holes_and_orientation.obj,11.89281,-33.61484
D00077_06_fill_holes_and_orientation.obj,-3.6954253,-29.071857
D00078_06_fill_holes_and_orientation.obj,-20.170874,-32.25536
D00462_06_fill_holes_and_orientation.obj,-4.22472,-28.236168
D00514_06_fill_holes_and_orientation.obj,-2.2461717,-27.381779
D00536_06_fill_holes_and_orientation.obj,-21.596773,-31.212221
D00555_06_fill_holes_and_orientation.obj,1.9601418,-24.141846
D00558_06_fill_holes_and_orientation.obj,-3.1557796,-28.265436
D00567_06_fill_holes_and_orientation.obj,-5.0306277,-29.879631
D00621_06_fill_holes_and_orientation.obj,-2.0997996,-30.99814
D00708_06_fill_holes_and_orientation.obj,-3.3925421,-28.500694
D00750_06_fill_holes_and_orientation.obj,-17.851624,-32.901604
D00838_06_fill_holes_and_orientation.obj,-3.2079601,-28.693993
D00847_06_fill_holes_and_orientation.obj,-20.208374,-32.14175
D00904_06_fill_holes_and_orientation.obj,-3.7878065,-31.283792
D00930_06_fill_holes_and_orientation.obj,-19.856737,-31.77981
D00931_06_fill_holes_and_orientation.obj,-2.7856503,-29.109747
D00974_06_fill_holes_and_orientation.obj,11.674466,-35.35038
m1472_06_fill_holes_and_orientation.obj,-6.3052998,-30.189503
m1473_06_fill_holes_and_orientation.obj,-3.290698,-30.618498
m1475_06_fill_holes_and_orientation.obj,11.725763,-35.273468
m1476_06_fill_holes_and_orientation.obj,-5.0274305,-29.877592
m1477_06_fill_holes_and_orientation.obj,-20.252884,-32.11402
m1478_06_fill_holes_and_orientation.obj,-1.8885814,-30.906208
D00069_06_fill_holes_and_orientation.obj,-11.031592,-40.900517
D00132_06_fill_holes_and_orientation.obj,2.486019,-24.961857
D00178_06_fill_holes_and_orientation.obj,-11.006677,-43.35724
D00199_06_fill_holes_and_orientation.obj,-31.5884,-27.049383
D00246_06_fill_holes_and_orientation.obj,-2.019767,-50.45584
D00276_06_fill_holes_and_orientation.obj,-28.102644,-11.866078
D00277_06_fill_holes_and_orientation.obj,-8.718898,-43.772636
D00320_06_fill_holes_and_orientation.obj,-7.4714837,-43.88871
D00373_06_fill_holes_and_orientation.obj,-14.319906,-33.97758
D00410_06_fill_holes_and_orientation.obj,-8.409559,-38.93432
D00490_06_fill_holes_and_orientation.obj,-13.421046,-40.67491
D00515_06_fill_holes_and_orientation.obj,-17.503782,-20.657635
D00601_06_fill_holes_and_orientation.obj,-28.81716,-10.571166
D00616_06_fill_holes_and_orientation.obj,0.2940912,-40.381126
D00632_06_fill_holes_and_orientation.obj,0.036805764,-33.91699
D00634_06_fill_holes_and_orientation.obj,-29.643242,-22.542784
D00666_06_fill_holes_and_orientation.obj,-1.2929138,-23.243214
D00854_06_fill_holes_and_orientation.obj,-13.032129,-41.5682
D00890_06_fill_holes_and_orientation.obj,-30.690268,-30.365105
D00900_06_fill_holes_and_orientation.obj,-7.916653,-43.475967
m1118_06_fill_holes_and_orientation.obj,-20.618988,-35.441345
m1119_06_fill_holes_and_orientation.obj,-18.83621,-21.981968
m1120_06_fill_holes_and_orientation.obj,-30.572662,-30.112734
m1121_06_fill_holes_and_orientation.obj,-26.291824,-22.427687
m1122_06_fill_holes_and_orientation.obj,-16.647102,-25.159801
m1123_06_fill_holes_and_orientation.obj,-13.846716,-21.120255
m1124_06_fill_holes_and_orientation.obj,14.52675,-34.50175
m1125_06_fill_holes_and_orientation.obj,-30.375366,-12.527114
m1126_06_fill_holes_and_orientation.obj,-0.9271642,-22.330015
m1127_06_fill_holes_and_orientation.obj,4.5355015,-20.949451
m1128_06_fill_holes_and_orientation.obj,-1.3579054,-22.784046
m1129_06_fill_holes_and_orientation.obj,-12.623311,-38.703842
m1131_06_fill_holes_and_orientation.obj,7.1920743,-48.815918
m1132_06_fill_holes_and_orientation.obj,12.996896,-34.89651
m1133_06_fill_holes_and_orientation.obj,0.03659886,-33.928814
m1134_06_fill_holes_and_orientation.obj,7.9383297,-36.72443
m1135_06_fill_holes_and_orientation.obj,0.36042154,-24.539747
m1136_06_fill_holes_and_orientation.obj,-2.135038,-46.780426
m1137_06_fill_holes_and_orientation.obj,8.2120075,-37.054523
m1138_06_fill_holes_and_orientation.obj,-27.745218,-26.451582
m1139_06_fill_holes_and_orientation.obj,-17.506018,-38.043922
m1141_06_fill_holes_and_orientation.obj,-7.6604023,-44.620575
m1143_06_fill_holes_and_orientation.obj,-11.041174,-40.883152
m1144_06_fill_holes_and_orientation.obj,-8.854643,-44.672077
m1146_06_fill_holes_and_orientation.obj,5.355743,-50.20139
D00089_06_fill_holes_and_orientation.obj,2.920544,-34.23525
D00113_06_fill_holes_and_orientation.obj,-26.725147,6.329834
D00164_06_fill_holes_and_orientation.obj,-12.518908,-39.95385
D00234_06_fill_holes_and_orientation.obj,2.0274725,-49.52402
D00271_06_fill_holes_and_orientation.obj,-21.392277,-32.636627
D00284_06_fill_holes_and_orientation.obj,-6.781248,-42.13981
D00323_06_fill_holes_and_orientation.obj,21.58584,-44.92696
D00386_06_fill_holes_and_orientation.obj,26.71379,-15.0624695
D00438_06_fill_holes_and_orientation.obj,11.879195,-38.030834
D00442_06_fill_holes_and_orientation.obj,-26.961866,-25.527266
D00546_06_fill_holes_and_orientation.obj,2.8672216,-50.636955
D00599_06_fill_holes_and_orientation.obj,13.454596,-38.693954
D00625_06_fill_holes_and_orientation.obj,-16.168545,-38.732048
D00689_06_fill_holes_and_orientation.obj,-3.498652,-44.93859
D00736_06_fill_holes_and_orientation.obj,9.573857,-38.82989
D00762_06_fill_holes_and_orientation.obj,-5.354955,-38.485947
D00862_06_fill_holes_and_orientation.obj,-2.2488172,-36.57251
D00922_06_fill_holes_and_orientation.obj,-17.82677,-23.668161
D00961_06_fill_holes_and_orientation.obj,12.3012295,-38.9262
D00999_06_fill_holes_and_orientation.obj,4.936309,-47.786255
m28_06_fill_holes_and_orientation.obj,-16.928864,-20.006922
m29_06_fill_holes_and_orientation.obj,5.978502,-0.4600083
m30_06_fill_holes_and_orientation.obj,5.351874,-1.6973538
m31_06_fill_holes_and_orientation.obj,-1.2362556,32.508663
m32_06_fill_holes_and_orientation.obj,-0.60803115,9.191287
m33_06_fill_holes_and_orientation.obj,-22.953178,13.626904
m34_06_fill_holes_and_orientation.obj,-3.3343837,-36.51202
m35_06_fill_holes_and_orientation.obj,-21.111158,15.427692
m36_06_fill_holes_and_orientation.obj,-6.5484138,-15.3131895
m37_06_fill_holes_and_orientation.obj,-24.60105,-21.745707
m38_06_fill_holes_and_orientation.obj,4.742823,-47.990356
m39_06_fill_holes_and_orientation.obj,18.070686,-14.801366
m40_06_fill_holes_and_orientation.obj,-3.7235234,-44.890636
m41_06_fill_holes_and_orientation.obj,11.877306,-38.044083
m43_06_fill_holes_and_orientation.obj,-2.7369616,-46.01726
m44_06_fill_holes_and_orientation.obj,-3.4882677,-43.313545
m45_06_fill_holes_and_orientation.obj,-6.7477145,-42.22173
m47_06_fill_holes_and_orientation.obj,16.264954,-44.532078
m48_06_fill_holes_and_orientation.obj,20.309248,28.082157
m49_06_fill_holes_and_orientation.obj,0.5839322,42.50728
m50_06_fill_holes_and_orientation.obj,21.035849,27.57856
m51_06_fill_holes_and_orientation.obj,12.954842,29.429037
m52_06_fill_holes_and_orientation.obj,-15.002445,18.835266
D01009_06_fill_holes_and_orientation.obj,-18.659945,49.26071
D01013_06_fill_holes_and_orientation.obj,-7.2241325,54.469498
D01030_06_fill_holes_and_orientation.obj,-12.780564,43.55611
D01038_06_fill_holes_and_orientation.obj,6.1220765,50.343353
D01042_06_fill_holes_and_orientation.obj,-20.870108,-10.387927
D01050_06_fill_holes_and_orientation.obj,-12.557719,44.09244
D01065_06_fill_holes_and_orientation.obj,-7.210782,54.47294
D01078_06_fill_holes_and_orientation.obj,-20.558287,-7.9729714
D01096_06_fill_holes_and_orientation.obj,-36.822704,19.457886
D01108_06_fill_holes_and_orientation.obj,-20.281988,50.63505
D01109_06_fill_holes_and_orientation.obj,-44.031933,-11.549371
D01110_06_fill_holes_and_orientation.obj,-13.687014,50.845108
D01122_06_fill_holes_and_orientation.obj,-13.959584,44.354626
D01135_06_fill_holes_and_orientation.obj,-17.470587,34.844547
D01146_06_fill_holes_and_orientation.obj,-11.386124,45.03485
D01182_06_fill_holes_and_orientation.obj,-20.722076,34.11547
D01183_06_fill_holes_and_orientation.obj,-15.035064,51.110817
D01184_06_fill_holes_and_orientation.obj,3.687675,51.472706
D01190_06_fill_holes_and_orientation.obj,10.472582,55.424095
D01199_06_fill_holes_and_orientation.obj,-16.240232,35.150623
D00020_06_fill_holes_and_orientation.obj,22.241772,35.086716
D00123_06_fill_holes_and_orientation.obj,23.115282,34.466408
D00139_06_fill_holes_and_orientation.obj,23.908686,14.153689
D00166_06_fill_holes_and_orientation.obj,11.426624,39.40379
D00176_06_fill_holes_and_orientation.obj,-23.996738,-34.828934
D00208_06_fill_holes_and_orientation.obj,5.955024,6.658734
D00281_06_fill_holes_and_orientation.obj,12.973257,40.56186
D00311_06_fill_holes_and_orientation.obj,14.995995,46.77667
D00347_06_fill_holes_and_orientation.obj,13.184145,40.74823
D00350_06_fill_holes_and_orientation.obj,22.008387,34.92739
D00390_06_fill_holes_and_orientation.obj,-16.541834,20.29411
D00451_06_fill_holes_and_orientation.obj,12.269447,39.131096
D00679_06_fill_holes_and_orientation.obj,5.748673,3.206186
D00696_06_fill_holes_and_orientation.obj,12.794277,38.95928
D00711_06_fill_holes_and_orientation.obj,-0.15208195,55.49067
D00716_06_fill_holes_and_orientation.obj,16.054344,48.151867
D00726_06_fill_holes_and_orientation.obj,15.600455,45.719223
D00892_06_fill_holes_and_orientation.obj,13.702291,40.66647
D00940_06_fill_holes_and_orientation.obj,15.502256,47.383427
D00959_06_fill_holes_and_orientation.obj,24.442907,27.758167
m482_06_fill_holes_and_orientation.obj,4.912338,6.0000815
m483_06_fill_holes_and_orientation.obj,13.05401,45.896275
m484_06_fill_holes_and_orientation.obj,13.963785,45.817463
m485_06_fill_holes_and_orientation.obj,4.751215,5.91523
m486_06_fill_holes_and_orientation.obj,16.281214,47.364143
m488_06_fill_holes_and_orientation.obj,14.397639,47.10926
m489_06_fill_holes_and_orientation.obj,13.272668,49.424965
m490_06_fill_holes_and_orientation.obj,12.1979265,41.000893
m491_06_fill_holes_and_orientation.obj,-1.4189569,46.991177
m492_06_fill_holes_and_orientation.obj,20.49528,32.998802
m382_06_fill_holes_and_orientation.obj,-29.109974,5.81959
m383_06_fill_holes_and_orientation.obj,-26.87222,10.174938
m384_06_fill_holes_and_orientation.obj,-14.915773,-14.73302
m385_06_fill_holes_and_orientation.obj,-27.984625,9.816496
m386_06_fill_holes_and_orientation.obj,-38.441456,7.4423857
m387_06_fill_holes_and_orientation.obj,-36.838825,-7.702679
m389_06_fill_holes_and_orientation.obj,-26.24791,19.500345
m390_06_fill_holes_and_orientation.obj,-8.268939,12.258145
m391_06_fill_holes_and_orientation.obj,-14.107142,20.413445
m392_06_fill_holes_and_orientation.obj,-6.406786,-17.407051
m393_06_fill_holes_and_orientation.obj,-26.831999,9.095506
m394_06_fill_holes_and_orientation.obj,-42.20221,2.53841
m395_06_fill_holes_and_orientation.obj,-40.41071,19.25212
m396_06_fill_holes_and_orientation.obj,-37.631855,4.395321
m397_06_fill_holes_and_orientation.obj,-20.274912,-14.22993
m398_06_fill_holes_and_orientation.obj,-4.3744855,51.185177
m399_06_fill_holes_and_orientation.obj,-29.182062,21.436079
m400_06_fill_holes_and_orientation.obj,-34.15496,12.088152
m401_06_fill_holes_and_orientation.obj,-14.710729,-12.924185
m402_06_fill_holes_and_orientation.obj,-11.51253,41.628555
m404_06_fill_holes_and_orientation.obj,-12.58186,14.618632
m405_06_fill_holes_and_orientation.obj,-38.85811,18.491411
m406_06_fill_holes_and_orientation.obj,-29.027353,14.181868
m407_06_fill_holes_and_orientation.obj,-23.451279,-6.8478746
m408_06_fill_holes_and_orientation.obj,11.439327,54.38
m409_06_fill_holes_and_orientation.obj,-7.637383,-16.57535
m410_06_fill_holes_and_orientation.obj,-10.740482,-23.844238
m412_06_fill_holes_and_orientation.obj,0.60170984,-30.952864
m413_06_fill_holes_and_orientation.obj,-37.98981,18.939009
m414_06_fill_holes_and_orientation.obj,-36.63659,6.217326
m415_06_fill_holes_and_orientation.obj,-17.94834,12.287658
m416_06_fill_holes_and_orientation.obj,8.502874,53.477783
m418_06_fill_holes_and_orientation.obj,-39.533947,20.762121
m420_06_fill_holes_and_orientation.obj,-23.024263,31.640978
m421_06_fill_holes_and_orientation.obj,-28.907455,24.745216
m470_06_fill_holes_and_orientation.obj,24.063244,-8.984277
m472_06_fill_holes_and_orientation.obj,22.969976,10.887497
m474_06_fill_holes_and_orientation.obj,-32.413055,-19.290075
m477_06_fill_holes_and_orientation.obj,3.0034595,-42.964417
m478_06_fill_holes_and_orientation.obj,-1.2444596,-29.435947
m479_06_fill_holes_and_orientation.obj,-21.614485,-34.967106
m481_06_fill_holes_and_orientation.obj,3.1073558,-40.942635
D00084_06_fill_holes_and_orientation.obj,6.5372744,6.83955
D00114_06_fill_holes_and_orientation.obj,-22.112051,30.172743
D00151_06_fill_holes_and_orientation.obj,-5.499332,-6.380642
D00179_06_fill_holes_and_orientation.obj,19.705257,37.207996
D00182_06_fill_holes_and_orientation.obj,19.918425,37.12413
D00264_06_fill_holes_and_orientation.obj,7.984541,44.134613
D00411_06_fill_holes_and_orientation.obj,21.00649,16.873945
D00436_06_fill_holes_and_orientation.obj,7.501833,48.362732
D00446_06_fill_holes_and_orientation.obj,23.558693,37.824055
D00448_06_fill_holes_and_orientation.obj,-18.68403,24.459402
D00483_06_fill_holes_and_orientation.obj,7.1272597,54.789806
D00516_06_fill_holes_and_orientation.obj,11.739437,47.80917
D00677_06_fill_holes_and_orientation.obj,-25.943705,26.548872
D00754_06_fill_holes_and_orientation.obj,-7.0617194,7.811015
D00769_06_fill_holes_and_orientation.obj,-6.9433055,7.8357396
D00775_06_fill_holes_and_orientation.obj,-15.5052185,-3.453801
D00815_06_fill_holes_and_orientation.obj,6.821728,49.384182
D00823_06_fill_holes_and_orientation.obj,-7.6451283,8.652424
D00832_06_fill_holes_and_orientation.obj,-1.2197843,34.25284
D00857_06_fill_holes_and_orientation.obj,5.144591,34.6481
D00168_06_fill_holes_and_orientation.obj,-4.9002886,26.560078
D00236_06_fill_holes_and_orientation.obj,-13.21302,35.300213
D00260_06_fill_holes_and_orientation.obj,-27.165943,24.235657
D00265_06_fill_holes_and_orientation.obj,-17.34395,5.2410645
D00299_06_fill_holes_and_orientation.obj,-16.782282,50.030647
D00377_06_fill_holes_and_orientation.obj,5.6561527,47.68059
D00405_06_fill_holes_and_orientation.obj,-9.685551,36.168777
D00452_06_fill_holes_and_orientation.obj,-15.653593,37.315475
D00504_06_fill_holes_and_orientation.obj,-13.258105,26.907589
D00541_06_fill_holes_and_orientation.obj,-32.57738,-2.71667
D00618_06_fill_holes_and_orientation.obj,4.657327,46.32604
D00670_06_fill_holes_and_orientation.obj,-19.513977,-2.9224598
D00671_06_fill_holes_and_orientation.obj,10.065135,50.80284
D00724_06_fill_holes_and_orientation.obj,-27.935589,22.228289
D00767_06_fill_holes_and_orientation.obj,2.6319463,46.744534
D00785_06_fill_holes_and_orientation.obj,-32.65183,-2.2105093
D00793_06_fill_holes_and_orientation.obj,6.6526055,47.849865
D00803_06_fill_holes_and_orientation.obj,-8.266695,25.818838
D00865_06_fill_holes_and_orientation.obj,5.452675,48.7998
D00976_06_fill_holes_and_orientation.obj,-19.522161,28.891357
m1485_06_fill_holes_and_orientation.obj,1.9623969,45.88108
m1486_06_fill_holes_and_orientation.obj,1.5716285,46.97665
m1487_06_fill_holes_and_orientation.obj,-20.000345,28.33419
m1488_06_fill_holes_and_orientation.obj,-32.98275,20.708054
m1489_06_fill_holes_and_orientation.obj,0.6496932,33.40273
m1490_06_fill_holes_and_orientation.obj,-18.866104,22.278383
m1492_06_fill_holes_and_orientation.obj,-19.899794,-0.5858545
m1495_06_fill_holes_and_orientation.obj,-12.477857,27.363985
m1496_06_fill_holes_and_orientation.obj,-4.480216,27.341465
m1497_06_fill_holes_and_orientation.obj,4.0734577,29.912125
m1498_06_fill_holes_and_orientation.obj,-17.68296,24.497818
m1499_06_fill_holes_and_orientation.obj,-27.806484,22.676355
m1500_06_fill_holes_and_orientation.obj,0.8277726,33.893814
m1502_06_fill_holes_and_orientation.obj,0.7399719,-10.06697
m1503_06_fill_holes_and_orientation.obj,17.46114,-35.861732
m1504_06_fill_holes_and_orientation.obj,-10.035351,3.8489966
m1505_06_fill_holes_and_orientation.obj,20.751274,14.049226
m1506_06_fill_holes_and_orientation.obj,-15.253433,7.350969
m1507_06_fill_holes_and_orientation.obj,-11.870924,4.6734934
m1508_06_fill_holes_and_orientation.obj,3.0735335,6.4112353
m1509_06_fill_holes_and_orientation.obj,-19.079903,1.9205601
m1510_06_fill_holes_and_orientation.obj,20.035988,14.032836
m1511_06_fill_holes_and_orientation.obj,-12.850921,4.4689374
m1512_06_fill_holes_and_orientation.obj,18.820406,14.951626
m1513_06_fill_holes_and_orientation.obj,11.126384,-4.0394564
m1514_06_fill_holes_and_orientation.obj,17.440344,10.052883
m1515_06_fill_holes_and_orientation.obj,2.7565873,7.152409
m1516_06_fill_holes_and_orientation.obj,4.830751,46.906906
m1517_06_fill_holes_and_orientation.obj,-4.6800785,26.165031
m1518_06_fill_holes_and_orientation.obj,6.923454,46.157894
m1519_06_fill_holes_and_orientation.obj,7.644984,46.924393
m1521_06_fill_holes_and_orientation.obj,6.873805,44.382496
m1522_06_fill_holes_and_orientation.obj,4.6714625,47.635723
m1523_06_fill_holes_and_orientation.obj,6.8924756,46.695972
m1524_06_fill_holes_and_orientation.obj,8.091866,46.551476
m1525_06_fill_holes_and_orientation.obj,-17.302994,25.811245
m1526_06_fill_holes_and_orientation.obj,7.8653865,45.86325
m1527_06_fill_holes_and_orientation.obj,1.6398051,35.377422
m1528_06_fill_holes_and_orientation.obj,8.214006,50.18911
m1529_06_fill_holes_and_orientation.obj,4.7477884,48.136284
m1530_06_fill_holes_and_orientation.obj,2.9957185,34.259476
m1531_06_fill_holes_and_orientation.obj,8.064652,47.71334
m1532_06_fill_holes_and_orientation.obj,5.0130806,44.91556
m1533_06_fill_holes_and_orientation.obj,8.970183,47.04124
m1535_06_fill_holes_and_orientation.obj,2.0892434,34.70618
m1536_06_fill_holes_and_orientation.obj,13.820636,46.647095
m1538_06_fill_holes_and_orientation.obj,6.9020386,46.713886
m1539_06_fill_holes_and_orientation.obj,5.6646166,47.655308
m1540_06_fill_holes_and_orientation.obj,8.546413,45.69908
m1542_06_fill_holes_and_orientation.obj,-9.61961,29.792484
m1543_06_fill_holes_and_orientation.obj,-17.576105,23.072403
m1544_06_fill_holes_and_orientation.obj,-12.147165,-0.6744139
m1545_06_fill_holes_and_orientation.obj,11.494199,51.220882
m1546_06_fill_holes_and_orientation.obj,-14.916038,32.89255
m1547_06_fill_holes_and_orientation.obj,-0.04589018,34.49635
m1548_06_fill_holes_and_orientation.obj,11.4950075,51.22005
m1550_06_fill_holes_and_orientation.obj,-5.8939285,27.221758
m1551_06_fill_holes_and_orientation.obj,8.011028,52.081963
m1552_06_fill_holes_and_orientation.obj,6.0441437,45.949844
m1553_06_fill_holes_and_orientation.obj,-36.018913,-6.895319
m1555_06_fill_holes_and_orientation.obj,-12.978081,17.169361
m1556_06_fill_holes_and_orientation.obj,-13.133698,-1.0956706
m1557_06_fill_holes_and_orientation.obj,2.3861353,47.437508
m1558_06_fill_holes_and_orientation.obj,-14.663545,1.2243841
m1559_06_fill_holes_and_orientation.obj,-32.46853,-0.52800936
m1560_06_fill_holes_and_orientation.obj,-28.508213,17.99711
m1561_06_fill_holes_and_orientation.obj,-22.356445,16.41356
m1562_06_fill_holes_and_orientation.obj,-35.30273,20.893354
m1563_06_fill_holes_and_orientation.obj,-16.462742,42.216328
D00018_06_fill_holes_and_orientation.obj,28.983091,28.577162
D00032_06_fill_holes_and_orientation.obj,13.453425,48.267727
D00079_06_fill_holes_and_orientation.obj,22.348522,46.775223
D00152_06_fill_holes_and_orientation.obj,17.11147,49.922733
D00192_06_fill_holes_and_orientation.obj,26.875933,38.67805
D00248_06_fill_holes_and_orientation.obj,22.887213,31.394766
D00312_06_fill_holes_and_orientation.obj,37.407776,-22.899925
D00327_06_fill_holes_and_orientation.obj,18.725283,46.66371
D00362_06_fill_holes_and_orientation.obj,17.328287,51.81561
D00369_06_fill_holes_and_orientation.obj,12.89992,47.01286
D00440_06_fill_holes_and_orientation.obj,23.800108,33.365112
D00527_06_fill_holes_and_orientation.obj,19.058546,47.405148
D00542_06_fill_holes_and_orientation.obj,21.200203,33.421017
D00554_06_fill_holes_and_orientation.obj,11.790746,52.50485
D00559_06_fill_holes_and_orientation.obj,-5.5174065,-25.19561
D00817_06_fill_holes_and_orientation.obj,17.345078,50.19716
D00848_06_fill_holes_and_orientation.obj,26.040125,36.714603
D00902_06_fill_holes_and_orientation.obj,0.42915624,55.943283
D00979_06_fill_holes_and_orientation.obj,-5.6758466,-25.540123
D00997_06_fill_holes_and_orientation.obj,12.869059,47.213985
D01017_06_fill_holes_and_orientation.obj,-10.091211,39.29577
D01019_06_fill_holes_and_orientation.obj,0.49307913,25.66952
D01021_06_fill_holes_and_orientation.obj,7.6663375,25.493244
D01043_06_fill_holes_and_orientation.obj,1.3057282,24.728485
D01045_06_fill_holes_and_orientation.obj,4.3393073,23.337175
D01049_06_fill_holes_and_orientation.obj,21.765362,27.447725
D01053_06_fill_holes_and_orientation.obj,-3.6114988,29.725838
D01080_06_fill_holes_and_orientation.obj,5.8077497,15.3730755
