mesh_index,bary_before_translation,bary_after_translation,bbox_before_scaling,bbox_after_scaling
70,0.154844169,1.43E-15,1.641129971,1
71,0.14430731,2.13E-16,1.69807303,1
72,0.161424603,7.21E-16,1.687686026,1
73,0.157882638,1.03E-15,1.484826982,1
74,0.097114892,2.04E-16,1.702580035,1
75,0.141182665,3.38E-16,1.724192977,1
76,0.047314003,5.35E-16,1.81191498,1
77,0.115686674,3.70E-16,1.807140946,1
78,0.085642598,9.11E-16,1.595934033,1
79,0.117021616,2.97E-16,1.676845968,1
80,0.131847408,1.41E-15,1.709518015,1
81,0.149186954,4.07E-16,1.546605021,1
82,0.199327733,5.37E-16,1.688862026,1
83,0.080414781,1.03E-15,1.696887016,1
84,0.244653995,1.72E-15,1.758363008,1
85,0.088432754,5.58E-16,1.714960992,1
86,0.158692181,1.04E-15,1.665042996,1
87,0.195573324,8.00E-16,1.705187023,1
88,0.206901926,1.26E-15,1.683396995,1
89,0.653042331,3.25E-15,0.950000023,1
90,0.616464446,6.76E-16,0.950000023,1
91,0.631445953,6.76E-16,0.950000023,1
92,0.698595455,9.06E-15,0.950000023,1
93,0.62896162,3.61E-15,0.950000023,1
94,0.669289839,4.45E-15,0.950000023,1
95,0.657706191,4.11E-15,0.960645024,1
96,0.143168359,6.04E-16,1.874253988,1
97,0.188642591,3.00E-16,1.94392395,1
98,0.069388663,5.78E-16,1.904793978,1
99,0.177929187,1.06E-15,1.89160198,1
100,0.061671006,1.28E-15,1.886810064,1
101,0.020047746,1.83E-16,1.914704025,1
102,0.114533186,6.91E-16,1.868110955,1
103,0.06495533,3.60E-16,1.908133984,1
104,0.106113872,6.91E-16,1.926473022,1
105,0.065690601,5.47E-16,1.953063965,1
106,0.070949616,6.97E-16,1.914897978,1
107,0.078259183,3.04E-16,1.871672988,1
108,0.02503062,8.48E-16,1.935889959,1
109,0.18629197,8.56E-16,1.914938986,1
110,0.039897828,4.18E-16,1.914917946,1
111,0.058969865,1.91E-16,1.906322002,1
112,0.065180763,2.93E-16,1.912909031,1
113,0.093712919,1.21E-15,1.730537057,1
114,0.162149853,1.50E-15,1.770130038,1
115,0.056765745,8.59E-16,1.893955946,1
116,0.621954417,1.89E-15,0.950000023,1
117,0.605810378,2.00E-15,0.950000023,1
118,0.584412221,1.27E-15,0.950000023,1
119,0.578999564,1.07E-15,0.950000023,1
120,0.609974626,6.02E-15,0.950000023,1
121,0.551980212,1.42E-15,0.950000023,1
122,0.101403791,2.31E-16,1.96855706,1
123,0.086005549,1.51E-15,1.896194041,1
124,0.044206558,1.06E-16,1.067676008,1
125,0.133929548,4.07E-16,1.932136059,1
126,0.032772906,3.10E-16,1.983473003,1
127,0.305420088,2.01E-15,1.779216051,1
128,0.068663561,2.06E-16,1.868561029,1
129,0.022414291,3.09E-16,1.974712014,1
130,0.124685439,8.53E-16,1.898203015,1
131,0.177431739,3.92E-16,1.922227085,1
132,0.102643634,4.12E-16,1.829218984,1
133,0.243489797,1.46E-15,1.753328025,1
134,0.03337043,3.07E-16,1.628288984,1
135,0.103081837,3.41E-16,1.982960045,1
136,0.111722746,6.09E-16,1.872451007,1
137,0.131846909,5.85E-16,1.934675038,1
138,0.285917857,1.70E-15,1.917883992,1
139,0.117675765,5.99E-16,1.933306992,1
140,0.150591803,1.18E-15,1.771344006,1
141,0.19077237,6.15E-16,1.977328002,1
142,0.586038025,3.79E-15,0.950000023,1
143,0.609386994,1.78E-15,0.950000023,1
144,0.772564653,8.19E-15,0.950000023,1
145,0.589279369,2.96E-15,0.950000023,1
146,0.64843325,5.52E-15,0.950000023,1
147,0.622969007,4.44E-16,0.950013997,1
148,0.581037116,2.31E-15,0.950000023,1
149,0.598054688,3.12E-15,0.950000023,1
150,0.635721833,5.33E-15,0.950000023,1
151,0.567774477,2.04E-15,0.950000023,1
152,0.718652053,4.05E-15,0.950000023,1
153,0.713133564,5.11E-15,0.950000023,1
154,0.591810583,1.17E-15,0.950000023,1
155,0.624444516,1.00E-14,0.950046271,1
156,0.606466682,4.00E-15,0.950000023,1
157,0.55997188,5.77E-15,0.950000023,1
158,0.57675597,1.95E-15,0.950000023,1
159,0.556634589,3.57E-16,0.950000023,1
160,0.543725029,2.86E-15,0.950000023,1
161,0.715585339,4.52E-15,0.922505025,1
162,0.627376598,3.27E-15,0.950199675,1
163,0.698718044,1.05E-15,0.950000023,1
164,0.58131885,1.26E-15,0.950000023,1
165,0.588621975,3.89E-15,0.950029425,1
166,0.65903259,7.20E-15,0.950000023,1
167,0.200695277,5.75E-16,1.915150046,1
168,0.227206771,1.40E-16,1.719366014,1
169,0.298554914,5.87E-16,1.881908,1
170,0.046209255,8.66E-16,1.875739992,1
171,0.251145659,3.16E-15,1.909856021,1
172,0.267544233,6.85E-16,1.899975002,1
173,0.223741563,3.90E-16,1.976371944,1
174,0.184950144,5.38E-16,1.868514061,1
175,0.202665356,6.71E-16,1.973214984,1
176,0.064227047,6.90E-16,1.785706997,1
177,0.267116505,1.65E-16,1.951502025,1
178,0.235453048,1.93E-16,1.957250953,1
179,0.224627644,6.79E-16,1.90774703,1
180,0.220713249,1.05E-15,1.938693047,1
181,0.199019075,2.44E-16,1.970283031,1
182,0.213113752,1.55E-15,1.79489398,1
183,0.237305547,6.98E-16,1.96786201,1
184,0.25078487,1.07E-15,1.755916953,1
185,0.199609102,6.19E-17,1.983129978,1
186,0.239826583,1.12E-15,1.996127009,1
187,0.60434411,2.40E-15,0.950000023,1
188,0.817450864,3.14E-15,0.950000023,1
189,0.642989477,1.99E-15,0.950000023,1
190,0.617563297,8.86E-16,0.950000023,1
191,0.686554167,3.43E-15,0.933548275,1
192,0.750324066,2.23E-15,0.950000023,1
193,0.593690252,2.13E-15,0.926781096,1
194,0.722714296,6.44E-15,0.950000023,1
195,0.820975762,7.43E-15,0.950000023,1
196,0.679308605,5.34E-15,0.950000023,1
197,0.544310261,1.86E-15,0.950000023,1
198,0.681585753,3.65E-15,0.950000023,1
199,0.572138584,1.45E-15,0.950000023,1
200,0.587360174,5.06E-16,0.950000023,1
201,0.583412109,2.52E-15,0.851652002,1
202,0.704667781,3.19E-15,0.950000023,1
203,0.57431524,1.94E-15,0.950000023,1
204,0.593869041,2.77E-15,0.950000023,1
205,0.662526409,2.54E-15,0.950000023,1
206,0.635131334,2.79E-15,0.950000023,1
207,0.699959247,2.39E-15,0.950000023,1
208,0.600165387,1.83E-15,0.950000023,1
209,0.574372578,1.71E-15,0.950000023,1
210,0.735767537,2.86E-15,0.950000023,1
211,0.278777293,1.31E-15,0.429226011,1
212,0.42857307,1.82E-15,0.457926989,1
213,0.295124434,1.85E-15,0.421721011,1
214,6.490743593,2.14E-14,0.967370272,1
215,1.965464954,4.25E-15,0.284307003,1
216,0.243618685,1.31E-15,0.319762699,1
217,3.725537632,1.41E-14,0.501420021,1
218,0.527820354,2.92E-15,0.306869,1
219,0.347186101,2.77E-15,0.534847975,1
220,1.778779115,1.42E-14,0.399853487,1
221,0.233056266,5.34E-16,0.306869,1
222,0.252751509,1.13E-15,0.349673502,1
223,0.131891301,5.62E-16,0.198004007,1
224,5.769928324,1.34E-14,10.50258344,1
225,3.246323997,2.22E-14,0.318973005,1
226,0.152473764,1.53E-15,0.242645028,1
227,2.314205702,2.12E-14,1.985379934,1
228,0.210150847,3.53E-16,0.326644996,1
229,2.059791782,1.34E-14,0.734610081,1
230,7.927285536,3.32E-14,13.52180004,1
231,0.122028074,1.00E-15,1.672544003,1
232,0.228221089,9.11E-16,1.567470014,1
233,0.082256516,1.42E-16,1.64627701,1
234,0.182585597,4.79E-16,1.734649003,1
235,0.040742219,5.13E-16,1.706259966,1
236,0.048007436,5.13E-16,1.709832966,1
237,0.116339274,4.42E-16,1.708289027,1
238,0.123333875,1.17E-15,1.709605992,1
239,0.047487374,1.99E-16,1.581175983,1
240,0.127805656,1.13E-15,1.761749983,1
241,0.08075779,4.70E-16,1.596919,1
242,0.093574092,4.02E-16,1.561776996,1
243,0.096420516,1.29E-15,1.716407001,1
244,0.068842333,2.68E-16,1.697221994,1
245,0.136268323,1.18E-15,1.904044986,1
246,0.045972226,5.51E-16,1.835703015,1
247,0.391200125,2.89E-15,1.962017059,1
248,0.054432745,2.39E-16,1.690678,1
249,0.11615606,1.76E-15,1.805830956,1
250,0.193512711,8.43E-16,1.509024024,1
251,0.496384171,5.27E-15,0.950000023,1
252,0.500732566,2.44E-16,0.950000023,1
253,0.485578364,6.34E-15,0.950000023,1
254,0.508118931,5.51E-15,0.950000023,1
255,0.521729791,4.52E-16,0.950807011,1
256,0.528068431,4.50E-15,0.950000023,1
257,0.505368997,2.15E-15,0.950000023,1
258,0.45063892,4.27E-15,0.950000023,1
259,0.528089268,1.01E-15,0.950000023,1
260,0.562265515,3.55E-15,0.950000023,1
261,0.596857351,1.09E-15,0.950000023,1
262,0.717999488,1.72E-15,0.950000023,1
263,0.540304632,2.92E-15,0.950000023,1
264,0.682839622,4.24E-15,0.950000023,1
265,0.623344727,3.55E-15,0.950267423,1
266,0.764527612,5.24E-15,0.950000023,1
267,0.728658429,1.38E-15,0.950000023,1
268,0.591082696,1.27E-15,0.957932124,1
269,0.751051674,4.71E-15,0.927219009,1
270,0.624772264,2.16E-15,0.950000023,1
271,0.529143077,8.69E-16,0.950000023,1
272,0.710899323,2.19E-15,0.950000023,1
273,0.753778602,1.09E-15,0.950000023,1
274,0.830413592,4.13E-15,0.950000023,1
275,0.760894921,3.01E-15,0.950000023,1
276,0.802657718,3.38E-15,0.950000023,1
277,0.734079576,2.92E-15,0.950000023,1
278,0.728638104,2.05E-15,0.950000023,1
279,0.675935031,1.54E-15,0.951283013,1
280,0.722056479,1.84E-15,0.950000023,1
281,0.564108784,3.32E-15,0.950000023,1
282,0.61022465,4.28E-15,0.950000023,1
283,0.772220977,2.03E-15,0.950000023,1
284,0.582924926,4.16E-15,0.950000023,1
285,0.702674037,2.72E-15,0.936112022,1
286,0.639709121,2.15E-15,0.950000023,1
287,0.660785994,1.02E-15,0.950000023,1
288,0.7123235,1.31E-15,0.950000023,1
289,0.603794511,3.93E-15,0.950000023,1
290,0.757399724,9.08E-15,0.950000023,1
291,0.803746097,5.56E-15,0.950000023,1
292,0.55463737,1.98E-15,0.950000023,1
293,0.608424995,1.62E-14,0.950000023,1
294,0.651940709,5.67E-15,0.950000023,1
295,0.607033083,6.52E-15,0.950000023,1
296,0.617263168,2.03E-15,0.950000023,1
297,0.878149972,5.07E-15,0.950000023,1
298,0.454659502,2.03E-15,0.950000023,1
299,0.5068942,3.01E-15,0.950000023,1
300,0.886918409,1.64E-16,0.950000023,1
301,0.749938575,3.68E-15,0.950000023,1
302,0.613107639,7.17E-16,0.950000023,1
303,0.680641802,1.43E-15,0.950000023,1
304,0.587476436,8.14E-16,0.950000023,1
305,0.712324159,6.12E-15,0.950000023,1
306,3.98625271,1.92E-14,25.08640003,1
307,4.192016254,4.09E-14,6.854394178,1
308,7.93933924,1.97E-14,13.27007402,1
309,8.004218752,1.05E-14,14.04262966,1
310,18.06794153,9.51E-14,42.18509865,1
311,8.643917299,3.74E-14,12.36799002,1
312,9.071232583,3.87E-14,16.89004431,1
313,7.706297409,1.82E-14,12.50319982,1
314,2.559129816,4.95E-15,15.0002799,1
315,6.384339792,8.10E-15,6.274169922,1
316,284.289357,1.91E-13,695.3770142,1
317,6.21642809,8.78E-14,9.578984827,1
318,3.133145608,2.93E-14,5.421922993,1
319,8.240412363,1.67E-14,14.12460041,1
320,7.066309221,1.41E-14,12.82800007,1
321,5.817848786,7.12E-15,10.65041199,1
322,0.215312821,1.98E-15,12.0357399,1
323,8.674560056,3.09E-15,12.3689003,1
324,4.267177958,2.87E-14,6.463708162,1
325,3.213715208,1.54E-14,10.66002989,1
326,0.168758309,1.74E-15,1.893258035,1
327,0.131548605,1.14E-15,1.886814952,1
328,0.108116978,5.39E-16,1.931407034,1
329,0.129442515,1.34E-15,1.942050993,1
330,0.201697719,1.03E-15,1.628297985,1
331,0.096107167,4.20E-16,1.697332025,1
332,0.106713064,8.83E-16,1.823545992,1
333,0.095986807,8.04E-16,1.756325006,1
334,0.165910459,1.60E-16,1.859736025,1
335,0.108394329,2.91E-16,1.880182981,1
336,0.171353869,9.62E-16,1.933341026,1
337,0.078589509,3.68E-16,1.942095995,1
338,0.101360567,3.01E-16,1.892730057,1
339,0.191665885,4.74E-16,1.857939005,1
340,0.16916484,1.13E-15,1.927413046,1
341,0.097457563,2.07E-16,1.844956994,1
342,0.091863034,1.58E-16,1.936892986,1
343,0.069055772,1.51E-16,1.916284978,1
344,0.096510897,7.69E-16,1.886553943,1
345,0.11673556,2.01E-16,1.778829992,1
346,0.616608823,1.84E-15,0.950000023,1
347,0.57702551,2.07E-15,0.950000023,1
348,0.579492488,1.67E-15,0.950000023,1
349,0.628905398,1.76E-15,0.950000023,1
350,0.616857684,6.31E-15,0.950000023,1
351,0.622529923,6.75E-15,0.950000023,1
352,0.531090776,5.23E-15,0.950000023,1
353,0.562960925,5.39E-16,0.950000023,1
354,0.558980656,3.13E-15,0.950000023,1
355,0.527563825,1.12E-14,0.950000023,1
356,0.565519144,3.70E-15,0.950000023,1
357,0.568189393,3.22E-15,0.949996024,1
358,0.56853832,3.00E-15,0.950000023,1
359,0.570921127,1.74E-15,0.950000023,1
360,0.371338949,2.00E-15,0.949926024,1
361,0.584282149,4.56E-15,0.950095823,1
362,0.484217008,3.08E-15,0.950000023,1
363,0.647949964,2.25E-15,0.950000023,1
364,0.518101779,4.11E-15,0.950000023,1
365,0.579613522,2.33E-15,0.950000023,1
366,0.695341206,2.62E-15,0.949915027,1
367,0.521734217,2.04E-15,0.950000023,1
368,0.667613969,9.64E-16,0.950000023,1
369,0.664681055,1.07E-15,0.950000023,1
370,0.662833367,9.97E-16,0.909458026,1
371,0.618970823,8.83E-15,0.949865023,1
372,0.657401321,3.75E-15,0.950000023,1
373,0.591562376,1.04E-15,0.950000023,1
374,0.566292427,1.56E-15,0.950000023,1
375,0.561118659,3.83E-15,0.950000023,1
376,0.553920699,1.81E-15,0.950000023,1
377,0.580518774,2.18E-15,0.950000023,1
378,0.555384361,3.15E-15,0.950000023,1
379,0.577458731,4.89E-15,0.950000023,1
380,0.564994031,1.92E-15,0.950000023,1
381,0.57821671,2.97E-15,0.950000023,1
382,0.568602413,1.74E-15,0.950000023,1
383,0.683470644,4.55E-15,0.950000023,1
384,0.577798883,1.18E-15,0.949926982,1
385,0.568066356,9.92E-16,0.950000023,1
386,0.571923044,2.11E-15,0.950000023,1
387,0.549680518,1.80E-15,0.950000023,1
388,0.597224221,3.61E-15,0.950000023,1
389,0.557129855,3.71E-15,0.950000023,1
390,0.569015171,9.46E-16,0.949933724,1
391,0.649955171,1.60E-15,0.950000023,1
392,0.558955904,3.65E-15,0.950000023,1
393,0.506781676,1.72E-15,0.950000023,1
394,0.59271856,1.30E-14,0.950000023,1
395,0.565230391,3.50E-15,0.950000023,1
396,0.542873357,2.02E-15,0.950000023,1
397,0.534377948,2.30E-15,0.950000023,1
398,0.537729047,1.55E-15,0.950000023,1
399,0.576579542,8.98E-16,0.950000023,1
400,0.619290256,2.54E-15,0.950000023,1
401,0.537729047,1.55E-15,0.950000023,1
402,0.574177208,2.24E-15,0.950000023,1
403,0.541893595,1.99E-15,0.950000023,1
404,0.5759457,2.65E-15,0.950000023,1
405,0.614704156,2.06E-15,0.950000023,1
406,0.539001311,4.99E-15,0.950000023,1
407,0.503351819,2.22E-15,0.949801004,1
408,0.545414355,2.67E-15,0.950000023,1
409,0.530914542,1.84E-15,0.950000023,1
410,0.569776906,9.71E-16,0.949678974,1
411,0.635917845,5.73E-15,0.950000023,1
412,0.550691737,4.08E-15,0.920137977,1
413,0.661230652,4.03E-15,0.950000023,1
414,0.664974677,4.28E-15,0.950000023,1
415,0.350900745,1.10E-15,1.865329981,1
416,0.093806692,3.01E-16,1.627927065,1
417,0.118224212,5.34E-16,1.95696497,1
418,0.072177383,3.26E-17,1.940497041,1
419,0.113801201,1.52E-15,1.759029984,1
420,0.219833726,9.98E-16,1.580941975,1
421,0.002390815,3.12E-17,1.005662985,1
422,0.142929329,8.30E-16,1.94106698,1
423,0.117358358,8.61E-16,1.860894024,1
424,0.055626339,5.89E-16,1.664176047,1
425,0.045764306,2.78E-16,1.538137019,1
426,0.091286929,2.40E-16,1.90733397,1
427,0.069810382,1.53E-16,1.488983005,1
428,0.085756105,1.31E-15,1.907088995,1
429,0.102335255,7.80E-16,1.728130996,1
430,0.134499886,4.02E-16,1.87322104,1
431,0.055084021,6.14E-16,1.624781966,1
432,0.062656729,2.51E-16,1.875155032,1
433,0.117218757,1.03E-15,1.722663045,1
434,0.047688559,1.07E-16,1.687151968,1
435,0.000352005,1.29E-16,0.444529995,1
436,0.511956279,1.47E-15,0.950000023,1
437,0.718453648,1.39E-15,0.950000023,1
438,0.491591384,1.75E-15,0.950000023,1
439,0.480627091,6.30E-15,0.950000023,1
440,0.501426319,1.07E-15,0.950000023,1
441,0.661392592,2.93E-15,0.950000023,1
442,0.4774225,4.19E-15,0.950000023,1
443,0.553991941,2.86E-15,0.950000023,1
444,0.587464723,6.68E-15,0.950020123,1
445,0.486751666,9.41E-16,0.950000023,1
446,0.468383808,1.25E-15,0.950000023,1
447,0.543597787,2.39E-15,0.950000023,1
448,0.540242994,5.56E-15,0.950000023,1
449,0.483014037,2.87E-15,0.950000023,1
450,0.004218775,1.39E-16,0.578272,1
451,0.001106559,1.73E-16,0.713356018,1
452,0.585723382,3.48E-15,0.950625524,1
453,0.555312746,4.40E-16,0.950000023,1
454,0.709595153,1.27E-15,0.950000023,1
455,0.647711268,5.67E-15,0.950000023,1
456,0.712215061,6.23E-15,0.950000023,1
457,0.709074966,1.02E-15,0.950000023,1
458,0.700058874,4.06E-15,0.950000023,1
459,0.581240552,5.33E-15,0.950000023,1
460,0.468383761,2.39E-15,0.950000023,1
461,0.477423593,3.80E-15,0.950000023,1
462,0.511956146,7.78E-16,0.950000023,1
463,0.553991934,2.92E-15,0.950000023,1
464,0.48062714,5.57E-15,0.950000023,1
465,0.491588798,1.47E-15,0.950000023,1
466,0.501450129,4.24E-15,0.950000023,1
467,0.661392564,2.95E-15,0.950000023,1
468,0.587464749,7.15E-15,0.950020123,1
469,0.540242955,1.89E-15,0.950000023,1
470,0.709596531,5.75E-16,0.950000023,1
471,0.555313919,1.78E-15,0.950000023,1
472,0.592290087,1.20E-15,0.950000023,1
473,0.718454052,2.90E-15,0.950000023,1
474,0.483014119,1.25E-15,0.950000023,1
475,0.486824302,1.30E-15,0.950000023,1
476,0.543593089,3.40E-15,0.950000023,1
477,0.635431572,1.57E-15,0.950000023,1
478,0.541084388,1.15E-15,0.926575325,1
479,0.62770602,5.30E-15,0.950000023,1
480,0.677634735,7.29E-15,0.950000023,1
481,0.666797781,3.94E-15,0.950035477,1
482,0.647224332,2.33E-15,0.950000023,1
483,0.736597077,5.78E-15,0.950000023,1
484,0.70510796,1.72E-15,0.950000023,1
485,0.677159896,1.84E-14,0.950000023,1
486,0.663058784,1.39E-15,0.950000023,1
487,0.650385439,3.75E-15,0.950000023,1
488,0.693216208,4.85E-16,0.950000023,1
489,0.585468465,3.46E-16,0.950000023,1
490,0.679803761,4.46E-15,0.950000023,1
491,0.586220068,4.86E-15,0.950000023,1
492,0.677414088,1.58E-15,0.950000023,1
493,0.68384432,1.94E-15,0.950000023,1
494,0.720599663,9.60E-16,0.950000023,1
495,0.626366093,1.64E-15,0.926575325,1
496,0.636929676,1.35E-15,0.950000023,1
497,0.679787446,4.08E-16,0.950000023,1
498,0.705107876,1.47E-15,0.950000023,1
499,0.67741418,2.44E-15,0.950000023,1
500,0.683844318,1.96E-15,0.950000023,1
501,0.66682962,1.97E-15,0.950035477,1
502,0.677159824,6.61E-15,0.950000023,1
503,0.627784885,1.08E-15,0.950000023,1
504,1.946081744,7.19E-15,1.504019976,1
505,0.898438104,4.93E-15,2.807989955,1
506,9.454372859,6.47E-14,12.26477781,1
507,24.45964812,1.94E-13,59.85739994,1
508,0.894910458,4.90E-15,1.710512042,1
509,4.202245538,8.57E-14,7.358559966,1
510,20.49823583,6.31E-14,27.09999847,1
511,7.399699723,2.17E-14,4.071269989,1
512,0.917892369,7.53E-15,2.047073007,1
513,6.445353637,2.80E-14,3.283452868,1
514,2.443350694,7.47E-15,2.411893904,1
515,7.46438266,4.87E-14,3.822763801,1
516,6.932596644,6.82E-14,3.024829865,1
517,1.384470102,2.28E-14,2.494719982,1
518,2.060090213,7.35E-15,2.484315038,1
519,5.04494143,1.13E-14,7.424679875,1
520,1.178438823,1.02E-14,1.680628061,1
521,9.553406242,8.75E-14,2.553019524,1
522,3.7232375,1.30E-14,2.07675004,1
523,0.873354399,5.12E-15,2.137535989,1
524,0.56878095,5.60E-15,0.950000023,1
525,92.33300253,3.11E-13,453.3990021,1
526,0.845110741,1.69E-15,0.950000023,1
527,0.58475805,3.65E-15,0.950000023,1
528,0.625663026,2.39E-15,0.950000023,1
529,0.676814384,1.50E-15,0.950000023,1
530,0.850518521,1.81E-15,0.950000023,1
531,2.025642529,1.88E-14,3.412500061,1
532,0.723924564,3.60E-15,0.950000023,1
533,0.631255491,1.42E-15,0.950000023,1
534,15.43518551,6.74E-14,33.47280025,1
535,0.665147006,4.53E-15,0.950000023,1
536,0.738904008,1.71E-15,0.950000023,1
537,0.681735759,1.77E-15,0.950000023,1
538,155.1399952,1.01E-12,29.27679443,1
539,0.572935108,1.38E-15,0.950000023,1
540,0.010320345,2.23E-15,86.93969917,1
541,0.754356069,2.23E-15,0.950000023,1
542,0.603611498,4.75E-15,0.950000023,1
543,0.706009762,3.21E-15,0.950000023,1
544,0.681736469,5.59E-16,0.950000023,1
545,0.572935162,1.97E-15,0.950000023,1
546,0.723924925,4.79E-15,0.950000023,1
547,0.568779871,2.25E-15,0.950000023,1
548,0.738904018,2.25E-15,0.950000023,1
549,0.625663084,3.93E-15,0.950000023,1
550,0.754356581,9.13E-16,0.950000023,1
551,0.584759332,8.00E-16,0.950000023,1
552,0.67915147,1.74E-15,0.950000023,1
553,0.845110855,2.33E-15,0.950000023,1
554,0.706012093,3.99E-15,0.950000023,1
555,0.631242029,2.16E-15,0.950000023,1
556,0.850518404,5.79E-15,0.950000023,1
557,17.45827708,1.05E-14,17.7670207,1
558,0.224086648,3.24E-15,0.444295838,1
559,4.931025695,3.19E-14,4.670000076,1
560,33.14055988,9.00E-14,63.61627424,1
561,0.219320763,5.59E-16,0.430000007,1
562,0.913028996,8.60E-15,0.496336013,1
563,0.270845565,1.64E-15,0.479999989,1
564,1.275769362,1.95E-15,0.491437033,1
565,23.55501017,1.15E-13,46,1
566,1.593892724,2.57E-15,0.368299991,1
567,1.486069248,1.69E-14,0.279736996,1
568,1.077287101,2.88E-15,0.458004057,1
569,0.236119481,2.83E-16,0.449999988,1
570,9.882029688,1.62E-14,21.10122013,1
571,0.236837618,9.97E-16,0.458000009,1
572,3.074796903,6.52E-15,5.599999905,1
573,3.920401893,6.92E-15,0.407959938,1
574,81.19893245,2.10E-13,151.5412934,1
575,2.885952923,4.98E-15,0.711839914,1
576,0.238610837,1.37E-15,0.444499999,1
577,0.267745217,2.28E-15,1.942248046,1
578,0.095552451,3.19E-16,1.639757037,1
579,0.163326075,1.74E-15,1.521876037,1
580,0.139533028,2.59E-16,1.461234033,1
581,0.179314992,7.43E-16,1.590160012,1
582,0.220174612,1.84E-15,1.604102969,1
583,0.195754827,7.01E-16,1.669520974,1
584,0.074329295,4.93E-16,1.639701009,1
585,0.37001592,2.48E-15,1.549187005,1
586,0.16552195,7.75E-16,1.698095024,1
587,0.118770909,6.00E-16,1.577565968,1
588,0.101410358,5.62E-16,1.720104992,1
589,0.207974224,3.66E-16,1.488992989,1
590,0.144739169,3.84E-16,1.700151026,1
591,0.090543507,5.94E-17,1.50049001,1
592,0.146508874,2.10E-16,1.809391975,1
593,0.179372009,1.05E-15,1.689661026,1
594,0.169161505,5.04E-16,1.52926898,1
595,0.184874487,3.45E-16,1.541131973,1
596,0.164661223,9.22E-16,1.656966984,1
597,0.691756442,2.48E-15,0.950000023,1
598,0.821829341,2.62E-15,0.950000023,1
599,0.718234395,3.81E-15,0.950002523,1
600,0.588995574,5.15E-15,0.950000023,1
601,0.868032133,2.38E-15,0.950000023,1
602,0.619818112,2.08E-15,0.950000023,1
603,0.795160634,3.90E-15,0.950000023,1
604,0.749700119,3.69E-15,0.950000023,1
605,0.760208767,3.71E-15,0.950000023,1
