name,A3_hist,A3_bins,D1_hist,D1_bins,D2_hist,D2_bins,D3_hist,D3_bins,D4_hist,D4_bins
Datasets\UnifiedPreprocessed\Data\Bird\D00164_unified_prepared.obj,0.072911;0.075492;0.086675;0.094607;0.096208;0.089946;0.083744;0.071691;0.061338;0.050905;0.044223;0.036661;0.031169;0.026698;0.022737;0.017995;0.014874;0.011263;0.008102;0.002761,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.003293;0.023542;0.086972;0.106977;0.123201;0.292144;0.163211;0.045743;0.028056;0.017565;0.024640;0.026470;0.028300;0.022932;0.006953;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.052940;0.054940;0.077330;0.158760;0.193650;0.141000;0.096230;0.075400;0.058760;0.038510;0.021470;0.012540;0.006970;0.004510;0.003130;0.002020;0.001280;0.000500;0.000060;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.368450;0.274830;0.175050;0.097260;0.046920;0.020650;0.009370;0.004180;0.001900;0.000810;0.000300;0.000150;0.000050;0.000040;0.000030;0.000010;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.820350;0.119740;0.040270;0.012960;0.004370;0.001570;0.000410;0.000230;0.000060;0.000020;0.000000;0.000010;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00234_unified_prepared.obj,0.102086;0.089992;0.072908;0.082831;0.086132;0.076349;0.068227;0.066077;0.063806;0.059095;0.051923;0.042401;0.032168;0.025316;0.020845;0.019045;0.016794;0.013433;0.008612;0.001960,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.002477;0.038600;0.142326;0.781298;0.006605;0.010115;0.004748;0.003406;0.002271;0.002477;0.002477;0.001651;0.000516;0.001032;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.294460;0.487420;0.115770;0.017970;0.022140;0.025630;0.016130;0.008520;0.004880;0.004440;0.002040;0.000480;0.000060;0.000030;0.000020;0.000000;0.000010;0.000000;0.000000;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.967420;0.027990;0.001950;0.001150;0.000820;0.000430;0.000140;0.000060;0.000030;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.999150;0.000690;0.000090;0.000020;0.000020;0.000020;0.000000;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00271_unified_prepared.obj,0.102466;0.096105;0.084484;0.085734;0.085924;0.082593;0.072752;0.059099;0.050008;0.042997;0.037986;0.033855;0.029995;0.027784;0.025404;0.023554;0.022034;0.019613;0.013722;0.003891,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.009132;0.027993;0.047846;0.052214;0.067997;0.115644;0.107207;0.090927;0.156442;0.122692;0.078519;0.041096;0.017868;0.018960;0.018166;0.017173;0.009529;0.000596;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.035720;0.050350;0.061470;0.055960;0.064150;0.070850;0.080650;0.089740;0.092560;0.086440;0.083480;0.074840;0.059800;0.045500;0.023830;0.011620;0.005440;0.002860;0.001700;0.003040,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.251340;0.176010;0.125340;0.087910;0.065100;0.057550;0.051830;0.042490;0.034940;0.025610;0.020670;0.016870;0.012850;0.009840;0.007570;0.005610;0.003580;0.002080;0.001240;0.001570,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.679490;0.141850;0.064530;0.035730;0.022590;0.016570;0.010800;0.007800;0.005780;0.003890;0.003100;0.002240;0.001880;0.001240;0.001060;0.000640;0.000420;0.000190;0.000150;0.000050,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00284_unified_prepared.obj,0.067260;0.081354;0.088767;0.098239;0.090837;0.083845;0.078293;0.072512;0.065600;0.054116;0.047894;0.038932;0.033320;0.026648;0.022787;0.018235;0.014164;0.009683;0.005912;0.001600,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.003347;0.047477;0.130532;0.112805;0.226974;0.253502;0.068799;0.030371;0.034090;0.013636;0.019462;0.020082;0.016735;0.006694;0.015495;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.061240;0.079670;0.138040;0.148430;0.195140;0.130110;0.068560;0.059740;0.048860;0.033680;0.016370;0.010280;0.004040;0.002080;0.001340;0.000970;0.000750;0.000520;0.000180;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.477010;0.270240;0.123080;0.064050;0.035710;0.015250;0.007640;0.004000;0.001780;0.000720;0.000230;0.000140;0.000020;0.000040;0.000050;0.000040;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.871970;0.086920;0.027540;0.009510;0.002790;0.000880;0.000240;0.000110;0.000030;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00323_unified_prepared.obj,0.188363;0.135926;0.093201;0.056527;0.044875;0.040775;0.039815;0.045595;0.037044;0.041995;0.032644;0.029534;0.023763;0.023073;0.024293;0.023623;0.030684;0.038575;0.038035;0.011661,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.088293;0.166753;0.163855;0.168823;0.087983;0.040576;0.022772;0.020391;0.021944;0.022668;0.020598;0.075562;0.044716;0.034986;0.020081;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.097810;0.137550;0.144330;0.120150;0.081820;0.060800;0.058760;0.075910;0.081290;0.063790;0.026040;0.010290;0.008250;0.007590;0.006630;0.006540;0.006900;0.004060;0.001490;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.654740;0.194160;0.087980;0.038720;0.013750;0.006250;0.003060;0.001210;0.000130;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00386_unified_prepared.obj,0.151437;0.140634;0.098380;0.060889;0.040022;0.038142;0.044764;0.054807;0.054817;0.046744;0.037672;0.031280;0.028719;0.028619;0.029529;0.032000;0.031650;0.027849;0.017866;0.004181,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.009145;0.100743;0.212061;0.205916;0.045013;0.015433;0.015004;0.017291;0.018720;0.028865;0.032438;0.045299;0.132038;0.090169;0.031723;0.000143;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.097310;0.096760;0.082900;0.085410;0.087010;0.039860;0.050700;0.070960;0.144890;0.119590;0.032380;0.009090;0.007610;0.008150;0.010360;0.012550;0.017390;0.021680;0.005400;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.463170;0.195720;0.139360;0.102340;0.064790;0.018730;0.008930;0.004420;0.001660;0.000730;0.000120;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.965490;0.033940;0.000570;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00438_unified_prepared.obj,0.125069;0.137963;0.109484;0.081265;0.062599;0.051086;0.044414;0.042303;0.037612;0.033660;0.031600;0.029279;0.029939;0.029759;0.031000;0.032910;0.030780;0.031060;0.022547;0.005672,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.008557;0.052839;0.157838;0.129584;0.153355;0.088427;0.073757;0.065064;0.060446;0.066558;0.063162;0.040071;0.022141;0.016843;0.001358;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.047300;0.095120;0.110200;0.122680;0.128620;0.114950;0.100120;0.089640;0.059250;0.041690;0.026300;0.021140;0.016400;0.011870;0.007390;0.004520;0.001940;0.000700;0.000170;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.494600;0.258670;0.135010;0.067420;0.028890;0.010290;0.003450;0.001040;0.000480;0.000130;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.963380;0.033280;0.003090;0.000240;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00442_unified_prepared.obj,0.071586;0.084679;0.089020;0.090230;0.083758;0.086859;0.085179;0.080688;0.069505;0.053502;0.039829;0.033257;0.028376;0.024505;0.023015;0.019484;0.016564;0.011142;0.006781;0.002040,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000220;0.006049;0.010009;0.084140;0.100308;0.135064;0.177519;0.232402;0.114826;0.059613;0.029476;0.014518;0.007919;0.007149;0.013528;0.007259;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.039840;0.054700;0.074570;0.102960;0.128530;0.116440;0.124730;0.107570;0.084870;0.062620;0.041650;0.025560;0.018390;0.010890;0.004720;0.001220;0.000370;0.000310;0.000060;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.306220;0.229860;0.157000;0.109010;0.071390;0.046660;0.028960;0.019470;0.012310;0.007460;0.004700;0.002740;0.001620;0.000940;0.000700;0.000340;0.000260;0.000100;0.000140;0.000120,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.708470;0.146260;0.062110;0.033020;0.018430;0.012000;0.006670;0.004520;0.003170;0.002090;0.001050;0.000810;0.000670;0.000270;0.000140;0.000140;0.000060;0.000050;0.000020;0.000050,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00546_unified_prepared.obj,0.129647;0.099171;0.081567;0.073645;0.069685;0.066354;0.060293;0.057762;0.053131;0.050591;0.043369;0.040088;0.037858;0.033157;0.029156;0.024775;0.021455;0.016794;0.009192;0.002310,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.005875;0.036360;0.190223;0.551048;0.188338;0.005210;0.006097;0.009422;0.001109;0.000665;0.000333;0.000000;0.000554;0.004212;0.000554;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.424550;0.159310;0.085760;0.104240;0.180640;0.027490;0.007220;0.001420;0.003970;0.004220;0.000930;0.000070;0.000050;0.000090;0.000020;0.000010;0.000010;0.000000;0.000000;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.958220;0.023760;0.013180;0.002630;0.002070;0.000140;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.998530;0.001450;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00599_unified_prepared.obj,0.134418;0.153685;0.111160;0.075817;0.053369;0.044386;0.041895;0.039464;0.034342;0.031351;0.028290;0.026570;0.028700;0.029921;0.031681;0.035103;0.037213;0.033242;0.023158;0.006232,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.015528;0.099820;0.175516;0.170664;0.107168;0.078054;0.063635;0.055455;0.068903;0.054624;0.049910;0.024678;0.018993;0.015528;0.001525;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.058140;0.116360;0.128650;0.132610;0.122790;0.104430;0.094410;0.074400;0.053800;0.038250;0.023890;0.017740;0.014120;0.009140;0.006270;0.003080;0.001420;0.000450;0.000050;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.586590;0.248230;0.103990;0.039300;0.014200;0.004750;0.002020;0.000610;0.000240;0.000040;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.986090;0.013470;0.000430;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00625_unified_prepared.obj,0.085433;0.094764;0.083783;0.082012;0.084523;0.089863;0.082982;0.074231;0.059289;0.045727;0.035895;0.030315;0.028504;0.027044;0.022533;0.021773;0.020933;0.017873;0.010232;0.002290,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.001293;0.028736;0.096848;0.134036;0.114746;0.069703;0.081535;0.069902;0.061549;0.084518;0.154022;0.041762;0.035796;0.017003;0.007855;0.000696;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.037430;0.062310;0.074260;0.087500;0.087790;0.087240;0.125950;0.142730;0.111070;0.073250;0.050980;0.030470;0.015220;0.006910;0.003070;0.001940;0.001290;0.000390;0.000180;0.000020,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.315330;0.212100;0.130510;0.093470;0.071690;0.057900;0.043830;0.029200;0.018610;0.012100;0.006710;0.003500;0.002290;0.001260;0.000690;0.000440;0.000280;0.000080;0.000000;0.000010,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.714170;0.128640;0.057440;0.031400;0.021140;0.014200;0.009570;0.006840;0.004740;0.003440;0.002900;0.001810;0.001190;0.000710;0.000560;0.000410;0.000340;0.000140;0.000100;0.000260,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00689_unified_prepared.obj,0.097577;0.097737;0.096587;0.091566;0.073030;0.061787;0.062698;0.065758;0.061257;0.048334;0.042292;0.039351;0.035290;0.028868;0.025777;0.025417;0.022286;0.015234;0.007082;0.002071,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.000000;0.016083;0.112819;0.134024;0.361210;0.117822;0.046462;0.041816;0.040029;0.039671;0.034906;0.027162;0.012628;0.011794;0.003574;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.091790;0.093640;0.113430;0.150740;0.150510;0.099870;0.085830;0.077950;0.055920;0.035210;0.018500;0.009750;0.006940;0.004710;0.002610;0.001650;0.000670;0.000210;0.000070;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.539790;0.213990;0.122720;0.067700;0.031520;0.013630;0.006770;0.002710;0.000930;0.000200;0.000040;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.897850;0.068800;0.022810;0.007710;0.002370;0.000430;0.000030;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
Datasets\UnifiedPreprocessed\Data\Bird\D00736_unified_prepared.obj,0.128535;0.117732;0.088304;0.073850;0.067188;0.057496;0.055615;0.061227;0.057486;0.041101;0.031809;0.028898;0.028498;0.029568;0.031198;0.030488;0.026837;0.026647;0.014564;0.002961,0.000000;0.158749;0.317497;0.476246;0.634994;0.793743;0.952492;1.111240;1.269989;1.428737;1.587486;1.746234;1.904983;2.063732;2.222480;2.381229;2.539977;2.698726;2.857475;3.016223;3.174972,0.006704;0.013407;0.065303;0.378525;0.092117;0.147480;0.059177;0.048890;0.038604;0.033172;0.029704;0.031438;0.028317;0.025543;0.001618;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240,0.108710;0.095360;0.096140;0.095200;0.100620;0.148150;0.122200;0.072220;0.062460;0.047000;0.016890;0.010290;0.007850;0.005900;0.004510;0.003340;0.001870;0.000960;0.000330;0.000000,0.000000;0.052882;0.105763;0.158645;0.211527;0.264408;0.317290;0.370172;0.423053;0.475935;0.528817;0.581698;0.634580;0.687462;0.740343;0.793225;0.846107;0.898988;0.951870;1.004752;1.057634,0.564690;0.179340;0.102900;0.066560;0.043320;0.028020;0.011240;0.003240;0.000550;0.000130;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.012776;0.025552;0.038328;0.051104;0.063880;0.076656;0.089432;0.102208;0.114984;0.127760;0.140536;0.153312;0.166088;0.178864;0.191640;0.204416;0.217192;0.229968;0.242744;0.255520,0.935820;0.050360;0.011770;0.001930;0.000120;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.001178;0.002356;0.003533;0.004711;0.005889;0.007067;0.008245;0.009423;0.010600;0.011778;0.012956;0.014134;0.015312;0.016490;0.017667;0.018845;0.020023;0.021201;0.022379;0.023557
