name,D1_hist,D1_bins
Datasets\Histogram_testing\Bottle\D00696_unified_prepared.obj,0.000000;0.000000;0.000000;0.251631;0.087682;0.118414;0.157050;0.022077;0.022077;0.015053;0.015178;0.095459;0.067110;0.007526;0.000000;0.086553;0.054190;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00711_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.112991;0.086962;0.054070;0.065073;0.061879;0.061287;0.074775;0.077142;0.210838;0.194983;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00716_unified_prepared.obj,0.000000;0.000588;0.003235;0.002059;0.002500;0.009706;0.011618;0.021176;0.022206;0.022206;0.398676;0.086471;0.051618;0.076471;0.033235;0.258235;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00726_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.015491;0.011618;0.007745;0.007745;0.007745;0.003873;0.007745;0.096923;0.242685;0.594449;0.003980;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00892_unified_prepared.obj,0.000000;0.000000;0.008499;0.076487;0.050992;0.064650;0.067685;0.063942;0.045326;0.098745;0.113820;0.183934;0.011331;0.008701;0.021246;0.161878;0.022764;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00940_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.028945;0.000000;0.000000;0.057889;0.057889;0.072362;0.257186;0.227940;0.187337;0.110452;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\D00959_unified_prepared.obj,0.000000;0.000000;0.000000;0.052885;0.044071;0.026443;0.035257;0.086076;0.229583;0.089244;0.000000;0.008814;0.000000;0.008814;0.000000;0.008814;0.000000;0.048616;0.141027;0.220355,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m482_unified_prepared.obj,0.000000;0.000000;0.000000;0.027251;0.095567;0.023860;0.023107;0.011930;0.021977;0.007660;0.039684;0.081125;0.033656;0.016074;0.347733;0.060028;0.210348;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m483_unified_prepared.obj,0.000000;0.000000;0.000000;0.002964;0.014304;0.007088;0.008376;0.004639;0.008376;0.002577;0.005026;0.005155;0.713918;0.218686;0.007732;0.001160;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m484_unified_prepared.obj,0.000000;0.000000;0.000000;0.015046;0.058373;0.100864;0.051407;0.015046;0.030092;0.015046;0.015046;0.189886;0.201449;0.064921;0.115631;0.090276;0.036918;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m485_unified_prepared.obj,0.000000;0.000000;0.000000;0.009481;0.112748;0.020372;0.020500;0.011275;0.008456;0.024215;0.036771;0.047149;0.065599;0.362460;0.065599;0.215375;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m486_unified_prepared.obj,0.000000;0.005927;0.000000;0.004693;0.008027;0.036305;0.022598;0.012472;0.021734;0.003581;0.010867;0.006051;0.101507;0.006668;0.254631;0.504939;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m487_unified_prepared.obj,0.000000;0.000000;0.000000;0.004057;0.028398;0.016227;0.000000;0.032454;0.000000;0.016227;0.016227;0.011156;0.091785;0.159229;0.335193;0.289047;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m488_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.041364;0.014961;0.028163;0.013641;0.113091;0.224862;0.126403;0.099450;0.028163;0.014081;0.112651;0.183168;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m489_unified_prepared.obj,0.000000;0.000000;0.001636;0.004323;0.042650;0.013204;0.034354;0.099322;0.091844;0.155060;0.153190;0.039729;0.039729;0.039729;0.031082;0.036808;0.084132;0.118486;0.014723;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m490_unified_prepared.obj,0.000000;0.000000;0.000000;0.000116;0.024209;0.093110;0.133147;0.103468;0.169460;0.111732;0.111732;0.089385;0.063547;0.027002;0.027002;0.046089;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m491_unified_prepared.obj,0.000000;0.000000;0.000000;0.000000;0.000000;0.140387;0.164541;0.121015;0.091589;0.082148;0.091834;0.136954;0.096248;0.051373;0.013977;0.009931;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Bottle\m492_unified_prepared.obj,0.000000;0.000000;0.000000;0.098839;0.328920;0.170151;0.140418;0.088966;0.008479;0.008595;0.010221;0.009988;0.011382;0.013937;0.016028;0.094077;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01015_unified_prepared.obj,0.002077;0.025907;0.113650;0.109984;0.117316;0.100574;0.089454;0.064402;0.045338;0.040205;0.053526;0.064035;0.114139;0.045093;0.014298;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01025_unified_prepared.obj,0.002621;0.072507;0.041682;0.023087;0.016723;0.014102;0.016723;0.050293;0.102958;0.122800;0.122676;0.135155;0.096718;0.055160;0.047797;0.050293;0.028703;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01032_unified_prepared.obj,0.002697;0.006742;0.012360;0.016404;0.295506;0.002247;0.034494;0.004045;0.027640;0.019775;0.089438;0.068202;0.256067;0.078202;0.083933;0.002247;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01051_unified_prepared.obj,0.039748;0.093829;0.072990;0.173630;0.147199;0.103995;0.110298;0.055403;0.048897;0.063739;0.005286;0.004880;0.003050;0.002338;0.005693;0.002745;0.008234;0.038731;0.019315;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01054_unified_prepared.obj,0.003924;0.008094;0.052367;0.056046;0.063772;0.045744;0.044027;0.049669;0.047829;0.057273;0.056537;0.068065;0.072234;0.276551;0.097866;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01057_unified_prepared.obj,0.099802;0.074054;0.059089;0.132152;0.102883;0.192562;0.055898;0.046875;0.040603;0.035651;0.036312;0.057438;0.025528;0.019476;0.013644;0.007923;0.000110;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01063_unified_prepared.obj,0.000613;0.151819;0.111667;0.088476;0.041173;0.049448;0.072844;0.055374;0.001941;0.314671;0.010727;0.015427;0.013077;0.012158;0.015223;0.018901;0.016551;0.009808;0.000102;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01075_unified_prepared.obj,0.013768;0.031832;0.033814;0.142637;0.141095;0.147263;0.129420;0.010574;0.011125;0.011014;0.011235;0.181518;0.120608;0.009472;0.004075;0.000551;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01077_unified_prepared.obj,0.005206;0.087393;0.183711;0.276311;0.166233;0.050824;0.048345;0.037684;0.050700;0.012644;0.016363;0.003719;0.001364;0.007314;0.002355;0.023305;0.025784;0.000744;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01107_unified_prepared.obj,0.000000;0.003412;0.099423;0.256971;0.276856;0.063184;0.006589;0.007648;0.011766;0.011648;0.116014;0.074597;0.015296;0.020826;0.016943;0.016473;0.002353;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01119_unified_prepared.obj,0.001433;0.004585;0.009456;0.059599;0.146705;0.061748;0.045559;0.046705;0.054585;0.069484;0.085817;0.138682;0.241261;0.021920;0.012034;0.000430;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01120_unified_prepared.obj,0.000000;0.042776;0.042776;0.012833;0.067490;0.048954;0.048954;0.085551;0.074144;0.202471;0.317490;0.009981;0.010456;0.009981;0.007129;0.009506;0.007129;0.002376;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01132_unified_prepared.obj,0.019085;0.155359;0.127662;0.100896;0.092517;0.055976;0.049226;0.059933;0.053183;0.053765;0.086698;0.069242;0.026882;0.032468;0.017107;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01150_unified_prepared.obj,0.000000;0.062866;0.347124;0.086781;0.024319;0.012210;0.010999;0.007164;0.017558;0.214026;0.097275;0.079717;0.021695;0.004036;0.004743;0.007265;0.002220;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01160_unified_prepared.obj,0.000717;0.004778;0.008122;0.008600;0.004539;0.001194;0.013378;0.271142;0.188008;0.026517;0.023411;0.015050;0.012422;0.321070;0.101051;0.000000;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01168_unified_prepared.obj,0.023909;0.057799;0.126973;0.087512;0.026462;0.094359;0.017293;0.113278;0.095752;0.024373;0.040158;0.247214;0.010678;0.014624;0.011722;0.007660;0.000232;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01174_unified_prepared.obj,0.000512;0.000768;0.001152;0.003712;0.009087;0.012415;0.191476;0.371560;0.094330;0.125432;0.118904;0.053245;0.009983;0.006272;0.001024;0.000128;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01175_unified_prepared.obj,0.035285;0.113363;0.118619;0.048799;0.033784;0.036036;0.072823;0.055556;0.095345;0.207958;0.128378;0.026276;0.006006;0.005255;0.007508;0.005255;0.003003;0.000751;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01187_unified_prepared.obj,0.000472;0.012969;0.011672;0.005541;0.005070;0.018392;0.047512;0.070856;0.069559;0.129333;0.235793;0.219524;0.118250;0.021457;0.025584;0.008017;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\D01189_unified_prepared.obj,0.003504;0.041928;0.039391;0.040599;0.070686;0.217134;0.028033;0.022837;0.118294;0.030208;0.036974;0.053770;0.053649;0.055220;0.041808;0.033954;0.032262;0.030933;0.031054;0.017762,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m722_unified_prepared.obj,0.039232;0.054305;0.045220;0.049556;0.051827;0.122961;0.051827;0.049763;0.063184;0.085484;0.039645;0.049556;0.049556;0.049556;0.049556;0.039645;0.049556;0.049556;0.010014;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m723_unified_prepared.obj,0.035912;0.102505;0.103008;0.114375;0.156021;0.162157;0.151896;0.173624;0.000000;0.000000;0.000000;0.000101;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000402,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m724_unified_prepared.obj,0.097128;0.180619;0.246701;0.045570;0.040581;0.034594;0.030048;0.036922;0.040803;0.037255;0.098237;0.028163;0.012862;0.017408;0.016188;0.018960;0.017962;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m725_unified_prepared.obj,0.000000;0.000000;0.009646;0.010312;0.023062;0.022841;0.141590;0.283845;0.086928;0.045127;0.031711;0.032820;0.074398;0.038253;0.167868;0.031600;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m726_unified_prepared.obj,0.001218;0.009592;0.022533;0.068666;0.041108;0.068362;0.029385;0.025122;0.035780;0.082674;0.299482;0.136114;0.030907;0.027253;0.043088;0.052223;0.026492;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m727_unified_prepared.obj,0.000000;0.000000;0.000000;0.000833;0.014513;0.112182;0.088389;0.137283;0.038544;0.071734;0.094337;0.116940;0.042351;0.034142;0.106472;0.083750;0.058530;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
Datasets\Histogram_testing\Knife\m728_unified_prepared.obj,0.000000;0.000000;0.000000;0.086823;0.157681;0.077490;0.002579;0.005403;0.004789;0.017684;0.013877;0.016824;0.008105;0.000491;0.606656;0.001596;0.000000;0.000000;0.000000;0.000000,0.000000;0.035662;0.071324;0.106986;0.142648;0.178310;0.213972;0.249634;0.285296;0.320958;0.356620;0.392282;0.427944;0.463606;0.499268;0.534930;0.570592;0.606254;0.641916;0.677578;0.713240
