name,min_A3,max_A3,min_D1,max_D1,min_D2,max_D2,min_D3,max_D3,min_D4,max_D4
AquaticAnimal\m67_unified_prepared.obj,0.000000,3.136053,0.056930,0.510161,0.000000,0.995403,0.000000,0.124389,0.000000,0.006488
AquaticAnimal\m68_unified_prepared.obj,0.000000,3.136687,0.049641,0.524856,0.000000,1.001415,0.000000,0.109377,0.000000,0.003838
AquaticAnimal\m69_unified_prepared.obj,0.000000,3.132525,0.057572,0.617119,0.000000,1.001672,0.000000,0.138993,0.000000,0.007628
AquaticAnimal\m70_unified_prepared.obj,0.000000,3.134638,0.022256,0.555450,0.000000,1.010390,0.000000,0.154579,0.000000,0.010105
AquaticAnimal\m71_unified_prepared.obj,0.000000,3.134850,0.095137,0.544718,0.000000,1.008349,0.000000,0.147256,0.000000,0.010526
AquaticAnimal\m72_unified_prepared.obj,0.000000,3.132937,0.040772,0.550855,0.000000,1.004469,0.000000,0.157033,0.000000,0.007584
AquaticAnimal\m73_unified_prepared.obj,0.000000,3.125583,0.068766,0.595788,0.000000,1.043542,0.000000,0.295341,0.000000,0.021923
AquaticAnimal\m74_unified_prepared.obj,0.000000,3.141074,0.058884,0.594954,0.000000,1.001577,0.000000,0.118680,0.000000,0.008151
AquaticAnimal\m75_unified_prepared.obj,0.000000,3.141511,0.054602,0.586207,0.000000,1.013527,0.000000,0.134737,0.000000,0.006866
AquaticAnimal\m76_unified_prepared.obj,0.000000,3.140784,0.077086,0.593946,0.000000,0.995795,0.000000,0.154075,0.000000,0.009467
AquaticAnimal\m77_unified_prepared.obj,0.000000,3.136485,0.042713,0.582619,0.000000,1.016327,0.000000,0.176204,0.000000,0.009777
AquaticAnimal\m78_unified_prepared.obj,0.000000,3.139341,0.046764,0.607491,0.000000,1.022712,0.000000,0.156264,0.000000,0.004193
AquaticAnimal\m79_unified_prepared.obj,0.000000,3.141001,0.022376,0.546260,0.000000,1.007908,0.000000,0.091514,0.000000,0.003243
AquaticAnimal\m80_unified_prepared.obj,0.000000,3.138724,0.046508,0.595288,0.000000,0.988903,0.000000,0.144001,0.000000,0.010313
AquaticAnimal\m81_unified_prepared.obj,0.000000,3.139552,0.058192,0.589009,0.000000,0.977973,0.000000,0.125368,0.000000,0.006799
Bed\D00031_unified_prepared.obj,0.000000,3.139766,0.059196,0.639274,0.000000,1.186909,0.000000,0.366499,0.000000,0.041692
Bed\D00110_unified_prepared.obj,0.000000,3.140735,0.054750,0.643926,0.000000,1.219164,0.000000,0.372815,0.000000,0.038536
Bed\D00121_unified_prepared.obj,0.000000,3.139398,0.048546,0.687949,0.000000,1.316296,0.000000,0.440792,0.000000,0.070947
Bed\D00184_unified_prepared.obj,0.000000,3.141589,0.018818,0.698057,0.000000,1.285971,0.000000,0.465933,0.000000,0.088033
Bed\D00210_unified_prepared.obj,0.000000,3.141256,0.017437,0.719242,0.000000,1.346827,0.000000,0.454787,0.000000,0.096545
Bed\D00213_unified_prepared.obj,0.000000,3.141590,0.025574,0.590592,0.000000,1.120424,0.000000,0.273258,0.000000,0.033833
Bed\D00217_unified_prepared.obj,0.000000,3.137283,0.031639,0.584801,0.000000,1.128592,0.000000,0.282723,0.000000,0.042457
Bed\D00307_unified_prepared.obj,0.000000,3.137521,0.060295,0.604681,0.000000,1.175432,0.000000,0.352846,0.000000,0.058773
Bed\D00322_unified_prepared.obj,0.000000,3.137004,0.026443,0.587845,0.000000,1.151753,0.000000,0.308675,0.000000,0.034080
Bed\D00417_unified_prepared.obj,0.000000,3.136713,0.154832,0.642362,0.000000,1.229043,0.000000,0.371664,0.000000,0.062598
Bed\D00538_unified_prepared.obj,0.000000,3.131861,0.485766,0.626264,0.000000,1.222466,0.000000,0.374514,0.000000,0.064119
Bed\D00545_unified_prepared.obj,0.000000,3.130858,0.038528,0.583565,0.000000,1.114393,0.000000,0.304671,0.000000,0.040542
Bed\D00552_unified_prepared.obj,0.000000,3.139847,0.151811,0.666420,0.000000,1.236595,0.000000,0.402570,0.000000,0.054732
Bed\D00565_unified_prepared.obj,0.000000,3.135322,0.032723,0.617217,0.000000,1.183956,0.000000,0.318730,0.000000,0.018042
Bed\D00650_unified_prepared.obj,0.000000,3.131463,0.126115,0.590473,0.000000,1.156694,0.000000,0.319009,0.000000,0.052981
Bed\D00735_unified_prepared.obj,0.000000,3.137055,0.161574,0.626189,0.000000,1.110799,0.000000,0.279903,0.000000,0.018573
Bed\D00836_unified_prepared.obj,0.000000,3.141142,0.155577,0.569052,0.000000,1.021217,0.000000,0.210019,0.000000,0.022103
Bed\D00839_unified_prepared.obj,0.000000,3.138954,0.212494,0.679343,0.000000,1.262980,0.000000,0.406562,0.000000,0.052903
Bed\D00969_unified_prepared.obj,0.000000,3.135652,0.070814,0.697061,0.000000,1.273591,0.000000,0.418587,0.000000,0.075659
Bed\D00988_unified_prepared.obj,0.000000,3.138181,0.321033,0.604459,0.000000,1.196355,0.000000,0.364440,0.000000,0.063493
Bed\m945_unified_prepared.obj,0.000000,3.129747,0.139173,0.619094,0.000000,1.201978,0.000000,0.380330,0.000000,0.058357
Bed\m946_unified_prepared.obj,0.000000,3.134641,0.022995,0.595639,0.000000,1.148407,0.000000,0.296606,0.000000,0.054797
Bed\m947_unified_prepared.obj,0.000000,3.135734,0.263605,0.629842,0.000000,1.215030,0.000000,0.368556,0.000000,0.051290
Bed\m948_unified_prepared.obj,0.000000,3.137826,0.043484,0.725600,0.000000,1.187353,0.000000,0.407604,0.000000,0.103037
Bed\m949_unified_prepared.obj,0.000000,3.137935,0.196520,0.813079,0.000000,1.297131,0.000000,0.429374,0.000000,0.085480
Bed\m950_unified_prepared.obj,0.000000,3.134853,0.048168,0.775111,0.000000,1.253305,0.000000,0.436916,0.000000,0.114076
Bed\m951_unified_prepared.obj,0.000000,3.140569,0.075244,0.698134,0.000000,1.308340,0.000000,0.389013,0.000000,0.052693
Bicycle\D00016_unified_prepared.obj,0.000000,3.140348,0.041552,0.534296,0.000000,1.004946,0.000000,0.248206,0.000000,0.012379
Bicycle\D00033_unified_prepared.obj,0.000000,3.138476,0.079687,0.517925,0.000000,0.997579,0.000000,0.217834,0.000000,0.013715
Bicycle\D00040_unified_prepared.obj,0.000000,3.137472,0.035184,0.518944,0.000000,1.000211,0.000000,0.244600,0.000000,0.015636
Bicycle\D00077_unified_prepared.obj,0.000000,3.138519,0.045729,0.533075,0.000000,0.999685,0.000000,0.241832,0.000000,0.026100
Bicycle\D00078_unified_prepared.obj,0.000000,3.138622,0.061260,0.539477,0.000000,1.038698,0.000000,0.281655,0.000000,0.026093
Bicycle\D00462_unified_prepared.obj,0.000000,3.137632,0.043558,0.520340,0.000000,1.011217,0.000000,0.249468,0.000000,0.016992
Bicycle\D00514_unified_prepared.obj,0.000000,3.138356,0.004752,0.645664,0.000000,1.010258,0.000000,0.219137,0.000000,0.013188
Bicycle\D00536_unified_prepared.obj,0.000000,3.135558,0.071939,0.539462,0.000000,1.035454,0.000000,0.291858,0.000000,0.038302
Bicycle\D00555_unified_prepared.obj,0.000000,3.138277,0.021477,0.516062,0.000000,0.999690,0.000000,0.251782,0.000000,0.022338
Bicycle\D00558_unified_prepared.obj,0.000000,3.133356,0.053224,0.511393,0.000000,0.993629,0.000000,0.221457,0.000000,0.016732
Bicycle\D00567_unified_prepared.obj,0.000000,3.138219,0.038801,0.522173,0.000000,0.999315,0.000000,0.232316,0.000000,0.017618
Bicycle\D00621_unified_prepared.obj,0.000000,3.138937,0.037478,0.534631,0.000000,1.002272,0.000000,0.246213,0.000000,0.012625
Bicycle\D00708_unified_prepared.obj,0.000000,3.138016,0.011040,0.526492,0.000000,1.005842,0.000000,0.245296,0.000000,0.022126
Bicycle\D00750_unified_prepared.obj,0.000000,3.137096,0.041670,0.535958,0.000000,1.009666,0.000000,0.237909,0.000000,0.021271
Bicycle\D00838_unified_prepared.obj,0.000000,3.137649,0.020394,0.538839,0.000000,1.019968,0.000000,0.250266,0.000000,0.017301
Bicycle\D00847_unified_prepared.obj,0.000000,3.133500,0.059293,0.539242,0.000000,1.039175,0.000000,0.272913,0.000000,0.020721
Bicycle\D00904_unified_prepared.obj,0.000000,3.141177,0.018307,0.540657,0.000000,1.029139,0.000000,0.266358,0.000000,0.016239
Bicycle\D00930_unified_prepared.obj,0.000000,3.137500,0.030402,0.577465,0.000000,1.037272,0.000000,0.340447,0.000000,0.029756
Bicycle\D00931_unified_prepared.obj,0.000000,3.139220,0.027530,0.577907,0.000000,1.024543,0.000000,0.242580,0.000000,0.020499
Bicycle\D00974_unified_prepared.obj,0.000000,3.139086,0.085998,0.553186,0.000000,0.988122,0.000000,0.204711,0.000000,0.013584
Bicycle\m1472_unified_prepared.obj,0.000000,3.139048,0.018296,0.525215,0.000000,1.013654,0.000000,0.249092,0.000000,0.029615
Bicycle\m1473_unified_prepared.obj,0.000000,3.140307,0.084707,0.515616,0.000000,0.996168,0.000000,0.213945,0.000000,0.016415
Bicycle\m1475_unified_prepared.obj,0.000000,3.139641,0.084858,0.545729,0.000000,1.008273,0.000000,0.229550,0.000000,0.010984
Bicycle\m1476_unified_prepared.obj,0.000000,3.139386,0.038802,0.522185,0.000000,0.999501,0.000000,0.234400,0.000000,0.015626
Bicycle\m1477_unified_prepared.obj,0.000000,3.128925,0.059335,0.539302,0.000000,1.036276,0.000000,0.287043,0.000000,0.025460
Bicycle\m1478_unified_prepared.obj,0.000000,3.139960,0.041599,0.534884,0.000000,1.001160,0.000000,0.252088,0.000000,0.013078
Biplane\D00069_unified_prepared.obj,0.000000,3.135084,0.058975,0.508258,0.000000,1.002426,0.000000,0.149482,0.000000,0.009495
Biplane\D00132_unified_prepared.obj,0.000000,3.133924,0.002145,0.539312,0.000000,1.023952,0.000000,0.301057,0.000000,0.013876
Biplane\D00178_unified_prepared.obj,0.000000,3.132840,0.038966,0.512401,0.000000,0.993647,0.000000,0.219922,0.000000,0.012491
Biplane\D00199_unified_prepared.obj,0.000000,3.136671,0.050940,0.528964,0.000000,1.019914,0.000000,0.267982,0.000000,0.022114
Biplane\D00246_unified_prepared.obj,0.000000,3.137434,0.012281,0.503399,0.000000,0.995185,0.000000,0.168625,0.000000,0.008098
Biplane\D00276_unified_prepared.obj,0.000000,3.128781,0.020432,0.556365,0.000000,1.016361,0.000000,0.354745,0.000000,0.041435
Biplane\D00277_unified_prepared.obj,0.000000,3.134048,0.019288,0.534426,0.000000,0.998454,0.000000,0.215464,0.000000,0.016110
Biplane\D00320_unified_prepared.obj,0.000000,3.137874,0.010094,0.506458,0.000000,0.985283,0.000000,0.201646,0.000000,0.012410
Biplane\D00373_unified_prepared.obj,0.000000,3.134931,0.032209,0.526788,0.000000,0.963974,0.000000,0.272376,0.000000,0.026564
Biplane\D00410_unified_prepared.obj,0.000000,3.136309,0.010065,0.507938,0.000000,1.000171,0.000000,0.168439,0.000000,0.007574
Biplane\D00490_unified_prepared.obj,0.000000,3.135641,0.035731,0.513218,0.000000,0.999424,0.000000,0.224132,0.000000,0.014236
Biplane\D00515_unified_prepared.obj,0.000000,3.137132,0.027780,0.510017,0.000000,0.995379,0.000000,0.265163,0.000000,0.024940
Biplane\D00601_unified_prepared.obj,0.000000,3.133788,0.030296,0.602395,0.000000,1.076293,0.000000,0.305882,0.000000,0.033922
Biplane\D00616_unified_prepared.obj,0.000000,3.141585,0.006110,0.504475,0.000000,1.004900,0.000000,0.156085,0.000000,0.007631
Biplane\D00632_unified_prepared.obj,0.000000,3.133831,0.021237,0.534382,0.000000,1.004892,0.000000,0.316675,0.000000,0.022650
Biplane\D00634_unified_prepared.obj,0.000000,3.133964,0.033353,0.519953,0.000000,1.008447,0.000000,0.283008,0.000000,0.024481
Biplane\D00666_unified_prepared.obj,0.000000,3.134315,0.045259,0.522458,0.000000,0.992308,0.000000,0.220968,0.000000,0.009162
Biplane\D00854_unified_prepared.obj,0.000000,3.133163,0.002012,0.517244,0.000000,0.993149,0.000000,0.266024,0.000000,0.021311
Biplane\D00890_unified_prepared.obj,0.000000,3.141588,0.049756,0.566679,0.000000,1.013383,0.000000,0.314047,0.000000,0.022779
Biplane\D00900_unified_prepared.obj,0.000000,3.129703,0.020261,0.503372,0.000000,0.979874,0.000000,0.221115,0.000000,0.010525
Biplane\m1118_unified_prepared.obj,0.000000,3.137962,0.055371,0.510648,0.000000,1.013506,0.000000,0.160908,0.000000,0.008927
Biplane\m1119_unified_prepared.obj,0.000000,3.137490,0.026753,0.573409,0.000000,1.004978,0.000000,0.337839,0.000000,0.030242
Biplane\m1120_unified_prepared.obj,0.000000,3.138486,0.048636,0.563879,0.000000,1.014133,0.000000,0.320341,0.000000,0.019576
Biplane\m1121_unified_prepared.obj,0.000000,3.129644,0.057303,0.540862,0.000000,0.996786,0.000000,0.300523,0.000000,0.027247
Biplane\m1122_unified_prepared.obj,0.000000,3.140645,0.029606,0.584805,0.000000,0.996956,0.000000,0.287873,0.000000,0.019264
Biplane\m1123_unified_prepared.obj,0.000000,3.129552,0.027558,0.513969,0.000000,0.986955,0.000000,0.176536,0.000000,0.011216
Biplane\m1124_unified_prepared.obj,0.000000,3.136605,0.018646,0.517318,0.000000,1.000718,0.000000,0.225927,0.000000,0.009733
Biplane\m1125_unified_prepared.obj,0.000000,3.136663,0.025453,0.565675,0.000000,1.023531,0.000000,0.332863,0.000000,0.027120
Biplane\m1126_unified_prepared.obj,0.000000,3.131070,0.013225,0.523975,0.000000,1.022442,0.000000,0.261801,0.000000,0.015684
Biplane\m1127_unified_prepared.obj,0.000000,3.135341,0.038459,0.579538,0.000000,1.017058,0.000000,0.329014,0.000000,0.019164
Biplane\m1128_unified_prepared.obj,0.000000,3.135303,0.045159,0.522460,0.000000,1.007889,0.000000,0.262172,0.000000,0.014576
Biplane\m1129_unified_prepared.obj,0.000000,3.135743,0.012866,0.511857,0.000000,1.001535,0.000000,0.276683,0.000000,0.023982
Biplane\m1131_unified_prepared.obj,0.000000,3.136634,0.035339,0.514407,0.000000,1.002116,0.000000,0.250356,0.000000,0.010041
Biplane\m1132_unified_prepared.obj,0.000000,3.134595,0.015822,0.515054,0.000000,1.008380,0.000000,0.245919,0.000000,0.009885
Biplane\m1133_unified_prepared.obj,0.000000,3.136593,0.021237,0.534382,0.000000,1.006640,0.000000,0.314021,0.000000,0.022836
Biplane\m1134_unified_prepared.obj,0.000000,3.134905,0.030609,0.509589,0.000000,1.003216,0.000000,0.192703,0.000000,0.006860
Biplane\m1135_unified_prepared.obj,0.000000,3.134206,0.032421,0.505655,0.000000,1.008921,0.000000,0.163994,0.000000,0.009625
Biplane\m1136_unified_prepared.obj,0.000000,3.137357,0.017343,0.515959,0.000000,0.872744,0.000000,0.173462,0.000000,0.007137
Biplane\m1137_unified_prepared.obj,0.000000,3.140811,0.001611,0.508602,0.000000,0.999335,0.000000,0.149651,0.000000,0.005823
Biplane\m1138_unified_prepared.obj,0.000000,3.136552,0.013804,0.534414,0.000000,1.024083,0.000000,0.285863,0.000000,0.029386
Biplane\m1139_unified_prepared.obj,0.000000,3.134293,0.023816,0.511336,0.000000,1.005727,0.000000,0.191800,0.000000,0.013066
Biplane\m1141_unified_prepared.obj,0.000000,3.133244,0.031169,0.522888,0.000000,0.994241,0.000000,0.260090,0.000000,0.023676
Biplane\m1143_unified_prepared.obj,0.000000,3.141275,0.058846,0.506954,0.000000,0.984771,0.000000,0.144071,0.000000,0.010081
Biplane\m1144_unified_prepared.obj,0.000000,3.129802,0.030578,0.520173,0.000000,0.998610,0.000000,0.257705,0.000000,0.018542
Biplane\m1146_unified_prepared.obj,0.000000,3.129855,0.042569,0.522785,0.000000,0.990176,0.000000,0.169169,0.000000,0.004220
Bird\D00089_unified_prepared.obj,0.000000,3.138373,0.047270,0.513260,0.000000,0.988648,0.000000,0.170278,0.000000,0.013725
Bird\D00113_unified_prepared.obj,0.000000,3.136178,0.040405,0.574493,0.000000,0.996132,0.000000,0.374449,0.000000,0.037746
Bird\D00164_unified_prepared.obj,0.000000,3.139818,0.022982,0.525966,0.000000,0.994789,0.000000,0.206423,0.000000,0.012046
Bird\D00234_unified_prepared.obj,0.000000,3.131977,0.056348,0.534395,0.000000,0.829143,0.000000,0.127651,0.000000,0.006045
Bird\D00271_unified_prepared.obj,0.000000,3.139890,0.041646,0.647148,0.000000,1.204106,0.000000,0.355350,0.000000,0.023955
Bird\D00284_unified_prepared.obj,0.000000,3.131814,0.024183,0.522538,0.000000,0.988836,0.000000,0.188849,0.000000,0.012583
Bird\D00323_unified_prepared.obj,0.000000,3.138034,0.005945,0.505697,0.000000,0.999957,0.000000,0.112266,0.000000,0.000987
Bird\D00386_unified_prepared.obj,0.000000,3.135361,0.013909,0.535932,0.000000,0.991150,0.000000,0.141664,0.000000,0.003110
Bird\D00438_unified_prepared.obj,0.000000,3.136889,0.011659,0.506751,0.000000,0.973919,0.000000,0.132816,0.000000,0.004797
Bird\D00442_unified_prepared.obj,0.000000,3.133693,0.029352,0.559365,0.000000,0.974332,0.000000,0.256630,0.000000,0.025642
Bird\D00546_unified_prepared.obj,0.000000,3.137573,0.004856,0.505349,0.000000,0.817697,0.000000,0.085997,0.000000,0.002685
Bird\D00599_unified_prepared.obj,0.000000,3.134456,0.013075,0.510700,0.000000,0.973337,0.000000,0.139890,0.000000,0.003811
Bird\D00625_unified_prepared.obj,0.000000,3.134450,0.017331,0.538668,0.000000,1.001544,0.000000,0.245706,0.000000,0.030713
Bird\D00689_unified_prepared.obj,0.000000,3.132743,0.046502,0.514998,0.000000,0.993299,0.000000,0.139370,0.000000,0.007250
Bird\D00736_unified_prepared.obj,0.000000,3.139747,0.001397,0.501227,0.000000,0.982135,0.000000,0.123281,0.000000,0.005309
Bird\D00762_unified_prepared.obj,0.000000,3.125710,0.007480,0.564219,0.000000,0.957000,0.000000,0.244218,0.000000,0.026667
Bird\D00862_unified_prepared.obj,0.000000,3.139322,0.024984,0.507020,0.000000,0.981111,0.000000,0.161375,0.000000,0.011986
Bird\D00922_unified_prepared.obj,0.000000,3.133168,0.042074,0.740124,0.000000,1.312347,0.000000,0.487463,0.000000,0.058413
Bird\D00961_unified_prepared.obj,0.000000,3.139306,0.006717,0.504829,0.000000,0.978898,0.000000,0.154869,0.000000,0.005691
Bird\D00999_unified_prepared.obj,0.000000,3.133967,0.026572,0.500520,0.000000,0.990320,0.000000,0.098380,0.000000,0.002804
Bird\m28_unified_prepared.obj,0.000000,3.129640,0.096845,0.528339,0.000000,1.012772,0.000000,0.177012,0.000000,0.015270
Bird\m29_unified_prepared.obj,0.000000,3.125204,0.075768,0.675111,0.000000,1.076476,0.000000,0.171685,0.000000,0.007656
Bird\m30_unified_prepared.obj,0.000000,3.132646,0.053853,0.617215,0.000000,1.062013,0.000000,0.181644,0.000000,0.011681
Bird\m31_unified_prepared.obj,0.000000,3.141593,0.138936,0.549299,0.000000,1.030031,0.000000,0.215700,0.000000,0.021118
Bird\m32_unified_prepared.obj,0.000000,3.134277,0.107585,0.583023,0.000000,1.025989,0.000000,0.207863,0.000000,0.018350
Bird\m33_unified_prepared.obj,0.000000,3.134588,0.115892,0.693193,0.000000,1.207947,0.000000,0.376637,0.000000,0.046469
Bird\m34_unified_prepared.obj,0.000000,3.129406,0.047685,0.514038,0.000000,0.983888,0.000000,0.180484,0.000000,0.013956
Bird\m35_unified_prepared.obj,0.000000,3.125280,0.026123,0.625546,0.000000,1.059012,0.000000,0.336293,0.000000,0.049346
Bird\m36_unified_prepared.obj,0.000000,3.124514,0.096998,0.688526,0.000000,1.009486,0.000000,0.257852,0.000000,0.016983
Bird\m37_unified_prepared.obj,0.000000,3.129259,0.018859,0.556116,0.000000,0.993919,0.000000,0.311423,0.000000,0.033718
Bird\m38_unified_prepared.obj,0.000000,3.130010,0.026596,0.500522,0.000000,0.980860,0.000000,0.098939,0.000000,0.003351
Bird\m39_unified_prepared.obj,0.000000,3.139774,0.023696,0.509092,0.000000,1.000123,0.000000,0.249827,0.000000,0.012895
Bird\m40_unified_prepared.obj,0.000000,3.140125,0.048471,0.513133,0.000000,0.981926,0.000000,0.131474,0.000000,0.007715
