category,centered_mean,scaled_mean,fully_compliant_mean,center_error_mean,center_error_max,scaling_error_mean,scaling_error_max,face_uniformity_mean,edge_uniformity_mean,num_vertices_mean,num_vertices_std,num_faces_mean,num_faces_std,remeshing_applied_mean
Skyscraper,0.0,1.0,0.0,0.030877,0.059873,0.0,0.0,-1.859443,-0.322681,8887.5,709.228102,9137.5,3015.810422,1.0
Spoon,0.0,1.0,0.0,0.109882,0.178322,0.0,0.0,-0.6334,-0.30092,2443.5,1890.096426,4834.0,3775.950212,1.0
Starship,0.0,1.0,0.0,0.075586,0.117203,0.0,0.0,-0.911833,-0.378358,1888.75,769.173312,3334.75,937.475822,1.0
SubmachineGun,0.0,1.0,0.0,0.080399,0.104509,0.0,0.0,-1.414014,-0.450901,1836.5,689.429112,3514.0,1388.757718,1.0
Sword,0.0,1.0,0.0,0.138978,0.258212,0.0,0.0,-4.67441,-1.029717,2453.666667,1710.6914,5082.333333,3563.154426,0.833333
Tool,0.0,1.0,0.0,0.037172,0.079363,0.0,0.0,-1.095226,-0.20714,3282.8,1674.27871,6363.4,3235.186053,0.8
Train,0.0,1.0,0.0,0.082487,0.19698,0.0,0.0,-6.632935,-2.333312,6340.0,2197.43282,11319.666667,2916.554531,0.333333
Tree,0.0,1.0,0.0,0.037564,0.062535,0.0,0.0,0.281117,0.376446,5034.8,3141.923567,5152.4,2344.60067,1.0
Truck,0.0,1.0,0.0,0.1883,0.26086,0.0,0.0,-5.981405,-0.817025,3187.666667,3027.120304,6060.0,5459.033248,0.666667
TruckNonContainer,0.0,1.0,0.0,0.081158,0.110857,0.0,0.0,-3.521493,-0.574734,5828.5,2007.476152,10925.5,4353.656452,0.5
Vase,0.0,1.0,0.0,0.086101,0.134941,0.0,0.0,0.227134,0.403951,3232.5,860.548953,6400.0,1810.19336,1.0
Violin,0.0,1.0,0.0,0.036047,0.047127,0.0,0.0,-3.327565,-0.89682,4697.0,3872.116734,10096.5,8450.633142,0.5
Wheel,0.0,1.0,0.0,0.010855,0.014887,0.0,0.0,-0.397123,0.08651,2900.0,1247.336362,5459.0,2018.082754,1.0
WheelChair,0.0,1.0,0.0,0.147186,0.148161,0.0,0.0,-1.29273,-0.154707,2685.0,1093.187084,4630.5,2083.843684,1.0
