name,compactness
Door\m1707_06_fill_holes_and_orientation.obj,4226.37289
Door\m1708_06_fill_holes_and_orientation.obj,1868.975723
Door\m1718_06_fill_holes_and_orientation.obj,5921.041333
Drum\D00982_06_fill_holes_and_orientation.obj,4513.564274
FloorLamp\D00924_06_fill_holes_and_orientation.obj,1900.750407
FloorLamp\m620_06_fill_holes_and_orientation.obj,1870.659858
Glasses\D00201_06_fill_holes_and_orientation.obj,1702.372323
Glasses\D00994_06_fill_holes_and_orientation.obj,2682.91589
Guitar\D00335_06_fill_holes_and_orientation.obj,837082.9218
Hat\m1628_06_fill_holes_and_orientation.obj,2772.462297
Hat\m1629_06_fill_holes_and_orientation.obj,3852.940481
Hat\m1632_06_fill_holes_and_orientation.obj,18076.48273
Hat\m1637_06_fill_holes_and_orientation.obj,1938.995805
Hat\m1640_06_fill_holes_and_orientation.obj,4373.450532
Helicopter\D00038_06_fill_holes_and_orientation.obj,2878.872472
Helicopter\D00498_06_fill_holes_and_orientation.obj,5717.89185
House\D00001_06_fill_holes_and_orientation.obj,5664.846523
House\D00044_06_fill_holes_and_orientation.obj,4086.49172
House\D00359_06_fill_holes_and_orientation.obj,3432.681636
House\D00389_06_fill_holes_and_orientation.obj,21059.39488
House\D00873_06_fill_holes_and_orientation.obj,13976.8147
House\D00903_06_fill_holes_and_orientation.obj,10239.89343
House\D00946_06_fill_holes_and_orientation.obj,124684.1021
House\m430_06_fill_holes_and_orientation.obj,2106.36047
House\m433_06_fill_holes_and_orientation.obj,10763.48591
House\m439_06_fill_holes_and_orientation.obj,1761.71297
House\m441_06_fill_holes_and_orientation.obj,254359.59
House\m446_06_fill_holes_and_orientation.obj,8143.7007
House\m456_06_fill_holes_and_orientation.obj,3293.739274
Insect\D00109_06_fill_holes_and_orientation.obj,8903.190163
Insect\D00231_06_fill_holes_and_orientation.obj,3768.917931
Insect\D00294_06_fill_holes_and_orientation.obj,18818.95484
Insect\D00787_06_fill_holes_and_orientation.obj,153819.2512
Insect\m14_06_fill_holes_and_orientation.obj,3903.730119
Jet\m1169_06_fill_holes_and_orientation.obj,4978.257234
Jet\m1251_06_fill_holes_and_orientation.obj,4978.257234
Knife\D01015_06_fill_holes_and_orientation.obj,67713.11477
Knife\D01051_06_fill_holes_and_orientation.obj,17018.60152
Monitor\D00391_06_fill_holes_and_orientation.obj,1936.792274
Monitor\D00920_06_fill_holes_and_orientation.obj,2487393.532
Monitor\D01000_06_fill_holes_and_orientation.obj,4277.430098
MultiSeat\m776_06_fill_holes_and_orientation.obj,6643.57132
MultiSeat\m777_06_fill_holes_and_orientation.obj,2885.760545
Musical_Instrument\m633_06_fill_holes_and_orientation.obj,7511.911063
Musical_Instrument\m646_06_fill_holes_and_orientation.obj,3103.432097
NonWheelChair\D00853_06_fill_holes_and_orientation.obj,2125.330125
NonWheelChair\m819_06_fill_holes_and_orientation.obj,6277.546678
PianoBoard\D00212_06_fill_holes_and_orientation.obj,5096.568549
PlantIndoors\D00238_06_fill_holes_and_orientation.obj,3457.534302
PlantIndoors\D00370_06_fill_holes_and_orientation.obj,2462.489962
PlantIndoors\D00609_06_fill_holes_and_orientation.obj,4177.020898
PlantIndoors\m1002_06_fill_holes_and_orientation.obj,35048.75262
PlantIndoors\m1007_06_fill_holes_and_orientation.obj,2462.496937
PlantIndoors\m1009_06_fill_holes_and_orientation.obj,34634.36773
PlantIndoors\m1010_06_fill_holes_and_orientation.obj,1709.611253
PlantIndoors\m1020_06_fill_holes_and_orientation.obj,3837.410812
PlantIndoors\m1031_06_fill_holes_and_orientation.obj,3418.669796
PlantWildNonTree\m1052_06_fill_holes_and_orientation.obj,12673.13797
PlantWildNonTree\m962_06_fill_holes_and_orientation.obj,1910.50328
PlantWildNonTree\m966_06_fill_holes_and_orientation.obj,44702.31929
PlantWildNonTree\m967_06_fill_holes_and_orientation.obj,2148.747147
PlantWildNonTree\m971_06_fill_holes_and_orientation.obj,225350.3828
PlantWildNonTree\m972_06_fill_holes_and_orientation.obj,75638.60767
PlantWildNonTree\m973_06_fill_holes_and_orientation.obj,6748.199482
PlantWildNonTree\m974_06_fill_holes_and_orientation.obj,4144.672618
PlantWildNonTree\m977_06_fill_holes_and_orientation.obj,136101.4331
PlantWildNonTree\m978_06_fill_holes_and_orientation.obj,11146.42614
PlantWildNonTree\m979_06_fill_holes_and_orientation.obj,339863.8217
PlantWildNonTree\m980_06_fill_holes_and_orientation.obj,2771.367706
PlantWildNonTree\m984_06_fill_holes_and_orientation.obj,6652.736141
PlantWildNonTree\m985_06_fill_holes_and_orientation.obj,2881.351157
PlantWildNonTree\m986_06_fill_holes_and_orientation.obj,32618.18221
PlantWildNonTree\m987_06_fill_holes_and_orientation.obj,6241.265286
PlantWildNonTree\m988_06_fill_holes_and_orientation.obj,1864.558061
RectangleTable\D00134_06_fill_holes_and_orientation.obj,3142.732841
RectangleTable\D00230_06_fill_holes_and_orientation.obj,4699.173269
RectangleTable\D00418_06_fill_holes_and_orientation.obj,72534.85561
RectangleTable\m765_06_fill_holes_and_orientation.obj,2167.551646
RectangleTable\m871_06_fill_holes_and_orientation.obj,3911320.118
RectangleTable\m886_06_fill_holes_and_orientation.obj,6140.699055
Rocket\D00485_06_fill_holes_and_orientation.obj,2052.933644
RoundTable\m928_06_fill_holes_and_orientation.obj,7680.09646
Shelf\D00057_06_fill_holes_and_orientation.obj,1809.788953
Shelf\D00074_06_fill_holes_and_orientation.obj,4647.699817
Shelf\D00129_06_fill_holes_and_orientation.obj,3153.368233
Shelf\D00171_06_fill_holes_and_orientation.obj,2280.312831
Shelf\D00198_06_fill_holes_and_orientation.obj,5480.986098
Shelf\D00242_06_fill_holes_and_orientation.obj,7351.054471
Shelf\D00337_06_fill_holes_and_orientation.obj,120984.2741
Shelf\D00468_06_fill_holes_and_orientation.obj,5259.402745
Shelf\D00592_06_fill_holes_and_orientation.obj,2648.988936
Shelf\D00631_06_fill_holes_and_orientation.obj,14372.77085
Shelf\D00691_06_fill_holes_and_orientation.obj,26714.15066
Shelf\D00725_06_fill_holes_and_orientation.obj,3865.117568
Shelf\D00772_06_fill_holes_and_orientation.obj,7883.924438
Shelf\D00781_06_fill_holes_and_orientation.obj,2070.228773
Shelf\D00818_06_fill_holes_and_orientation.obj,12041.53086
Shelf\D00881_06_fill_holes_and_orientation.obj,6207.337013
Shelf\D00887_06_fill_holes_and_orientation.obj,2987.090522
Shelf\m844_06_fill_holes_and_orientation.obj,3033.845609
Shelf\m850_06_fill_holes_and_orientation.obj,6570.895733
Shelf\m859_06_fill_holes_and_orientation.obj,2728.635525
Ship\D00539_06_fill_holes_and_orientation.obj,2459.012318
Ship\D00791_06_fill_holes_and_orientation.obj,3221.498018
Ship\m1459_06_fill_holes_and_orientation.obj,4721.670924
Ship\m1461_06_fill_holes_and_orientation.obj,33980.94196
Ship\m1462_06_fill_holes_and_orientation.obj,9550.757685
Sign\m1676_06_fill_holes_and_orientation.obj,1817.797839
Sign\m1678_06_fill_holes_and_orientation.obj,1766.222412
Sign\m1682_06_fill_holes_and_orientation.obj,2286.839628
Skyscraper\D00058_06_fill_holes_and_orientation.obj,11250.28863
Skyscraper\D00059_06_fill_holes_and_orientation.obj,14097.66474
Skyscraper\D00259_06_fill_holes_and_orientation.obj,27582.64444
Skyscraper\D00520_06_fill_holes_and_orientation.obj,3583.119832
Skyscraper\D00532_06_fill_holes_and_orientation.obj,13492.57546
Skyscraper\D00584_06_fill_holes_and_orientation.obj,14671.18748
Skyscraper\D00729_06_fill_holes_and_orientation.obj,113608.9684
Skyscraper\D00822_06_fill_holes_and_orientation.obj,6314.000405
Skyscraper\D00870_06_fill_holes_and_orientation.obj,3342.386432
Spoon\D00517_06_fill_holes_and_orientation.obj,2644.278419
Starship\m1362_06_fill_holes_and_orientation.obj,17425.99487
Starship\m1381_06_fill_holes_and_orientation.obj,2568.231887
Sword\D00513_06_fill_holes_and_orientation.obj,2536.998582
Tool\m1106_06_fill_holes_and_orientation.obj,2142.483845
Train\D01014_06_fill_holes_and_orientation.obj,12565.83294
Train\D01027_06_fill_holes_and_orientation.obj,82193.77801
Train\D01031_06_fill_holes_and_orientation.obj,2842.589704
Train\D01047_06_fill_holes_and_orientation.obj,4046.697203
Train\D01061_06_fill_holes_and_orientation.obj,3237.742935
Train\D01147_06_fill_holes_and_orientation.obj,2497.936044
Train\D01149_06_fill_holes_and_orientation.obj,24864.10346
Tree\D00096_06_fill_holes_and_orientation.obj,6318314.464
Tree\D00200_06_fill_holes_and_orientation.obj,25522.3985
Tree\D00221_06_fill_holes_and_orientation.obj,20368.2931
Tree\D00223_06_fill_holes_and_orientation.obj,6745.354905
Tree\D00367_06_fill_holes_and_orientation.obj,17873.02517
Tree\D00385_06_fill_holes_and_orientation.obj,2216.268399
Tree\D00393_06_fill_holes_and_orientation.obj,5243.050801
Tree\D00439_06_fill_holes_and_orientation.obj,44691.85529
Tree\D00456_06_fill_holes_and_orientation.obj,39771.8705
Tree\D00479_06_fill_holes_and_orientation.obj,28670.3593
Tree\D00533_06_fill_holes_and_orientation.obj,227767.5954
Tree\D00573_06_fill_holes_and_orientation.obj,51932.50735
Tree\D00612_06_fill_holes_and_orientation.obj,28836.02745
Tree\D00727_06_fill_holes_and_orientation.obj,1847.264686
Tree\D00777_06_fill_holes_and_orientation.obj,2854.898756
Tree\D00810_06_fill_holes_and_orientation.obj,8679.681949
Tree\D00834_06_fill_holes_and_orientation.obj,120920.4179
Tree\D00911_06_fill_holes_and_orientation.obj,17399.96701
Tree\D00996_06_fill_holes_and_orientation.obj,97901.15224
Tree\m1050_06_fill_holes_and_orientation.obj,436235.9909
Tree\m1064_06_fill_holes_and_orientation.obj,9658.142572
Tree\m1065_06_fill_holes_and_orientation.obj,42261.91492
Tree\m1066_06_fill_holes_and_orientation.obj,4757.776883
Tree\m1069_06_fill_holes_and_orientation.obj,42399.43461
Tree\m1086_06_fill_holes_and_orientation.obj,117082.4861
Tree\m1098_06_fill_holes_and_orientation.obj,16069.70095
Truck\D00047_06_fill_holes_and_orientation.obj,2157.020086
Truck\D00303_06_fill_holes_and_orientation.obj,2854.912227
Truck\D00331_06_fill_holes_and_orientation.obj,24358.55527
Truck\D00518_06_fill_holes_and_orientation.obj,3913.49941
Truck\D00947_06_fill_holes_and_orientation.obj,5664.495406
TruckNonContainer\D00143_06_fill_holes_and_orientation.obj,4069.225776
TruckNonContainer\D00252_06_fill_holes_and_orientation.obj,2305.114422
TruckNonContainer\D00353_06_fill_holes_and_orientation.obj,2248.806696
TruckNonContainer\D00572_06_fill_holes_and_orientation.obj,5524.324704
TruckNonContainer\D00737_06_fill_holes_and_orientation.obj,2361.313321
Violin\D00675_06_fill_holes_and_orientation.obj,590314.2027
