file,category,original_vertices,resampled_vertices,original_faces,resampled_faces,expected_action,actual_action,change
D00545.obj,Bed,415,9965,838,19787,subdivide,subdivided,9550
D00552.obj,Bed,6349,9653,12251,18723,unchanged,subdivided,3304
D00565.obj,Bed,826,7950,1628,15787,subdivide,subdivided,7124
D00650.obj,Bed,3752,8151,7443,16232,subdivide,subdivided,4399
D00735.obj,Bed,447,8724,684,16731,subdivide,subdivided,8277
D00836.obj,Bed,1563,9605,3154,19091,subdivide,subdivided,8042
D00839.obj,Bed,16364,8943,32648,17823,simplify,simplified,-7421
D00969.obj,Bed,12375,9744,23918,18656,simplify,simplified,-2631
D00988.obj,Bed,344,9815,624,19566,subdivide,subdivided,9471
m945.obj,Bed,8116,8112,15659,15657,unchanged,unchanged,-4
m946.obj,Bed,449,5651,644,10304,subdivide,subdivided,5202
m947.obj,Bed,441,8455,584,15263,subdivide,subdivided,8014
m948.obj,Bed,4597,9947,9038,19738,subdivide,subdivided,5350
m949.obj,Bed,706,8673,1388,17322,subdivide,subdivided,7967
m950.obj,Bed,437,9105,724,17608,subdivide,subdivided,8668
m951.obj,Bed,363,7994,572,15589,subdivide,subdivided,7631
D00016.obj,Bicycle,2769,8114,5049,15412,subdivide,subdivided,5345
D00033.obj,Bicycle,2192,8554,4448,16124,subdivide,subdivided,6362
D00040.obj,Bicycle,25426,9734,50650,18595,simplify,simplified,-15692
D00077.obj,Bicycle,16416,8886,32265,17524,simplify,simplified,-7530
D00078.obj,Bicycle,22674,8904,44740,17034,simplify,simplified,-13770
D00462.obj,Bicycle,56754,9532,111471,18728,simplify,simplified,-47222
D00514.obj,Bicycle,6951,6951,12939,12939,unchanged,unchanged,0
D00536.obj,Bicycle,29824,8230,60488,15646,simplify,simplified,-21594
D00555.obj,Bicycle,34292,7888,64544,13447,simplify,simplified,-26404
D00558.obj,Bicycle,19417,8370,37661,15998,simplify,simplified,-11047
D00567.obj,Bicycle,436,7306,916,14656,subdivide,subdivided,6870
D00621.obj,Bicycle,2769,8111,5049,15412,subdivide,subdivided,5342
D00708.obj,Bicycle,22495,8849,44110,16856,simplify,simplified,-13646
D00750.obj,Bicycle,2877,8711,5484,17096,subdivide,subdivided,5834
D00838.obj,Bicycle,23397,9194,45925,17551,simplify,simplified,-14203
D00847.obj,Bicycle,22672,8901,44707,17030,simplify,simplified,-13771
D00904.obj,Bicycle,5354,8142,10548,16124,unchanged,subdivided,2788
D00930.obj,Bicycle,29021,8107,57224,15226,simplify,simplified,-20914
D00931.obj,Bicycle,32603,9169,64230,17045,simplify,simplified,-23434
D00974.obj,Bicycle,6045,9234,12065,18261,unchanged,subdivided,3189
m1472.obj,Bicycle,524,7082,846,13440,subdivide,subdivided,6558
m1473.obj,Bicycle,2192,8556,4448,16136,subdivide,subdivided,6364
m1475.obj,Bicycle,6049,9239,12065,18264,unchanged,subdivided,3190
m1476.obj,Bicycle,436,7306,916,14656,subdivide,subdivided,6870
m1477.obj,Bicycle,22682,8901,44727,17024,simplify,simplified,-13781
m1478.obj,Bicycle,2769,8086,5049,15412,subdivide,subdivided,5317
D00069.obj,Biplane,3242,9859,6326,19355,subdivide,subdivided,6617
D00132.obj,Biplane,287,9459,348,17371,subdivide,subdivided,9172
D00178.obj,Biplane,4566,9281,8057,16532,subdivide,subdivided,4715
D00199.obj,Biplane,2584,8788,3764,15012,subdivide,subdivided,6204
D00246.obj,Biplane,5022,8321,9353,15748,unchanged,subdivided,3299
D00276.obj,Biplane,512,7473,916,14656,subdivide,subdivided,6961
D00277.obj,Biplane,22419,8585,41567,15762,simplify,simplified,-13834
D00320.obj,Biplane,9723,9722,17476,17379,unchanged,unchanged,-1
D00373.obj,Biplane,5941,8988,12536,17403,unchanged,subdivided,3047
D00410.obj,Biplane,2167,8548,4254,17016,subdivide,subdivided,6381
D00490.obj,Biplane,23374,9019,46318,17678,simplify,simplified,-14355
D00515.obj,Biplane,5379,8186,10522,16070,unchanged,subdivided,2807
D00601.obj,Biplane,17850,9779,36024,19406,simplify,simplified,-8071
D00616.obj,Biplane,17875,9397,37102,19500,simplify,simplified,-8478
D00632.obj,Biplane,624,8634,1024,16384,subdivide,subdivided,8010
D00634.obj,Biplane,40788,8009,77264,14435,simplify,simplified,-32779
D00666.obj,Biplane,469,9840,794,19420,subdivide,subdivided,9371
D00854.obj,Biplane,18832,8178,37292,15775,simplify,simplified,-10654
D00890.obj,Biplane,24430,9741,47490,18076,simplify,simplified,-14689
D00900.obj,Biplane,26728,8167,49863,14838,simplify,simplified,-18561
m1118.obj,Biplane,10676,8286,20408,15918,simplify,simplified,-2390
m1119.obj,Biplane,863,9865,1550,19344,subdivide,subdivided,9002
m1120.obj,Biplane,65722,9166,129881,17016,simplify,simplified,-56556
m1121.obj,Biplane,1062,8559,1913,16440,subdivide,subdivided,7497
m1122.obj,Biplane,6704,9845,11577,17573,unchanged,subdivided,3141
m1123.obj,Biplane,1015,7984,1756,15340,subdivide,subdivided,6969
m1124.obj,Biplane,390,8229,572,15589,subdivide,subdivided,7839
m1125.obj,Biplane,434,5631,656,10464,subdivide,subdivided,5197
m1126.obj,Biplane,770,8588,1316,16422,subdivide,subdivided,7818
m1127.obj,Biplane,354,9543,520,18169,subdivide,subdivided,9189
m1128.obj,Biplane,718,8012,1232,15375,subdivide,subdivided,7294
m1129.obj,Biplane,3351,7983,6272,15245,subdivide,subdivided,4632
m1131.obj,Biplane,482,9781,768,18784,subdivide,subdivided,9299
m1132.obj,Biplane,882,9456,1428,17820,subdivide,subdivided,8574
m1133.obj,Biplane,624,8634,1024,16384,subdivide,subdivided,8010
m1134.obj,Biplane,338,9385,512,17889,subdivide,subdivided,9047
m1135.obj,Biplane,264,8915,360,16372,subdivide,subdivided,8651
m1136.obj,Biplane,904,8164,1628,15846,subdivide,subdivided,7260
m1137.obj,Biplane,408,7977,524,14281,subdivide,subdivided,7569
m1138.obj,Biplane,2050,7555,3586,13808,subdivide,subdivided,5505
m1139.obj,Biplane,2920,8056,4234,13209,subdivide,subdivided,5136
m1141.obj,Biplane,11819,9217,23138,18007,simplify,simplified,-2602
m1143.obj,Biplane,3336,7905,6570,15446,subdivide,subdivided,4569
m1144.obj,Biplane,3627,9741,6736,18757,subdivide,subdivided,6114
m1146.obj,Biplane,1700,9461,3016,18435,subdivide,subdivided,7761
D00089.obj,Bird,233,8073,462,16142,subdivide,subdivided,7840
D00113.obj,Bird,15871,8674,31702,17308,simplify,simplified,-7197
D00164.obj,Bird,8188,8182,16135,16104,unchanged,unchanged,-6
D00234.obj,Bird,1247,9687,2468,19348,subdivide,subdivided,8440
D00271.obj,Bird,12813,9977,24753,19260,simplify,simplified,-2836
D00284.obj,Bird,13253,8061,26516,16116,simplify,simplified,-5192
D00323.obj,Bird,260,9626,364,18169,subdivide,subdivided,9366
D00386.obj,Bird,1751,6998,3498,13992,subdivide,subdivided,5247
D00438.obj,Bird,1824,7344,3709,14572,subdivide,subdivided,5520
D00442.obj,Bird,8996,8996,17119,17079,unchanged,unchanged,0
D00546.obj,Bird,1162,8991,2012,17576,subdivide,subdivided,7829
D00599.obj,Bird,1792,7195,3626,14256,subdivide,subdivided,5403
D00625.obj,Bird,1091,9987,1398,17447,subdivide,subdivided,8896
D00689.obj,Bird,2683,8373,5388,16604,subdivide,subdivided,5690
D00736.obj,Bird,3947,8627,7898,17077,subdivide,subdivided,4680
D00762.obj,Bird,950,8283,1896,16562,subdivide,subdivided,7333
D00862.obj,Bird,757,9393,1507,18768,subdivide,subdivided,8636
D00922.obj,Bird,903,7841,1794,15670,subdivide,subdivided,6938
D00961.obj,Bird,1344,8248,2734,16337,subdivide,subdivided,6904
D00999.obj,Bird,373,5947,744,11872,subdivide,subdivided,5574
m28.obj,Bird,6076,9171,11660,17798,unchanged,subdivided,3095
m29.obj,Bird,2972,9234,5878,18338,subdivide,subdivided,6262
m30.obj,Bird,390,6135,800,11936,subdivide,subdivided,5745
m31.obj,Bird,1802,7152,3548,14192,subdivide,subdivided,5350
m32.obj,Bird,1129,9816,2246,19620,subdivide,subdivided,8687
m33.obj,Bird,3144,9677,6164,19230,subdivide,subdivided,6533
m34.obj,Bird,233,8071,462,16142,subdivide,subdivided,7838
m35.obj,Bird,699,8700,1394,17396,subdivide,subdivided,8001
m36.obj,Bird,1289,9851,2503,19622,subdivide,subdivided,8562
m37.obj,Bird,567,9042,1130,18080,subdivide,subdivided,8475
m38.obj,Bird,464,7397,928,14784,subdivide,subdivided,6933
m39.obj,Bird,649,9517,1156,18496,subdivide,subdivided,8868
m40.obj,Bird,2684,8369,5390,16610,subdivide,subdivided,5685
m41.obj,Bird,1824,7344,3709,14572,subdivide,subdivided,5520
m43.obj,Bird,41,7076,54,13824,subdivide,subdivided,7035
m44.obj,Bird,401,9761,798,19518,subdivide,subdivided,9360
m45.obj,Bird,16542,9034,33072,18056,simplify,simplified,-7508
m47.obj,Bird,101,8173,165,16142,subdivide,subdivided,8072
m48.obj,Bird,427,7919,824,15661,subdivide,subdivided,7492
m49.obj,Bird,2329,8992,4364,17388,subdivide,subdivided,6663
m50.obj,Bird,93,8904,182,17804,subdivide,subdivided,8811
m52.obj,Bird,294,9798,560,19568,subdivide,subdivided,9504
D01009.obj,Bookset,444,7515,3156,14096,subdivide,subdivided,7071
D01013.obj,Bookset,320,7961,816,13578,subdivide,subdivided,7641
D01030.obj,Bookset,206,9445,1152,18670,subdivide,subdivided,9239
D01038.obj,Bookset,2208,8867,14844,17300,subdivide,subdivided,6659
D01042.obj,Bookset,668,7229,2373,12272,subdivide,subdivided,6561
D01050.obj,Bookset,140,8225,780,16320,subdivide,subdivided,8085
D01065.obj,Bookset,360,8961,918,15274,subdivide,subdivided,8601
D01078.obj,Bookset,1203,7796,6861,15003,subdivide,subdivided,6593
D01096.obj,Bookset,624,7416,2544,13312,subdivide,subdivided,6792
D01108.obj,Bookset,1614,9640,9798,19053,subdivide,subdivided,8026
D01109.obj,Bookset,1203,7838,6861,15004,subdivide,subdivided,6635
D01110.obj,Bookset,160,9609,936,19072,subdivide,subdivided,9449
D01122.obj,Bookset,108,9635,624,19175,subdivide,subdivided,9527
D01135.obj,Bookset,1645,9926,10185,19627,subdivide,subdivided,8281
D01146.obj,Bookset,2291,6896,7149,9392,subdivide,subdivided,4605
D01182.obj,Bookset,187,8148,1020,15974,subdivide,subdivided,7961
D01183.obj,Bookset,891,9792,3231,17152,subdivide,subdivided,8901
D01184.obj,Bookset,247,8056,1557,15932,subdivide,subdivided,7809
D01190.obj,Bookset,2393,9505,14484,18448,subdivide,subdivided,7112
D01199.obj,Bookset,240,9224,1524,18591,subdivide,subdivided,8984
D00020.obj,Bottle,857,9578,1710,19152,subdivide,subdivided,8721
D00123.obj,Bottle,1067,8989,2044,17855,subdivide,subdivided,7922
D00139.obj,Bottle,2452,9729,4860,19360,subdivide,subdivided,7277
D00166.obj,Bottle,23142,8904,45936,17555,simplify,simplified,-14238
D00176.obj,Bottle,7138,7138,14272,14272,unchanged,unchanged,0
D00208.obj,Bottle,1824,7284,3640,14560,subdivide,subdivided,5460
D00281.obj,Bottle,897,9907,1764,19756,subdivide,subdivided,9010
D00311.obj,Bottle,728,9039,1448,18070,subdivide,subdivided,8311
D00347.obj,Bottle,2165,8624,4438,17184,subdivide,subdivided,6459
D00350.obj,Bottle,490,7471,921,14736,subdivide,subdivided,6981
D00390.obj,Bottle,1380,8400,2742,16766,subdivide,subdivided,7020
D00451.obj,Bottle,9202,9202,18236,18236,unchanged,unchanged,0
D00679.obj,Bottle,11776,9235,23052,17978,simplify,simplified,-2541
D00696.obj,Bottle,13038,7968,25850,15725,simplify,simplified,-5070
D00711.obj,Bottle,177,8451,336,16772,subdivide,subdivided,8274
D00716.obj,Bottle,433,6746,856,13408,subdivide,subdivided,6313
D00726.obj,Bottle,9294,9294,18390,18390,unchanged,unchanged,0
D00892.obj,Bottle,2474,9884,4940,19760,subdivide,subdivided,7410
D00940.obj,Bottle,628,9944,1242,19872,subdivide,subdivided,9316
D00959.obj,Bottle,479,7259,892,14272,subdivide,subdivided,6780
m482.obj,Bottle,542,7930,950,15200,subdivide,subdivided,7388
m483.obj,Bottle,371,7753,620,15165,subdivide,subdivided,7382
m484.obj,Bottle,460,7174,888,14208,subdivide,subdivided,6714
m485.obj,Bottle,526,7771,936,14976,subdivide,subdivided,7245
m486.obj,Bottle,2101,8094,3894,15576,subdivide,subdivided,5993
m488.obj,Bottle,144,9090,284,18176,subdivide,subdivided,8946
m489.obj,Bottle,558,8553,1055,16880,subdivide,subdivided,7995
m490.obj,Bottle,573,8570,1075,16960,subdivide,subdivided,7997
m491.obj,Bottle,544,8152,997,15952,subdivide,subdivided,7608
m492.obj,Bottle,360,8610,724,17218,subdivide,subdivided,8250
m382.obj,BuildingNonResidential,252,7947,400,15573,subdivide,subdivided,7695
m383.obj,BuildingNonResidential,2328,9068,4460,17840,subdivide,subdivided,6740
m384.obj,BuildingNonResidential,2984,8282,4686,13653,subdivide,subdivided,5298
m385.obj,BuildingNonResidential,674,8144,918,14688,subdivide,subdivided,7470
m386.obj,BuildingNonResidential,532,8032,1008,16032,subdivide,subdivided,7500
m387.obj,BuildingNonResidential,844,7755,1668,15574,subdivide,subdivided,6911
m389.obj,BuildingNonResidential,2509,9579,5100,18532,subdivide,subdivided,7070
m390.obj,BuildingNonResidential,40,8719,45,16827,subdivide,subdivided,8679
m391.obj,BuildingNonResidential,246,9444,274,17536,subdivide,subdivided,9198
m392.obj,BuildingNonResidential,33,6871,80,13568,subdivide,subdivided,6838
m393.obj,BuildingNonResidential,241,8524,326,16273,subdivide,subdivided,8283
m394.obj,BuildingNonResidential,750,9810,1246,19152,subdivide,subdivided,9060
m395.obj,BuildingNonResidential,630,6672,696,11136,subdivide,subdivided,6042
m397.obj,BuildingNonResidential,1362,8215,2680,16386,subdivide,subdivided,6853
m398.obj,BuildingNonResidential,498,7518,936,14976,subdivide,subdivided,7020
m399.obj,BuildingNonResidential,7530,7466,13536,13448,unchanged,simplified,-64
m400.obj,BuildingNonResidential,488,7985,840,15720,subdivide,subdivided,7497
m401.obj,BuildingNonResidential,6936,6891,13373,13248,unchanged,simplified,-45
m402.obj,BuildingNonResidential,21120,8022,41661,15404,simplify,simplified,-13098
m404.obj,BuildingNonResidential,1054,8516,2752,14982,subdivide,subdivided,7462
m405.obj,BuildingNonResidential,21009,8082,41835,15913,simplify,simplified,-12927
m406.obj,BuildingNonResidential,7328,7223,13892,13545,unchanged,simplified,-105
m407.obj,BuildingNonResidential,229,9631,404,19018,subdivide,subdivided,9402
m408.obj,BuildingNonResidential,1252,8087,2372,15841,subdivide,subdivided,6835
m409.obj,BuildingNonResidential,1509,7975,1988,13497,subdivide,subdivided,6466
m410.obj,BuildingNonResidential,1217,9254,2076,18135,subdivide,subdivided,8037
m412.obj,BuildingNonResidential,1990,9355,2820,17194,subdivide,subdivided,7365
m413.obj,BuildingNonResidential,3749,8078,7282,15794,subdivide,subdivided,4329
m414.obj,BuildingNonResidential,1056,8575,1944,16982,subdivide,subdivided,7519
m415.obj,BuildingNonResidential,508,7377,956,14656,subdivide,subdivided,6869
m416.obj,BuildingNonResidential,7056,7056,13542,13368,unchanged,unchanged,0
m418.obj,BuildingNonResidential,1576,8828,2836,17340,subdivide,subdivided,7252
m420.obj,BuildingNonResidential,7226,7217,12960,12926,unchanged,unchanged,-9
m421.obj,BuildingNonResidential,6853,6852,11000,10999,unchanged,unchanged,-1
m470.obj,BuildingNonResidential,14453,7907,28562,15475,simplify,simplified,-6546
m472.obj,BuildingNonResidential,358,8615,704,17218,subdivide,subdivided,8257
m474.obj,BuildingNonResidential,1361,8188,2670,16324,subdivide,subdivided,6827
m477.obj,BuildingNonResidential,1047,7943,1708,14902,subdivide,subdivided,6896
m478.obj,BuildingNonResidential,1750,9672,2980,18220,subdivide,subdivided,7922
m479.obj,BuildingNonResidential,648,8820,1056,16896,subdivide,subdivided,8172
m481.obj,BuildingNonResidential,473,9710,760,18538,subdivide,subdivided,9237
D00084.obj,Bus,12919,8019,75870,14966,simplify,simplified,-4900
D00114.obj,Bus,7643,7621,53259,14962,unchanged,simplified,-22
D00151.obj,Bus,9415,9149,54282,16329,unchanged,simplified,-266
D00179.obj,Bus,5976,9391,42567,17160,unchanged,subdivided,3415
D00182.obj,Bus,13436,8225,86502,15390,simplify,simplified,-5211
D00264.obj,Bus,11096,8647,67185,16865,simplify,simplified,-2449
D00411.obj,Bus,4964,7857,34821,15014,subdivide,subdivided,2893
D00436.obj,Bus,4587,7917,29118,15848,subdivide,subdivided,3330
D00446.obj,Bus,4915,8238,28227,15918,subdivide,subdivided,3323
D00448.obj,Bus,7367,7366,42369,13133,unchanged,unchanged,-1
D00483.obj,Bus,6082,8632,25650,12971,unchanged,subdivided,2550
D00516.obj,Bus,4096,8880,24888,17424,subdivide,subdivided,4784
D00677.obj,Bus,11964,9405,65712,16732,simplify,simplified,-2559
D00754.obj,Bus,8861,8811,59982,16406,unchanged,simplified,-50
D00769.obj,Bus,8963,8940,56925,16382,unchanged,simplified,-23
D00775.obj,Bus,9506,9499,65670,17613,unchanged,unchanged,-7
D00815.obj,Bus,7063,7012,40023,13299,unchanged,simplified,-51
D00823.obj,Bus,7367,7363,45333,14091,unchanged,unchanged,-4
D00832.obj,Bus,3137,9719,18774,19060,subdivide,subdivided,6582
D00857.obj,Bus,5220,9737,28053,17213,unchanged,subdivided,4517
D00168.obj,Car,4350,9217,8157,17813,subdivide,subdivided,4867
D00236.obj,Car,26704,9746,45234,15283,simplify,simplified,-16958
D00260.obj,Car,35859,8256,57440,11935,simplify,simplified,-27603
D00265.obj,Car,4958,8318,9157,15596,subdivide,subdivided,3360
D00299.obj,Car,22232,8495,45452,16985,simplify,simplified,-13737
D00377.obj,Car,8260,8257,16515,16515,unchanged,unchanged,-3
D00405.obj,Car,12440,9392,24552,18464,simplify,simplified,-3048
D00452.obj,Car,23843,9137,47667,18127,simplify,simplified,-14706
D00504.obj,Car,5153,9934,9168,16778,unchanged,subdivided,4781
D00541.obj,Car,2956,8548,4770,14719,subdivide,subdivided,5592
D00618.obj,Car,3506,7982,5877,14203,subdivide,subdivided,4476
D00670.obj,Car,3861,8109,6755,14455,subdivide,subdivided,4248
D00671.obj,Car,19302,9696,37380,18205,simplify,simplified,-9606
D00724.obj,Car,17658,9946,29905,16311,simplify,simplified,-7712
D00767.obj,Car,10616,8308,20980,16364,simplify,simplified,-2308
D00785.obj,Car,7061,6935,11230,11230,unchanged,simplified,-126
D00793.obj,Car,5322,8007,9907,15127,unchanged,subdivided,2685
D00803.obj,Car,24935,9493,50126,18928,simplify,simplified,-15442
D00865.obj,Car,13689,9357,24340,16869,simplify,simplified,-4332
D00976.obj,Car,18122,8375,32782,13797,simplify,simplified,-9747
m1485.obj,Car,6148,9409,12263,18739,unchanged,subdivided,3261
m1486.obj,Car,5911,8688,11230,17167,unchanged,subdivided,2777
m1487.obj,Car,7454,7451,15436,14811,unchanged,unchanged,-3
m1488.obj,Car,4952,8261,9223,15490,subdivide,subdivided,3309
m1489.obj,Car,1684,8001,3352,15986,subdivide,subdivided,6317
m1490.obj,Car,2868,8742,5566,16616,subdivide,subdivided,5874
m1492.obj,Car,5914,8789,10880,16630,unchanged,subdivided,2875
m1495.obj,Car,6870,6845,13402,13202,unchanged,simplified,-25
m1496.obj,Car,8404,8402,16736,16736,unchanged,unchanged,-2
m1497.obj,Car,3655,7925,7234,15772,subdivide,subdivided,4270
m1498.obj,Car,5514,8312,10496,15445,unchanged,subdivided,2798
m1499.obj,Car,15465,8483,31807,16592,simplify,simplified,-6982
m1500.obj,Car,1644,9981,3260,19934,subdivide,subdivided,8337
m1502.obj,Car,4970,8097,7120,11886,subdivide,subdivided,3127
m1503.obj,Car,24786,9942,50685,18229,simplify,simplified,-14844
m1504.obj,Car,1621,9248,3269,17933,subdivide,subdivided,7627
m1505.obj,Car,10969,8641,21007,16219,simplify,simplified,-2328
m1506.obj,Car,4284,9063,7879,17074,subdivide,subdivided,4779
m1507.obj,Car,6514,9881,12769,19481,unchanged,subdivided,3367
m1508.obj,Car,4336,8405,10492,11338,subdivide,subdivided,4069
m1509.obj,Car,47555,8834,95017,17759,simplify,simplified,-38721
m1510.obj,Car,54710,8008,109357,15971,simplify,simplified,-46702
m1511.obj,Car,10828,8224,20577,16014,simplify,simplified,-2604
m1512.obj,Car,6816,6808,11468,11419,unchanged,unchanged,-8
m1513.obj,Car,13106,9798,20844,16258,simplify,simplified,-3308
m1514.obj,Car,18662,8060,36856,15692,simplify,simplified,-10602
m1515.obj,Car,250,7902,391,15224,subdivide,subdivided,7652
m1516.obj,Car,12279,9577,24863,19075,simplify,simplified,-2702
m1517.obj,Car,3955,8342,7448,16194,subdivide,subdivided,4387
m1518.obj,Car,7486,7329,14482,14460,unchanged,simplified,-157
m1519.obj,Car,4275,8832,7958,17374,subdivide,subdivided,4557
m1521.obj,Car,308,7877,580,15642,subdivide,subdivided,7569
m1522.obj,Car,2676,7844,4713,14692,subdivide,subdivided,5168
m1523.obj,Car,1830,7290,3640,14560,subdivide,subdivided,5460
m1524.obj,Car,1517,9224,3014,18428,subdivide,subdivided,7707
m1525.obj,Car,10545,8220,21450,16202,simplify,simplified,-2325
m1526.obj,Car,320,9992,560,19568,subdivide,subdivided,9672
m1527.obj,Car,7315,7301,14450,14329,unchanged,simplified,-14
m1528.obj,Car,18656,7969,37254,15586,simplify,simplified,-10687
m1529.obj,Car,4168,8782,7412,16124,subdivide,subdivided,4614
m1530.obj,Car,1268,8110,2286,15437,subdivide,subdivided,6842
m1531.obj,Car,2170,8399,4060,16232,subdivide,subdivided,6229
m1532.obj,Car,132,7907,134,14607,subdivide,subdivided,7775
