name,surface_area_before,volume_before,compactness_before,rectangularity_before,diameter_before,convexity_before,eccentricity_before,surface_area_after,volume_after,compactness_after,rectangularity_after,diameter_after,convexity_after,eccentricity_after
AircraftBuoyant\m1340_04_flipped.obj,0.468215,0.010046,8.992973,0.305101,0.950000,6.954189,12.139636,0.506380,0.023857,2.017172,0.329970,0.950000,16.514811,12.149359
AircraftBuoyant\m1340_05_scaled.obj,0.518912,0.011721,8.992915,0.305101,1.000110,4.356971,12.139638,0.561210,0.027835,2.017171,0.329970,1.000110,10.346901,12.149361
AircraftBuoyant\m1340_unified.obj,0.518912,0.011721,8.992915,0.305101,1.000110,4.356971,12.139638,0.561210,0.027835,2.017171,0.329970,1.000110,10.346901,12.149361
Apartment\D00310_00_original.obj,18.385496,0.136710,2940.159653,2.660237,1.953022,1.166888,10.636297,29.972813,0.188623,6691.770145,4.336831,1.953022,1.609987,10.609789
Apartment\D00310_01_remeshed.obj,18.004814,0.129398,3082.175266,2.605156,1.953022,11.161986,10.008223,38.187685,0.098905,50335.838349,5.525459,1.953022,8.531660,10.029059
Apartment\D00310_02_translated.obj,18.004814,0.088228,6629.761084,2.605156,1.953022,6.740377,10.008223,38.187683,0.103540,45930.731725,5.525459,1.953022,7.910127,10.029060
Apartment\D00310_03_aligned.obj,18.004815,0.088228,6629.788661,2.511875,1.953022,0.928578,10.008223,38.187683,0.103540,45930.883755,5.327613,1.953022,1.089727,10.029059
Apartment\D00310_04_flipped.obj,18.004815,0.088228,6629.788661,2.511875,1.953022,4.079941,10.008223,38.187683,0.103540,45930.883755,5.327613,1.953022,4.787991,10.029059
Apartment\D00310_05_scaled.obj,5.649667,0.015508,6629.719235,2.511874,1.094018,3.896001,10.008222,11.982778,0.018199,45930.519505,5.327612,1.094018,4.572123,10.029059
Apartment\D00310_unified.obj,5.649667,0.015508,6629.719235,2.511874,1.094018,3.896001,10.008222,11.982778,0.018199,45930.519505,5.327612,1.094018,4.572123,10.029059
Apartment\D00478_00_original.obj,11.125226,0.425570,67.225240,1.202731,1.861232,6.661718,5.210886,20.124852,0.122978,4765.325282,2.175667,1.861232,1.925050,5.231424
Apartment\D00478_01_remeshed.obj,10.618489,0.413827,61.815551,1.147949,1.861232,5.508820,4.901072,19.968772,0.097831,7356.104111,2.158793,1.861232,1.302316,4.924526
Apartment\D00478_02_translated.obj,10.618489,0.405191,64.478645,1.147948,1.861232,27.385452,4.901072,19.968771,0.097786,7362.852935,2.158793,1.861232,6.609030,4.924526
Apartment\D00478_03_aligned.obj,10.618497,0.405191,64.478761,1.282322,1.861232,3.344142,4.901072,19.968782,0.097786,7362.861803,2.411491,1.861232,0.807054,4.924526
Apartment\D00478_04_flipped.obj,10.618497,0.405191,64.478761,1.282322,1.861232,11.729553,4.901072,19.968782,0.097786,7362.861803,2.411491,1.861232,2.830735,4.924526
Apartment\D00478_05_scaled.obj,3.913852,0.090672,64.478661,1.282322,1.129982,5.933822,4.901072,7.360258,0.021882,7362.887224,2.411491,1.129982,1.432027,4.924526
Apartment\D00478_unified.obj,3.913852,0.090672,64.478661,1.282322,1.129982,5.933822,4.901072,7.360258,0.021882,7362.887224,2.411491,1.129982,1.432027,4.924526
Apartment\D00496_00_original.obj,6.556639,0.698193,5.112591,0.672485,1.890571,30.768936,2.918369,6.872873,0.684852,6.120247,0.704920,1.890571,30.181035,2.903751
Apartment\D00496_01_remeshed.obj,6.253549,0.699209,4.422963,0.641399,1.890571,31.158810,2.554677,6.646663,0.691226,5.433990,0.681719,1.890571,30.803052,2.552243
Apartment\D00496_02_translated.obj,6.253550,0.699800,4.415499,0.641399,1.890571,68.306550,2.554678,6.646665,0.691201,5.434388,0.681719,1.890571,67.467195,2.552244
Apartment\D00496_03_aligned.obj,6.253548,0.699800,4.415494,0.812995,1.890571,9.343608,2.554677,6.646668,0.691201,5.434393,0.864103,1.890571,9.228795,2.552242
Apartment\D00496_04_flipped.obj,6.253548,0.699800,4.415494,0.812995,1.890571,9.343608,2.554677,6.646668,0.691201,5.434393,0.864103,1.890571,9.228795,2.552242
Apartment\D00496_05_scaled.obj,2.516284,0.178617,4.415495,0.812995,1.199249,52.120568,2.554677,2.674474,0.176423,5.434437,0.864105,1.199249,51.480113,2.552243
Apartment\D00496_unified.obj,2.516284,0.178617,4.415495,0.812995,1.199249,52.120568,2.554677,2.674474,0.176423,5.434437,0.864105,1.199249,51.480113,2.552243
AquaticAnimal\m56_00_original.obj,0.441398,0.007067,15.224282,0.431571,0.963019,1.578170,58.307920,0.472926,0.007829,15.257251,0.462397,0.963019,1.748352,58.607705
AquaticAnimal\m56_01_remeshed.obj,0.441398,0.007067,15.224282,0.431570,0.963019,1.637407,60.449041,0.473009,0.007905,14.972682,0.462478,0.963019,1.831614,60.645338
AquaticAnimal\m56_02_translated.obj,0.441398,0.007528,13.416241,0.431571,0.963019,12.062664,60.449071,0.473009,0.007655,15.969097,0.462478,0.963019,12.265269,60.645368
AquaticAnimal\m56_03_aligned.obj,0.441398,0.007528,13.416250,0.433211,0.963019,6.387449,60.449053,0.473009,0.007655,15.969148,0.464236,0.963019,6.493655,60.645350
AquaticAnimal\m56_04_flipped.obj,0.441398,0.007528,13.416250,0.433211,0.963019,6.387449,60.449053,0.473009,0.007655,15.969148,0.464236,0.963019,6.493655,60.645350
AquaticAnimal\m56_05_scaled.obj,0.493327,0.008895,13.416225,0.433210,1.018092,5.576738,60.449035,0.528657,0.009045,15.969021,0.464235,1.018092,5.672768,60.645332
AquaticAnimal\m56_unified.obj,0.493327,0.008895,13.416225,0.433210,1.018092,5.576738,60.449035,0.528657,0.009045,15.969021,0.464235,1.018092,5.672768,60.645332
AquaticAnimal\m74_00_original.obj,0.362071,0.007678,7.119323,0.261437,0.954854,10.666619,33.007656,0.356467,0.006080,10.835469,0.257390,0.954854,8.446178,33.007656
AquaticAnimal\m74_01_remeshed.obj,0.349687,0.007894,6.067625,0.253173,0.954854,205.499364,43.294440,0.353780,0.007354,7.240317,0.256135,0.954854,191.434535,43.212683
AquaticAnimal\m74_02_translated.obj,0.349688,0.007697,6.382168,0.253173,0.954854,10.942773,43.294449,0.353780,0.007599,6.779412,0.256135,0.954854,10.804254,43.212693
AquaticAnimal\m74_03_aligned.obj,0.349688,0.007697,6.382166,0.243927,0.954854,1.623697,43.294448,0.353780,0.007599,6.779405,0.246781,0.954854,1.603144,43.212692
AquaticAnimal\m74_04_flipped.obj,0.349688,0.007697,6.382166,0.243927,0.954854,1.623697,43.294448,0.353780,0.007599,6.779405,0.246781,0.954854,1.603144,43.212692
AquaticAnimal\m74_05_scaled.obj,0.385456,0.008907,6.382152,0.243927,1.002500,3.418845,43.294433,0.389967,0.008795,6.779401,0.246782,1.002500,3.375565,43.212677
AquaticAnimal\m74_unified.obj,0.385456,0.008907,6.382152,0.243927,1.002500,3.418845,43.294433,0.389967,0.008795,6.779401,0.246782,1.002500,3.375565,43.212677
AquaticAnimal\m76_00_original.obj,0.410318,0.010220,5.847470,0.261072,0.954949,1.324685,27.614551,0.410318,0.010220,5.847464,0.261072,0.954949,1.324686,27.614551
AquaticAnimal\m76_01_remeshed.obj,0.410318,0.010220,5.847466,0.261072,0.954949,1.331206,52.851250,0.410318,0.010220,5.847466,0.261072,0.954949,1.331206,52.851250
AquaticAnimal\m76_02_translated.obj,0.410318,0.010220,5.847476,0.261072,0.954949,0.859959,52.851266,0.410318,0.010220,5.847476,0.261072,0.954949,0.859959,52.851266
AquaticAnimal\m76_03_aligned.obj,0.410318,0.010220,5.847476,0.255562,0.954949,0.830062,52.851258,0.410318,0.010220,5.847476,0.255562,0.954949,0.830062,52.851258
AquaticAnimal\m76_04_flipped.obj,0.410318,0.010220,5.847476,0.255562,0.954949,0.830062,52.851258,0.410318,0.010220,5.847476,0.255562,0.954949,0.830062,52.851258
AquaticAnimal\m76_05_scaled.obj,0.450215,0.011747,5.847463,0.255561,1.000300,0.830769,52.851246,0.450215,0.011747,5.847463,0.255561,1.000300,0.830769,52.851246
AquaticAnimal\m76_unified.obj,0.450215,0.011747,5.847463,0.255561,1.000300,0.830769,52.851246,0.450215,0.011747,5.847463,0.255561,1.000300,0.830769,52.851246
Bed\D00121_00_original.obj,7.428673,0.211053,81.376691,0.680348,1.944289,1.598939,12.836569,7.428673,0.211053,81.376691,0.680348,1.944289,1.598939,12.836569
Bed\D00121_01_remeshed.obj,7.428673,0.211053,81.376679,0.680348,1.944289,1.134376,12.293038,7.428673,0.211053,81.376679,0.680348,1.944289,1.134376,12.293038
Bed\D00121_02_translated.obj,7.428673,0.211053,81.376689,0.680348,1.944289,1.088681,12.293040,7.428673,0.211053,81.376689,0.680348,1.944289,1.088681,12.293040
Bed\D00121_03_aligned.obj,7.428673,0.211052,81.376825,0.950076,1.944289,6.221323,12.293038,7.428673,0.211052,81.376825,0.950076,1.944289,6.221323,12.293038
Bed\D00121_04_flipped.obj,7.428673,0.211052,81.376825,0.950076,1.944289,4.550426,12.293038,7.428673,0.211052,81.376825,0.950076,1.944289,4.550426,12.293038
Bed\D00121_05_scaled.obj,3.516906,0.068749,81.376374,0.950076,1.337783,2.110053,12.293038,3.516906,0.068749,81.376374,0.950076,1.337783,2.110053,12.293038
Bed\D00121_unified.obj,3.516906,0.068749,81.376374,0.950076,1.337783,2.110053,12.293038,3.516906,0.068749,81.376374,0.950076,1.337783,2.110053,12.293038
Bed\D00839_00_original.obj,10.867620,0.432376,60.705459,1.232289,1.865781,5.782897,32.953734,10.870603,0.432276,60.783500,1.232627,1.865781,5.781563,32.949606
Bed\D00839_01_remeshed.obj,10.867089,0.432370,60.698226,1.232229,1.865781,13.001769,38.853338,10.869992,0.432260,60.777903,1.232558,1.865781,12.998452,38.818292
Bed\D00839_02_translated.obj,10.867088,0.432369,60.698397,1.232229,1.865781,4.085482,38.853340,10.869991,0.432260,60.777915,1.232558,1.865781,4.084444,38.818294
Bed\D00839_03_aligned.obj,10.867088,0.432369,60.698514,1.637318,1.865781,2.027581,38.853336,10.869991,0.432259,60.778052,1.637755,1.865781,2.027066,38.818290
Bed\D00839_04_flipped.obj,10.867088,0.432369,60.698514,1.637318,1.865781,2.027581,38.853336,10.869991,0.432259,60.778052,1.637755,1.865781,2.027066,38.818290
Bed\D00839_05_scaled.obj,5.015979,0.135587,60.698371,1.637316,1.267599,1.977686,38.853333,5.017319,0.135553,60.778020,1.637754,1.267599,1.977182,38.818287
Bed\D00839_unified.obj,5.015979,0.135587,60.698371,1.637316,1.267599,1.977686,38.853333,5.017319,0.135553,60.778020,1.637754,1.267599,1.977182,38.818287
Bed\m948_00_original.obj,4.383322,0.190145,20.596251,0.867054,1.538576,0.450044,1.765052,4.383322,0.190145,20.596251,0.867054,1.538576,0.450044,1.765052
Bed\m948_01_remeshed.obj,4.383322,0.190145,20.596251,0.867054,1.538576,0.928078,1.554848,4.383322,0.190145,20.596251,0.867054,1.538576,0.928078,1.554848
Bed\m948_02_translated.obj,4.383318,0.190145,20.596194,0.867053,1.538576,5.192245,1.554848,4.383318,0.190145,20.596194,0.867053,1.538576,5.192245,1.554848
Bed\m948_03_aligned.obj,4.383321,0.190145,20.596241,0.506029,1.538575,0.781391,1.554848,4.383321,0.190145,20.596241,0.506029,1.538575,0.781391,1.554848
Bed\m948_04_flipped.obj,4.383321,0.190145,20.596241,0.506029,1.538575,0.781391,1.554848,4.383321,0.190145,20.596241,0.506029,1.538575,0.781391,1.554848
Bed\m948_05_scaled.obj,2.610770,0.087404,20.596209,0.506029,1.187411,13.296098,1.554848,2.610770,0.087404,20.596209,0.506029,1.187411,13.296098,1.554848
Bed\m948_unified.obj,2.610770,0.087404,20.596209,0.506029,1.187411,13.296098,1.554848,2.610770,0.087404,20.596209,0.506029,1.187411,13.296098,1.554848
Bicycle\D00033_00_original.obj,1.891579,0.010121,584.267786,0.241038,1.944213,0.101749,116.078857,1.891579,0.004434,3044.217304,0.241038,1.944213,0.044576,116.078857
Bicycle\D00033_01_remeshed.obj,1.729347,0.011852,325.531914,0.220365,1.944213,0.187120,131.380480,2.077854,0.016751,282.692017,0.264774,1.944213,0.264460,132.347817
Bicycle\D00033_02_translated.obj,1.729346,0.011715,333.201988,0.220365,1.944213,0.142493,131.380511,2.077853,0.016749,282.747305,0.264774,1.944213,0.203727,132.347848
Bicycle\D00033_03_aligned.obj,1.729345,0.011715,333.197636,0.214784,1.944214,0.158532,131.380527,2.077852,0.016749,282.747221,0.258068,1.944214,0.226657,132.347864
Bicycle\D00033_04_flipped.obj,1.729345,0.011715,333.197636,0.214784,1.944214,0.209317,131.380527,2.077852,0.016749,282.747221,0.258068,1.944214,0.299265,132.347864
Bicycle\D00033_05_scaled.obj,0.458303,0.001598,333.193874,0.214784,1.000874,0.110564,131.380503,0.550663,0.002285,282.746022,0.258068,1.000874,0.158075,132.347841
Bicycle\D00033_unified.obj,0.458303,0.001598,333.193874,0.214784,1.000874,0.110564,131.380503,0.550663,0.002285,282.746022,0.258068,1.000874,0.158075,132.347841
Bicycle\D00750_00_original.obj,4.165091,0.037000,466.678626,0.409601,1.932622,2.383180,34.658587,5.410265,0.035626,1103.210375,0.532053,1.932622,0.473713,34.566420
Bicycle\D00750_01_remeshed.obj,4.164078,0.036876,469.474626,0.409501,1.932622,1.062954,36.182073,5.410267,0.038037,967.788915,0.532053,1.932622,1.096427,36.149450
Bicycle\D00750_02_translated.obj,4.164077,0.036287,484.836423,0.409501,1.932622,0.380534,36.182068,5.410266,0.038037,967.789473,0.532053,1.932622,0.398888,36.149445
Bicycle\D00750_03_aligned.obj,4.164078,0.036287,484.838714,0.415773,1.932622,0.869018,36.182075,5.410266,0.038037,967.790662,0.540202,1.932622,0.910933,36.149452
Bicycle\D00750_04_flipped.obj,4.164078,0.036287,484.838714,0.415773,1.932622,0.335639,36.182075,5.410266,0.038037,967.790662,0.540202,1.932622,0.351828,36.149452
Bicycle\D00750_05_scaled.obj,1.144609,0.005230,484.837759,0.415773,1.013249,1.002419,36.182068,1.487158,0.005482,967.790358,0.540202,1.013249,1.050768,36.149445
Bicycle\D00750_unified.obj,1.144609,0.005230,484.837759,0.415773,1.013249,1.002419,36.182068,1.487158,0.005482,967.790358,0.540202,1.013249,1.050768,36.149445
Bicycle\D00931_00_original.obj,2.455749,0.016251,495.840130,0.346342,1.821601,0.262089,31.895283,2.542578,0.013220,831.534900,0.358588,1.821601,0.213214,31.899756
Bicycle\D00931_01_remeshed.obj,2.334256,0.015968,441.031671,0.329500,1.821462,0.442819,53.687720,2.427930,0.012990,749.919665,0.342723,1.821462,0.360234,53.664249
Bicycle\D00931_02_translated.obj,2.334257,0.019267,302.960793,0.329500,1.821462,0.387260,53.687732,2.427932,0.012990,749.922313,0.342723,1.821462,0.261108,53.664260
Bicycle\D00931_03_aligned.obj,2.334254,0.019267,302.958866,0.339662,1.821463,1.164500,53.687720,2.427928,0.012990,749.917979,0.353293,1.821463,0.785156,53.664249
Bicycle\D00931_04_flipped.obj,2.334254,0.019267,302.958866,0.339662,1.821463,1.164500,53.687720,2.427928,0.012990,749.917979,0.353293,1.821463,0.785156,53.664249
Bicycle\D00931_05_scaled.obj,0.743530,0.003464,302.958504,0.339663,1.028005,0.252684,53.687707,0.773368,0.002335,749.920233,0.353294,1.028005,0.170370,53.664235
Bicycle\D00931_unified.obj,0.743530,0.003464,302.958504,0.339663,1.028005,0.252684,53.687707,0.773368,0.002335,749.920233,0.353294,1.028005,0.170370,53.664235
Biplane\D00132_00_original.obj,3.677952,0.048050,190.540770,0.507281,1.922408,1.087090,56.824661,3.857021,0.047311,226.661840,0.531979,1.922408,0.846394,57.602174
Biplane\D00132_01_remeshed.obj,3.677951,0.048050,190.540388,0.507281,1.922408,3.174794,39.962812,3.857020,0.047311,226.661481,0.531979,1.922408,3.488588,39.970807
Biplane\D00132_02_translated.obj,3.677952,0.045658,211.027680,0.507281,1.922408,4.998634,39.962807,3.857021,0.047311,226.661683,0.531979,1.922408,6.413128,39.970802
Biplane\D00132_03_aligned.obj,3.677952,0.045658,211.028560,0.430413,1.922407,1.241200,39.962813,3.857021,0.047311,226.662443,0.451368,1.922407,1.286150,39.970809
Biplane\D00132_04_flipped.obj,3.677952,0.045658,211.028560,0.430413,1.922407,1.241200,39.962813,3.857021,0.047311,226.662443,0.451368,1.922407,1.286150,39.970809
Biplane\D00132_05_scaled.obj,1.053387,0.006998,211.028702,0.430412,1.028813,1.759922,39.962803,1.104674,0.007252,226.662102,0.451368,1.028813,1.823660,39.970799
Biplane\D00132_unified.obj,1.053387,0.006998,211.028702,0.430412,1.028813,1.759922,39.962803,1.104674,0.007252,226.662102,0.451368,1.028813,1.823660,39.970799
Biplane\D00276_00_original.obj,5.151609,0.128711,72.970606,0.420190,1.832108,2.714873,3.395911,5.178456,0.126923,76.219211,0.422380,1.832108,2.677178,3.389037
Biplane\D00276_01_remeshed.obj,5.151611,0.128711,72.970397,0.420190,1.832108,2.263848,3.405619,5.178457,0.126924,76.219006,0.422380,1.832108,2.232416,3.405018
Biplane\D00276_02_translated.obj,5.151610,0.128908,72.747357,0.420190,1.832108,1.293368,3.405619,5.178456,0.126924,76.219169,0.422380,1.832108,1.273458,3.405018
Biplane\D00276_03_aligned.obj,5.151609,0.128908,72.747279,0.485411,1.832108,1.026550,3.405619,5.178455,0.126924,76.219080,0.487940,1.832108,1.010747,3.405018
Biplane\D00276_04_flipped.obj,5.151609,0.128908,72.747279,0.485411,1.832108,3.118277,3.405619,5.178455,0.126924,76.219080,0.487940,1.832108,3.070275,3.405018
Biplane\D00276_05_scaled.obj,1.595081,0.022210,72.747246,0.485411,1.019461,2.007964,3.405619,1.603393,0.021868,76.219056,0.487941,1.019461,1.977053,3.405018
Biplane\D00276_unified.obj,1.595081,0.022210,72.747246,0.485411,1.019461,2.007964,3.405619,1.603393,0.021868,76.219056,0.487941,1.019461,1.977053,3.405018
Biplane\D00616_00_original.obj,3.042277,0.018857,700.190773,0.513745,1.994289,1.121498,16.017743,3.099985,0.022781,507.553468,0.523491,1.994289,1.354900,16.022051
Biplane\D00616_01_remeshed.obj,3.034138,0.018908,690.835373,0.512371,1.994289,1.617174,18.136131,3.243286,0.005720,9220.152504,0.547690,1.994289,0.489215,18.058572
Biplane\D00616_02_translated.obj,3.034139,0.018893,691.902314,0.512371,1.994289,0.999916,18.136130,3.243287,0.005043,11860.035900,0.547690,1.994289,0.266912,18.058572
Biplane\D00616_03_aligned.obj,3.034139,0.018893,691.915300,0.478467,1.994288,4.541727,18.136131,3.243287,0.005043,11860.446375,0.511449,1.994288,1.212333,18.058572
Biplane\D00616_04_flipped.obj,3.034139,0.018893,691.915300,0.478467,1.994288,4.541727,18.136131,3.243287,0.005043,11860.446375,0.511449,1.994288,1.212333,18.058572
Biplane\D00616_05_scaled.obj,0.771813,0.002424,691.914470,0.478466,1.005836,0.544598,18.136133,0.825016,0.000644,11959.013271,0.511448,1.005836,0.144771,18.058574
Biplane\D00616_unified.obj,0.771813,0.002424,691.914470,0.478466,1.005836,0.544598,18.136133,0.825016,0.000644,11959.013271,0.511448,1.005836,0.144771,18.058574
Biplane\D00632_00_original.obj,3.353485,0.058964,95.910674,0.363332,1.890949,0.801555,12.035647,3.395596,0.065315,81.146883,0.367895,1.890949,0.887892,11.831591
Biplane\D00632_01_remeshed.obj,3.353484,0.058964,95.910710,0.363332,1.890949,2.707737,16.385752,3.395595,0.065315,81.146898,0.367895,1.890949,2.445679,16.345855
Biplane\D00632_02_translated.obj,3.353485,0.058956,95.936640,0.363332,1.890949,0.719388,16.385753,3.395596,0.065315,81.146883,0.367895,1.890949,0.791816,16.345856
Biplane\D00632_03_aligned.obj,3.353485,0.058956,95.936621,0.365767,1.890949,22.805136,16.385754,3.395596,0.065315,81.146855,0.370360,1.890949,25.264949,16.345858
Biplane\D00632_04_flipped.obj,3.353485,0.058956,95.936621,0.365767,1.890949,25.525150,16.385754,3.395596,0.065315,81.146855,0.370360,1.890949,43.341772,16.345858
Biplane\D00632_05_scaled.obj,0.957983,0.009002,95.937145,0.365768,1.010672,16.080487,16.385754,0.970012,0.009972,81.147200,0.370361,1.010672,14.723918,16.345858
Biplane\D00632_unified.obj,0.957983,0.009002,95.937145,0.365768,1.010672,16.080487,16.385754,0.970012,0.009972,81.147200,0.370361,1.010672,14.723918,16.345858
Biplane\m1131_00_original.obj,0.854846,0.004999,221.055842,0.461273,0.976426,0.556599,14.181420,0.871868,0.008116,88.955214,0.470458,0.976426,0.903756,14.304259
Biplane\m1131_01_remeshed.obj,0.854846,0.004999,221.055214,0.461273,0.976426,0.374579,9.048127,0.871868,0.008116,88.955109,0.470458,0.976426,0.743854,9.066887
Biplane\m1131_02_translated.obj,0.854846,0.003880,366.834808,0.461273,0.976426,0.617391,9.048131,0.871868,0.008116,88.955254,0.470458,0.976426,0.642125,9.066891
Biplane\m1131_03_aligned.obj,0.854846,0.003880,366.837924,0.420710,0.976426,0.841850,9.048125,0.871868,0.008116,88.955659,0.429087,0.976426,1.760876,9.066885
Biplane\m1131_04_flipped.obj,0.854846,0.003880,366.837924,0.420710,0.976426,0.841850,9.048125,0.871868,0.008116,88.955659,0.429087,0.976426,1.760876,9.066885
Biplane\m1131_05_scaled.obj,0.926726,0.004380,366.836399,0.420710,1.016648,1.523378,9.048125,0.945178,0.009161,88.954908,0.429087,1.016648,3.186418,9.066885
Biplane\m1131_unified.obj,0.926726,0.004380,366.836399,0.420710,1.016648,1.523378,9.048125,0.945178,0.009161,88.954908,0.429087,1.016648,3.186418,9.066885
Bird\D00113_00_original.obj,7.225190,0.264561,47.647869,0.566084,1.768334,1.428519,4.515454,7.225190,0.264561,47.647869,0.566084,1.768334,1.428519,4.515454
Bird\D00113_01_remeshed.obj,7.200697,0.264293,47.260654,0.564251,1.768150,1.417142,3.171633,7.200697,0.264293,47.260654,0.564251,1.768150,1.417142,3.171633
Bird\D00113_02_translated.obj,7.200697,0.264293,47.260652,0.564251,1.768150,1.978273,3.171631,7.200697,0.264293,47.260652,0.564251,1.768150,1.978273,3.171631
Bird\D00113_03_aligned.obj,7.200697,0.264293,47.260663,0.605439,1.768149,7.287806,3.171632,7.200697,0.264293,47.260663,0.605439,1.768149,7.287806,3.171632
Bird\D00113_04_flipped.obj,7.200697,0.264293,47.260663,0.605439,1.768149,7.287806,3.171632,7.200697,0.264293,47.260663,0.605439,1.768149,7.287806,3.171632
Bird\D00113_05_scaled.obj,2.386774,0.050436,47.260649,0.605438,1.017975,6.913149,3.171632,2.386774,0.050436,47.260649,0.605438,1.017975,6.913149,3.171632
Bird\D00113_unified.obj,2.386774,0.050436,47.260649,0.605438,1.017975,6.913149,3.171632,2.386774,0.050436,47.260649,0.605438,1.017975,6.913149,3.171632
Bird\D00625_00_original.obj,1.728025,0.003525,3672.641964,0.142333,1.913752,0.068972,3.699599,2.242602,0.021098,224.032946,0.184717,1.913752,0.412866,3.946329
Bird\D00625_01_remeshed.obj,1.728026,0.003525,3672.626847,0.142333,1.913752,0.084565,2.270524,2.242603,0.021098,224.032914,0.184717,1.913752,0.506206,2.291069
Bird\D00625_02_translated.obj,1.728025,0.010748,394.943994,0.142333,1.913752,0.269466,2.270524,2.242602,0.021098,224.032905,0.184717,1.913752,0.528956,2.291070
Bird\D00625_03_aligned.obj,1.728025,0.010748,394.942361,0.139501,1.913752,0.484305,2.270524,2.242602,0.021098,224.032657,0.181042,1.913752,0.950678,2.291069
Bird\D00625_04_flipped.obj,1.728025,0.010748,394.942361,0.139501,1.913752,0.915111,2.270524,2.242602,0.021098,224.032657,0.181042,1.913752,1.796338,2.291069
Bird\D00625_05_scaled.obj,0.506771,0.001707,394.944085,0.139501,1.036374,0.968767,2.270524,0.657679,0.003351,224.032940,0.181042,1.036374,1.901667,2.291069
Bird\D00625_unified.obj,0.506771,0.001707,394.944085,0.139501,1.036374,0.968767,2.270524,0.657679,0.003351,224.032940,0.181042,1.036374,1.901667,2.291069
Bird\m43_00_original.obj,0.236212,0.010777,1.003437,0.061088,1.086470,0.157250,6.442939,0.366065,0.001678,153.986717,0.094670,1.086470,0.024490,6.735850
Bird\m43_01_remeshed.obj,0.236212,0.010777,1.003440,0.061088,1.086470,0.141557,11.120438,0.366065,0.001678,153.987254,0.094670,1.086470,0.022045,11.117362
Bird\m43_02_translated.obj,0.236212,0.001919,31.629578,0.061088,1.086470,0.298151,11.120441,0.366066,0.001678,153.986390,0.094670,1.086470,0.260692,11.117365
Bird\m43_03_aligned.obj,0.236211,0.001919,31.629765,0.067252,1.086469,0.221489,11.120444,0.366065,0.001678,153.987012,0.104223,1.086469,0.193662,11.117367
Bird\m43_04_flipped.obj,0.236211,0.001919,31.629765,0.067252,1.086469,0.221489,11.120444,0.366065,0.001678,153.987012,0.104223,1.086469,0.193662,11.117367
Bird\m43_05_scaled.obj,0.200421,0.001500,31.629835,0.067252,1.000780,0.508435,11.120442,0.310599,0.001312,153.986666,0.104223,1.000780,0.444558,11.117366
Bird\m43_unified.obj,0.200421,0.001500,31.629835,0.067252,1.000780,0.508435,11.120442,0.310599,0.001312,153.986666,0.104223,1.000780,0.444558,11.117366
Bird\m47_00_original.obj,0.267553,0.002477,27.605966,0.159853,0.950001,0.130791,37.034372,0.271636,0.002479,28.842324,0.162292,0.950001,0.130897,38.255549
Bird\m47_01_remeshed.obj,0.267553,0.002477,27.605932,0.159853,0.950001,0.120372,112.280316,0.271640,0.002479,28.843700,0.162295,0.950001,0.120469,111.943585
