name,verts_before,faces_before,verts_after,faces_after,source,verts_delta,faces_delta
Bottle\D00711_unified.obj,8451,16772,8452,16900,prepared_file,1,128
Bottle\D00940_unified.obj,9949,19872,9950,19888,prepared_file,1,16
BuildingNonResidential\m382_unified.obj,7954,15573,7958,15844,prepared_file,4,271
BuildingNonResidential\m393_unified.obj,8524,16273,8549,16994,prepared_file,25,721
BuildingNonResidential\m400_unified.obj,7985,15720,7991,15846,prepared_file,6,126
BuildingNonResidential\m405_unified.obj,8082,15913,8159,16370,prepared_file,77,457
BuildingNonResidential\m412_unified.obj,9372,17194,9428,18124,prepared_file,56,930
Bus\D00182_unified.obj,8225,15390,8547,20086,prepared_file,322,4696
Bus\D00411_unified.obj,7863,15014,8055,17802,prepared_file,192,2788
Car\D00670_unified.obj,8196,14455,8368,16906,prepared_file,172,2451
Car\D00671_unified.obj,9708,18205,9737,18728,prepared_file,29,523
Car\D00724_unified.obj,9983,16311,10178,19718,prepared_file,195,3407
Car\m1502_unified.obj,8099,11886,8310,16084,prepared_file,211,4198
Car\m1512_unified.obj,6808,11419,7040,13756,prepared_file,232,2337
Car\m1513_unified.obj,9798,16258,10065,19540,prepared_file,267,3282
Car\m1514_unified.obj,8060,15692,8062,15700,prepared_file,2,8
Car\m1517_unified.obj,8351,16194,8398,16740,prepared_file,47,546
Car\m1551_unified.obj,7867,15011,7980,16142,prepared_file,113,1131
Cellphone\D00032_unified.obj,9827,19442,9829,19642,prepared_file,2,200
Cellphone\D00559_unified.obj,7969,15624,7993,16490,prepared_file,24,866
Chess\D01049_unified.obj,8165,16313,8166,16324,prepared_file,1,11
Chess\D01080_unified.obj,8667,17330,8667,17330,prepared_file,0,0
Chess\m1596_unified.obj,9237,18005,9249,18056,prepared_file,12,51
Chess\m1607_unified.obj,9986,19968,9986,19968,prepared_file,0,0
Chess\m1608_unified.obj,8388,16772,8388,16772,prepared_file,0,0
City\D01090_unified.obj,7089,13031,7188,13416,prepared_file,99,385
City\m1652_unified.obj,7482,11636,7659,15018,prepared_file,177,3382
City\m1664_unified.obj,9292,15849,9392,18472,prepared_file,100,2623
ClassicPiano\D00561_unified.obj,9534,18209,9545,18472,prepared_file,11,263
ClassicPiano\D00983_unified.obj,8079,15424,8094,16166,prepared_file,15,742
Computer\D01026_unified.obj,9310,18588,9310,18588,prepared_file,0,0
Computer\D01033_unified.obj,9031,17677,9044,17944,prepared_file,13,267
Computer\D01085_unified.obj,9736,19456,9736,19456,prepared_file,0,0
Computer\D01100_unified.obj,9033,17676,9046,17948,prepared_file,13,272
ComputerKeyboard\D00197_unified.obj,9756,19500,9756,19500,prepared_file,0,0
ComputerKeyboard\D00569_unified.obj,8375,16655,8379,16758,prepared_file,4,103
Cup\D00206_unified.obj,7585,15080,7589,15176,prepared_file,4,96
Cup\D00355_unified.obj,7114,14224,7114,14224,prepared_file,0,0
Cup\m501_unified.obj,8988,17472,8998,17952,prepared_file,10,480
DeskLamp\D00455_unified.obj,7504,14942,7504,14942,prepared_file,0,0
DeskLamp\D00693_unified.obj,9943,19584,9946,19872,prepared_file,3,288
DeskLamp\D00715_unified.obj,7838,15664,7838,15664,prepared_file,0,0
DeskLamp\m603_unified.obj,7923,15774,7924,15838,prepared_file,1,64
DeskPhone\D00318_unified.obj,9340,18548,9340,18548,prepared_file,0,0
DeskPhone\D00680_unified.obj,9572,18794,9591,19098,prepared_file,19,304
Door\D01143_unified.obj,588,1152,588,1152,prepared_file,0,0
Door\D01167_unified.obj,8792,16924,8801,17570,prepared_file,9,646
Door\m1710_unified.obj,7923,15776,7924,15792,prepared_file,1,16
Door\m1711_unified.obj,7942,15263,7949,15890,prepared_file,7,627
Door\m1731_unified.obj,8100,16336,8100,16336,prepared_file,0,0
Drum\D00115_unified.obj,8706,17408,8706,17408,prepared_file,0,0
Drum\D00193_unified.obj,7456,14392,7478,15428,prepared_file,22,1036
Fish\D00293_unified.obj,8656,14923,8673,17278,prepared_file,17,2355
Fish\D00763_unified.obj,8699,14894,8716,17364,prepared_file,17,2470
FloorLamp\D00388_unified.obj,8223,15749,8329,16984,prepared_file,106,1235
FloorLamp\D00740_unified.obj,9792,19568,9792,19568,prepared_file,0,0
FloorLamp\D00875_unified.obj,8320,16408,8326,16548,prepared_file,6,140
Glasses\D00630_unified.obj,9366,18594,9367,18714,prepared_file,1,120
Glasses\D00883_unified.obj,8654,17172,8656,17268,prepared_file,2,96
Guitar\D00335_unified.obj,8916,17385,8929,17750,prepared_file,13,365
Guitar\D00416_unified.obj,7885,15297,7925,15756,prepared_file,40,459
Gun\D00153_unified.obj,8621,17218,8621,17197,prepared_file,0,-21
Gun\D00606_unified.obj,8115,16218,8118,16230,prepared_file,3,12
Gun\m678_unified.obj,7823,15009,7847,15640,prepared_file,24,631
Gun\m681_unified.obj,9249,18288,9255,18412,prepared_file,6,124
Gun\m682_unified.obj,7615,14752,7635,15152,prepared_file,20,400
Gun\m685_unified.obj,9431,18798,9432,18846,prepared_file,1,48
Hand\D01022_unified.obj,9616,19393,9617,18816,prepared_file,1,-577
Hand\D01197_unified.obj,7112,14220,7112,14220,prepared_file,0,0
Hand\m323_unified.obj,8234,16169,8287,16572,prepared_file,53,403
Hand\m328_unified.obj,9229,18454,9229,18454,prepared_file,0,0
Hat\m1628_unified.obj,8027,14601,8047,16062,prepared_file,20,1461
Hat\m1630_unified.obj,8962,17920,8962,17920,prepared_file,0,0
Helicopter\D00751_unified.obj,9663,18580,9691,19408,prepared_file,28,828
Helicopter\m1302_unified.obj,8469,16134,8511,16894,prepared_file,42,760
Helicopter\m1314_unified.obj,9507,18123,9529,19002,prepared_file,22,879
Helicopter\m1319_unified.obj,8368,16064,8378,16704,prepared_file,10,640
Helicopter\m1325_unified.obj,8087,14320,8220,16184,prepared_file,133,1864
Helicopter\m1329_unified.obj,7830,15499,7833,15610,prepared_file,3,111
House\D00454_unified.obj,8299,15599,8416,16594,prepared_file,117,995
House\D00903_unified.obj,9877,15625,10798,21094,prepared_file,921,5469
House\m433_unified.obj,8676,16384,8748,16992,prepared_file,72,608
House\m439_unified.obj,4346,8512,4346,8512,prepared_file,0,0
House\m456_unified.obj,9146,16240,9224,18176,prepared_file,78,1936
HumanHead\D00487_unified.obj,7821,15486,7824,15644,prepared_file,3,158
HumanHead\D00653_unified.obj,8946,17715,8951,17905,prepared_file,5,190
HumanHead\D00690_unified.obj,8125,15884,8141,16344,prepared_file,16,460
HumanHead\m354_unified.obj,9559,19084,9560,19116,prepared_file,1,32
HumanHead\m355_unified.obj,9478,18952,9478,18952,prepared_file,0,0
HumanHead\m367_unified.obj,8254,16081,8266,16526,prepared_file,12,445
Humanoid\m131_unified.obj,6988,12048,7052,13880,prepared_file,64,1832
Humanoid\m135_unified.obj,7463,14544,7474,14940,prepared_file,11,396
Humanoid\m143_unified.obj,8470,15484,8556,17048,prepared_file,86,1564
Humanoid\m148_unified.obj,8574,16684,8628,17258,prepared_file,54,574
Humanoid\m155_unified.obj,7877,15750,7877,15750,prepared_file,0,0
Humanoid\m159_unified.obj,8114,15968,8124,16224,prepared_file,10,256
Humanoid\m160_unified.obj,8127,15835,8139,16188,prepared_file,12,353
Humanoid\m176_unified.obj,8101,16074,8101,16074,prepared_file,0,0
Humanoid\m215_unified.obj,8242,16422,8242,16422,prepared_file,0,0
Humanoid\m221_unified.obj,8250,16457,8253,16466,prepared_file,3,9
Humanoid\m226_unified.obj,9728,19432,9728,19432,prepared_file,0,0
Humanoid\m232_unified.obj,6834,13664,6834,13664,prepared_file,0,0
Humanoid\m233_unified.obj,8955,17846,8955,17846,prepared_file,0,0
Humanoid\m251_unified.obj,8077,16126,8080,16158,prepared_file,3,32
Humanoid\m255_unified.obj,9119,17807,9148,18102,prepared_file,29,295
Insect\D00081_unified.obj,7900,15752,7900,15752,prepared_file,0,0
Insect\D00788_unified.obj,8749,14744,8767,13748,prepared_file,18,-996
Insect\D00855_unified.obj,9701,19358,9701,19358,prepared_file,0,0
Insect\m16_unified.obj,8196,16104,8212,16340,prepared_file,16,236
Insect\m22_unified.obj,4983,9920,4983,9920,prepared_file,0,0
Insect\m26_unified.obj,7986,15704,7989,15762,prepared_file,3,58
Insect\m6_unified.obj,9173,17819,9218,18106,prepared_file,45,287
Jet\m1147_unified.obj,9925,19708,9936,19870,prepared_file,11,162
Jet\m1176_unified.obj,15794,53248,15794,26624,prepared_file,0,-26624
Jet\m1178_unified.obj,8297,16352,8309,16542,prepared_file,12,190
Jet\m1179_unified.obj,9140,16867,9174,18336,prepared_file,34,1469
Jet\m1180_unified.obj,8434,16864,8434,16862,prepared_file,0,-2
Jet\m1194_unified.obj,7941,14625,7965,15904,prepared_file,24,1279
Jet\m1199_unified.obj,9091,17744,9108,18204,prepared_file,17,460
Jet\m1223_unified.obj,9742,19480,9742,19480,prepared_file,0,0
Jet\m1224_unified.obj,7885,15104,7896,15760,prepared_file,11,656
Jet\m1231_unified.obj,9021,17471,9027,18052,prepared_file,6,581
Jet\m1243_unified.obj,9487,18834,9494,19010,prepared_file,7,176
Jet\m1269_unified.obj,9442,17408,9456,18880,prepared_file,14,1472
Jet\m1275_unified.obj,9241,17408,9251,18480,prepared_file,10,1072
Jet\m1287_unified.obj,9978,19008,9992,19952,prepared_file,14,944
Jet\m1288_unified.obj,8690,16350,8706,17436,prepared_file,16,1086
Jet\m1296_unified.obj,8238,15885,8246,16472,prepared_file,8,587
Knife\D01107_unified.obj,8496,16954,8499,16990,prepared_file,3,36
Knife\m722_unified.obj,9680,18968,9686,19352,prepared_file,6,384
Knife\m728_unified.obj,8138,15568,8143,16272,prepared_file,5,704
MilitaryVehicle\D00458_unified.obj,8021,14320,8286,16517,prepared_file,265,2197
MilitaryVehicle\D00932_unified.obj,8210,12581,8340,15506,prepared_file,130,2925
Monitor\D00339_unified.obj,9952,18620,9960,19856,prepared_file,8,1236
Monitor\D00548_unified.obj,7100,14064,7106,14180,prepared_file,6,116
Monoplane\D00169_unified.obj,8404,16584,8408,16728,prepared_file,4,144
Monoplane\D00925_unified.obj,8505,16773,8512,16994,prepared_file,7,221
Motorcycle\D00021_unified.obj,9543,18052,9611,18898,prepared_file,68,846
Motorcycle\D00858_unified.obj,7923,15534,7923,15534,prepared_file,0,0
Motorcycle\m1483_unified.obj,8458,16967,8496,17114,prepared_file,38,147
Mug\D00728_unified.obj,9271,18513,9272,18532,prepared_file,1,19
Mug\D00825_unified.obj,7936,15724,7938,15868,prepared_file,2,144
Mug\D00923_unified.obj,9164,18320,9164,18320,prepared_file,0,0
MultiSeat\D00046_unified.obj,8032,16038,8033,16042,prepared_file,1,4
MultiSeat\D00263_unified.obj,9845,19270,9856,19668,prepared_file,11,398
MultiSeat\D00637_unified.obj,7421,14740,7438,14803,prepared_file,17,63
MultiSeat\D00985_unified.obj,8282,16532,8282,16532,prepared_file,0,0
MultiSeat\m777_unified.obj,8217,16177,8221,16214,prepared_file,4,37
Musical_Instrument\m626_unified.obj,9606,18877,9608,18902,prepared_file,2,25
Musical_Instrument\m632_unified.obj,8486,16684,8493,16838,prepared_file,7,154
Musical_Instrument\m645_unified.obj,8075,13278,8147,16070,prepared_file,72,2792
NonWheelChair\D00240_unified.obj,8941,17854,8941,17854,prepared_file,0,0
NonWheelChair\D00306_unified.obj,9260,18432,9260,18432,prepared_file,0,0
NonWheelChair\m797_unified.obj,8076,14755,8110,16426,prepared_file,34,1671
NonWheelChair\m814_unified.obj,9252,17297,9282,18548,prepared_file,30,1251
NonWheelChair\m820_unified.obj,9490,18685,9499,18908,prepared_file,9,223
NonWheelChair\m828_unified.obj,8622,17196,8622,17196,prepared_file,0,0
PianoBoard\D00122_unified.obj,7357,13648,7415,14867,prepared_file,58,1219
PianoBoard\D00885_unified.obj,9959,19102,10029,19750,prepared_file,70,648
PlantIndoors\D00466_unified.obj,8517,12944,8679,16958,prepared_file,162,4014
PlantIndoors\D00657_unified.obj,8200,11652,8298,16192,prepared_file,98,4540
PlantIndoors\m1013_unified.obj,8948,11349,9280,17334,prepared_file,332,5985
PlantIndoors\m1015_unified.obj,7916,14383,7939,15782,prepared_file,23,1399
PlantIndoors\m995_unified.obj,7248,4615,8816,11528,prepared_file,1568,6913
PlantIndoors\m998_unified.obj,4140,7648,4164,8280,prepared_file,24,632
PlantIndoors\m999_unified.obj,7994,12429,8009,15950,prepared_file,15,3521
PlantWildNonTree\m966_unified.obj,7920,5280,9240,13200,prepared_file,1320,7920
PlantWildNonTree\m975_unified.obj,3616,7200,3616,7200,prepared_file,0,0
PlantWildNonTree\m981_unified.obj,9218,19019,9225,16638,prepared_file,7,-2381
Quadruped\D00700_unified.obj,7066,13992,7066,13992,prepared_file,0,0
Quadruped\m274_unified.obj,9164,18304,9170,18336,prepared_file,6,32
Quadruped\m87_unified.obj,8395,16584,8403,16790,prepared_file,8,206
Quadruped\m88_unified.obj,9853,19690,9853,19688,prepared_file,0,-2
Quadruped\m89_unified.obj,9759,19491,9767,19548,prepared_file,8,57
Quadruped\m91_unified.obj,9755,19364,9760,19508,prepared_file,5,144
RectangleTable\m870_unified.obj,9187,18370,9187,18370,prepared_file,0,0
RectangleTable\m872_unified.obj,8839,17536,8852,17668,prepared_file,13,132
RectangleTable\m875_unified.obj,6516,11904,6584,12992,prepared_file,68,1088
RectangleTable\m889_unified.obj,7890,15776,7854,15048,prepared_file,-36,-728
RectangleTable\m891_unified.obj,8995,17970,8995,17970,prepared_file,0,0
RectangleTable\m892_unified.obj,1885,3280,1905,3708,prepared_file,20,428
RectangleTable\m912_unified.obj,7686,15360,7686,15360,prepared_file,0,0
Rocket\D00697_unified.obj,9634,19264,9634,19250,prepared_file,0,-14
Rocket\D00764_unified.obj,3218,6400,3218,6400,prepared_file,0,0
RoundTable\D00344_unified.obj,7570,15104,7570,15104,prepared_file,0,0
RoundTable\D00492_unified.obj,7913,15806,7913,15806,prepared_file,0,0
RoundTable\D00702_unified.obj,7922,15782,7938,15868,prepared_file,16,86
RoundTable\D00756_unified.obj,8042,16080,8042,16080,prepared_file,0,0
Shelf\D00074_unified.obj,8284,16352,8284,16352,prepared_file,0,0
Shelf\D00781_unified.obj,7940,15200,7957,15832,prepared_file,17,632
Shelf\m845_unified.obj,8187,15973,8193,16366,prepared_file,6,393
Shelf\m860_unified.obj,8400,16772,8400,16772,prepared_file,0,0
Shelf\m862_unified.obj,8236,16384,8238,16416,prepared_file,2,32
Ship\D00027_unified.obj,8740,11807,9168,17410,prepared_file,428,5603
Ship\D00175_unified.obj,8377,16298,8395,16646,prepared_file,18,348
Ship\D00247_unified.obj,9125,16054,9341,18316,prepared_file,216,2262
Ship\D00809_unified.obj,7888,15029,7922,15227,prepared_file,34,198
Ship\m1446_unified.obj,9097,16053,9291,18256,prepared_file,194,2203
Ship\m1449_unified.obj,8071,16142,8071,16142,prepared_file,0,0
Ship\m1454_unified.obj,8175,16298,8175,16298,prepared_file,0,0
Sign\m1671_unified.obj,1145,1808,1154,2284,prepared_file,9,476
Sign\m1673_unified.obj,812,1376,820,1608,prepared_file,8,232
Skyscraper\D00058_unified.obj,9425,7000,11370,16982,prepared_file,1945,9982
Skyscraper\D00532_unified.obj,8385,11150,8867,13814,prepared_file,482,2664
Spoon\D00144_unified.obj,8123,16178,8124,16252,prepared_file,1,74
Spoon\D00790_unified.obj,9388,18483,9389,18774,prepared_file,1,291
Starship\m1360_unified.obj,9333,14600,9602,18075,prepared_file,269,3475
Starship\m1361_unified.obj,8843,17541,8845,17658,prepared_file,2,117
Starship\m1370_unified.obj,9884,19237,9922,19306,prepared_file,38,69
Starship\m1376_unified.obj,7412,14816,7412,14816,prepared_file,0,0
SubmachineGun\D00219_unified.obj,7890,15481,7904,15756,prepared_file,14,275
SubmachineGun\D00893_unified.obj,9039,17728,9046,18056,prepared_file,7,328
Sword\D00356_unified.obj,9642,19155,9654,19368,prepared_file,12,213
Sword\D00808_unified.obj,9460,18745,9467,18976,prepared_file,7,231
Sword\m697_unified.obj,8296,16576,8296,16395,prepared_file,0,-181
Sword\m703_unified.obj,8997,17600,9001,18024,prepared_file,4,424
Sword\m715_unified.obj,8339,16530,8347,16847,prepared_file,8,317
Sword\m719_unified.obj,9834,19648,9834,19648,prepared_file,0,0
Tool\D01086_unified.obj,8305,16606,8305,16606,prepared_file,0,0
Tool\D01142_unified.obj,7810,15616,7810,15616,prepared_file,0,0
Tool\m1105_unified.obj,9457,18906,9457,18906,prepared_file,0,0
Tool\m1109_unified.obj,8963,17676,8967,17922,prepared_file,4,246
Tool\m590_unified.obj,9463,17438,9534,19054,prepared_file,71,1616
Train\D01089_unified.obj,9442,18593,9469,18824,prepared_file,27,231
Train\D01095_unified.obj,8943,16436,9119,18106,prepared_file,176,1670
Train\D01134_unified.obj,8717,14383,8832,16881,prepared_file,115,2498
Tree\D00223_unified.obj,7951,5010,9878,12045,prepared_file,1927,7035
Tree\D00393_unified.obj,8646,8717,10076,14444,prepared_file,1430,5727
Tree\m1092_unified.obj,7820,15604,7820,15604,prepared_file,0,0
Tree\m1095_unified.obj,7981,13782,8185,15610,prepared_file,204,1828
Tree\m1098_unified.obj,8110,11380,8359,15790,prepared_file,249,4410
Truck\D00003_unified.obj,9943,18003,10114,19713,prepared_file,171,1710
Truck\D00406_unified.obj,8709,15957,8817,18072,prepared_file,108,2115
Truck\m1573_unified.obj,8156,15224,8213,16430,prepared_file,57,1206
TruckNonContainer\D00215_unified.obj,9160,17128,9178,17758,prepared_file,18,630
TruckNonContainer\D00553_unified.obj,7248,13671,7315,14692,prepared_file,67,1021
Vase\m534_unified.obj,8387,16772,8387,16772,prepared_file,0,0
Vase\m535_unified.obj,8113,15974,8115,16226,prepared_file,2,252
Violin\D00358_unified.obj,7434,14676,7519,16546,prepared_file,85,1870
Violin\D00891_unified.obj,7977,15284,8070,16430,prepared_file,93,1146
Wheel\m737_unified.obj,9977,19274,9977,19274,prepared_file,0,0
Wheel\m747_unified.obj,8066,16128,8066,16128,prepared_file,0,0
WheelChair\D00274_unified.obj,6978,12476,7061,14026,prepared_file,83,1550
WheelChair\D00604_unified.obj,8146,14678,8197,16246,prepared_file,51,1568
